"Hamilton — Historical Average, Median and Price Percentiles for Unabsorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Semi-detached
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1990 January,**,**,**,**,**,"168,038",8,
1990 February,**,**,**,**,**,**,2,
1990 March,**,**,**,**,**,**,0,
1990 April,**,**,**,**,**,**,0,
1990 May,**,**,**,**,**,**,0,
1990 June,**,**,**,**,**,**,1,
1990 July,**,**,**,**,**,**,1,
1990 August,**,**,**,**,**,**,1,
1990 September,**,**,**,**,**,**,3,
1990 October,**,**,**,**,**,**,2,
1990 November,**,**,**,**,**,**,0,
1990 December,**,**,**,**,**,**,0,
1991 January,**,**,**,**,**,**,0,
1991 February,**,**,**,**,**,**,0,
1991 March,**,**,**,**,**,**,0,
1991 April,**,**,**,**,**,**,0,
1991 May,**,**,**,**,**,**,1,
1991 June,**,**,**,**,**,**,1,
1991 July,**,**,**,**,**,**,0,
1991 August,**,**,**,**,**,**,1,
1991 September,**,**,**,**,**,**,3,
1991 October,**,**,**,**,**,**,4,
1991 November,**,**,**,**,**,"149,333",6,
1991 December,**,**,**,**,**,"149,333",6,
1992 January,**,**,**,**,**,"145,750",8,
1992 February,**,**,**,**,**,"146,875",8,
1992 March,**,**,**,**,**,"146,875",8,
1992 April,**,**,**,**,**,"142,600",5,
1992 May,**,**,**,**,**,"147,271",7,
1992 June,**,**,**,**,**,"142,375",8,
1992 July,**,**,**,**,**,"151,180",10,
1992 August,"135,000","140,000","140,000","158,000","140,000","148,369",13,
1992 September,"140,000","140,000","180,000","180,000","150,000","160,289",18,
1992 October,**,**,**,**,**,"158,236",11,
1992 November,**,**,**,**,**,"153,475",8,
1992 December,**,**,**,**,**,"150,483",6,
1993 January,**,**,**,**,**,"150,725",4,
1993 February,**,**,**,**,**,**,4,
1993 March,**,**,**,**,**,**,3,
1993 April,**,**,**,**,**,**,3,
1993 May,**,**,**,**,**,**,2,
1993 June,**,**,**,**,**,**,1,
1993 July,**,**,**,**,**,**,1,
1993 August,**,**,**,**,**,"136,986",7,
1993 September,**,**,**,**,**,"141,720",5,
1993 October,**,**,**,**,**,**,4,
1993 November,**,**,**,**,**,"345,067",6,
1993 December,**,**,**,**,**,"137,929",7,
1994 January,**,**,**,**,**,**,3,
1994 February,**,**,**,**,**,**,0,
1994 March,**,**,**,**,**,**,3,
1994 April,**,**,**,**,**,**,4,
1994 May,**,**,**,**,**,**,5,
1994 June,**,**,**,**,**,**,4,
1994 July,**,**,**,**,**,"161,120",5,
1994 August,**,**,**,**,**,**,5,
1994 September,**,**,**,**,**,"140,700",5,
1994 October,**,**,**,**,**,"156,367",9,
1994 November,**,**,**,**,**,"156,367",9,
1994 December,**,**,**,**,**,"158,175",8,
1995 January,**,**,**,**,**,"158,175",8,
1995 February,**,**,**,**,**,"176,100",6,
1995 March,**,**,**,**,**,"176,100",6,
1995 April,**,**,**,**,**,"176,100",6,
1995 May,**,**,**,**,**,"176,100",6,
1995 June,**,**,**,**,**,"176,100",6,
1995 July,**,**,**,**,**,"176,100",6,
1995 August,**,**,**,**,**,"168,438",8,
1995 September,**,**,**,**,**,"168,438",8,
1995 October,**,**,**,**,**,"168,438",8,
1995 November,**,**,**,**,**,"167,188",8,
1995 December,**,**,**,**,**,"167,188",8,
1996 January,**,**,**,**,**,"167,188",8,
1996 February,**,**,**,**,**,"167,722",9,
1996 March,**,**,**,**,**,"168,833",9,
1996 April,"145,000","155,000","167,000","171,000","155,000","161,256",18,
1996 May,**,**,**,**,**,"169,411",9,
1996 June,**,**,**,**,**,"170,088",8,
1996 July,**,**,**,**,**,"163,588",8,
1996 August,**,**,**,**,**,"161,733",9,
1996 September,**,**,**,**,**,"163,588",8,
1996 October,**,**,**,**,**,"170,423",13,
1996 November,**,**,**,**,**,"175,867",12,
1996 December,**,**,**,**,**,"179,309",11,
1997 January,**,**,**,**,**,"182,489",9,
1997 February,**,**,**,**,**,"183,230",10,
1997 March,**,**,**,**,**,"181,073",11,
1997 April,**,**,**,**,**,"183,230",10,
1997 May,**,**,**,**,**,"182,489",9,
1997 June,**,**,**,**,**,"182,489",9,
1997 July,**,**,**,**,**,"182,489",9,
1997 August,**,**,**,**,**,"182,489",9,
1997 September,**,**,**,**,**,"177,467",9,
1997 October,**,**,**,**,**,"185,578",9,
1997 November,**,**,**,**,**,"183,291",11,
1997 December,"177,000","180,000","181,000","196,000","180,000","183,769",16,
1998 January,"180,000","180,000","185,000","200,000","180,000","184,564",14,
1998 February,"176,000","180,000","189,000","202,000","182,500","185,117",12,
1998 March,**,**,**,**,**,"182,317",6,
1998 April,**,**,**,**,**,"182,317",6,
1998 May,**,**,**,**,**,"182,317",6,
1998 June,**,**,**,**,**,"182,317",6,
1998 July,**,**,**,**,**,"182,317",6,
1998 August,**,**,**,**,**,"182,317",6,
1998 September,**,**,**,**,**,"182,317",6,
1998 October,**,**,**,**,**,"182,317",6,
1998 November,**,**,**,**,**,"182,317",6,
1998 December,**,**,**,**,**,"182,317",6,
1999 January,**,**,**,**,**,"184,213",8,
1999 February,**,**,**,**,**,"184,213",8,
1999 March,**,**,**,**,**,"187,050",6,
1999 April,**,**,**,**,**,"187,050",6,
1999 May,**,**,**,**,**,"185,250",6,
1999 June,**,**,**,**,**,"184,844",9,
1999 July,**,**,**,**,**,"184,800",7,
1999 August,**,**,**,**,**,"179,813",8,
1999 September,**,**,**,**,**,"171,820",5,
1999 October,**,**,**,**,**,"174,157",7,
1999 November,**,**,**,**,**,"174,157",7,
1999 December,**,**,**,**,**,"174,157",7,
2000 January,"145,000","180,000","180,000","233,000","180,000","190,574",12,
2000 February,"145,000","162,000","181,000","257,000","180,000","188,807",11,
2000 March,"177,000","185,000","190,000","283,000","185,000","208,526",26,
2000 April,"179,000","185,000","190,000","261,000","190,000","206,857",23,
