"Victoria — Historical Average, Median and Price Percentiles for Unabsorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Semi-detached
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1998 March,"194,000","228,000","250,000","260,000","230,000","244,619",41,
1998 April,"212,000","230,000","254,000","265,000","240,000","248,051",47,
1998 May,"200,000","230,000","250,000","270,000","240,000","250,528",49,
1998 June,"190,000","220,000","245,000","265,000","230,000","240,607",49,
1998 July,"185,000","216,000","230,000","260,000","230,000","233,028",52,
1998 August,"187,000","209,000","230,000","260,000","220,000","236,078",56,
1998 September,"189,000","210,000","230,000","260,000","220,000","232,444",53,
1998 October,"185,000","215,000","230,000","260,000","225,000","232,611",53,
1998 November,"184,000","218,000","230,000","260,000","230,000","230,141",48,
1998 December,"190,000","225,000","240,000","260,000","230,000","239,810",44,
1999 January,"185,000","220,000","234,000","262,000","230,000","238,692",43,
1999 February,"180,000","220,000","230,000","275,000","230,000","243,757",44,
1999 March,"180,000","230,000","255,000","335,000","230,000","262,870",44,
1999 April,"203,000","230,000","260,000","385,000","255,000","280,386",37,
1999 May,"204,000","230,000","260,000","385,000","240,000","275,481",38,
1999 June,"200,000","230,000","260,000","335,000","232,500","270,184",34,
1999 July,"200,000","230,000","258,000","332,000","230,000","269,725",30,
1999 August,"179,000","230,000","260,000","365,000","237,500","276,479",26,
1999 September,"204,000","230,000","263,000","332,000","255,000","278,520",30,
1999 October,"198,000","230,000","262,000","323,000","245,000","271,839",33,
1999 November,"164,000","230,000","275,000","345,000","255,000","273,239",28,
1999 December,"170,000","212,000","258,000","315,000","245,000","258,062",25,
2000 January,"173,000","230,000","262,000","329,000","255,000","264,230",23,
2000 February,"162,000","239,000","275,000","329,000","257,500","271,256",18,
2000 March,"169,000","208,000","246,000","293,000","230,000","249,619",21,
2000 April,"162,000","236,000","259,000","309,000","247,500","266,028",18,
2000 May,"163,000","230,000","247,000","325,000","230,000","250,943",23,
2000 June,"165,000","230,000","253,000","318,000","240,000","254,060",25,
2000 July,"165,000","230,000","249,000","304,000","240,000","252,389",27,
2000 August,"165,000","230,000","240,000","259,000","230,000","243,441",22,
2000 September,"165,000","236,000","247,000","268,000","245,000","248,511",28,
2000 October,"179,000","238,000","246,000","263,000","245,000","248,585",26,
2000 November,"161,000","230,000","245,000","263,000","240,000","237,237",30,
2000 December,"161,000","212,000","245,000","263,000","235,000","234,930",30,
2001 January,"152,000","230,000","245,000","263,000","240,000","237,764",25,
2001 February,"154,000","230,000","251,000","330,000","242,500","251,700",26,
2001 March,"154,000","230,000","256,000","292,000","245,000","249,112",26,
2001 April,"150,000","230,000","250,000","280,000","230,000","245,379",24,
2001 May,"162,000","230,000","247,000","280,000","230,000","248,676",21,
2001 June,"162,000","230,000","247,000","280,000","230,000","248,676",21,
2001 July,"162,000","225,000","247,000","280,000","230,000","248,276",21,
2001 August,"168,000","225,000","248,000","278,000","230,000","244,464",25,
2001 September,"163,000","230,000","250,000","280,000","237,500","249,491",22,
2001 October,"161,000","230,000","250,000","278,000","237,500","251,050",20,
2001 November,"158,000","230,000","250,000","272,000","237,500","250,906",18,
2001 December,"158,000","230,000","250,000","272,000","237,500","250,906",18,
2002 January,"172,000","235,000","240,000","263,000","235,000","246,832",25,
2002 February,"162,000","230,000","236,000","261,000","235,000","245,886",21,
2002 March,**,**,**,**,**,"247,400",8,
2002 April,**,**,**,**,**,"251,033",6,
2002 May,**,**,**,**,**,**,5,
2002 June,**,**,**,**,**,**,4,
2002 July,**,**,**,**,**,"276,517",6,
2002 August,**,**,**,**,**,"355,717",6,
2002 September,**,**,**,**,**,"349,200",5,
2002 October,**,**,**,**,**,"340,133",9,
2002 November,**,**,**,**,**,"340,133",9,
2002 December,**,**,**,**,**,"380,775",8,
2003 January,**,**,**,**,**,"389,289",9,
2003 February,**,**,**,**,**,"389,289",9,
2003 March,**,**,**,**,**,"396,400",8,
2003 April,**,**,**,**,**,"345,229",14,
2003 May,"263,000","275,000","290,000","376,000","277,500","325,361",18,
2003 June,"261,000","275,000","300,000","392,000","280,000","328,324",17,
2003 July,**,**,**,**,**,"363,655",11,
2003 August,"267,000","300,000","350,000","408,000","325,000","352,050",16,
2003 September,**,**,**,**,**,"388,111",9,
2003 October,**,**,**,**,**,"385,200",10,
2003 November,**,**,**,**,**,"380,567",9,
2003 December,**,**,**,**,**,"403,513",8,
2004 January,**,**,**,**,**,"353,950",8,
2004 February,**,**,**,**,**,**,11,
2004 March,"250,000","275,000","350,000","410,000","315,000","326,736",14,
2004 April,**,**,**,**,**,"324,133",12,
2004 May,**,**,**,**,**,"328,980",10,
2004 June,**,**,**,**,**,"327,475",8,
2004 July,"275,000","345,000","370,000","380,000","350,000","338,550",14,
2004 August,"280,000","345,000","370,000","380,000","350,000","348,093",14,
2004 September,"280,000","350,000","370,000","380,000","350,000","333,700",14,
2004 October,"286,000","350,000","370,000","428,000","350,000","354,320",15,
2004 November,"279,000","350,000","370,000","486,000","370,000","381,906",18,
2004 December,"310,000","370,000","370,000","460,000","370,000","394,689",19,
2005 January,"280,000","370,000","370,000","404,000","370,000","368,476",17,
2005 February,"350,000","370,000","420,000","504,000","370,000","406,020",15,
2005 March,**,**,**,**,**,"410,136",11,
2005 April,**,**,**,**,**,"407,200",12,
2005 May,**,**,**,**,**,"387,525",12,
2005 June,**,**,**,**,**,"372,525",12,
2005 July,**,**,**,**,**,"349,040",10,
