"Saint John — Historical Average, Median and Price Percentiles for Unabsorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Semi-detached
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1990 January,**,**,**,**,**,"69,545",11,
1990 February,**,**,**,**,**,**,10,
1990 March,**,**,**,**,**,**,10,
1990 April,**,**,**,**,**,**,6,
1990 May,**,**,**,**,**,**,6,
1990 June,**,**,**,**,**,**,5,
1990 July,**,**,**,**,**,**,5,
1990 August,**,**,**,**,**,**,5,
1990 September,**,**,**,**,**,**,3,
1990 October,**,**,**,**,**,**,3,
1990 November,**,**,**,**,**,**,3,
1990 December,**,**,**,**,**,**,3,
1991 January,**,**,**,**,**,**,3,
1991 February,**,**,**,**,**,**,2,
1991 March,**,**,**,**,**,**,3,
1991 April,**,**,**,**,**,**,3,
1991 May,**,**,**,**,**,**,3,
1991 June,**,**,**,**,**,**,3,
1991 July,**,**,**,**,**,**,3,
1991 August,**,**,**,**,**,**,3,
1991 September,**,**,**,**,**,**,3,
1991 October,**,**,**,**,**,**,3,
1991 November,**,**,**,**,**,**,3,
1991 December,**,**,**,**,**,**,3,
1992 January,**,**,**,**,**,"69,000",5,
1992 February,**,**,**,**,**,**,3,
1992 March,**,**,**,**,**,**,3,
1992 April,**,**,**,**,**,**,3,
1992 May,**,**,**,**,**,**,3,
1992 June,**,**,**,**,**,**,3,
1992 July,**,**,**,**,**,**,3,
1992 August,**,**,**,**,**,**,3,
1992 September,**,**,**,**,**,**,3,
1992 October,**,**,**,**,**,**,3,
1992 November,**,**,**,**,**,**,3,
1992 December,**,**,**,**,**,**,3,
1993 January,**,**,**,**,**,**,3,
1993 February,**,**,**,**,**,**,3,
1993 March,**,**,**,**,**,**,3,
1993 April,**,**,**,**,**,"68,000",5,
1993 May,**,**,**,**,**,"68,000",5,
1993 June,**,**,**,**,**,**,4,
1993 July,**,**,**,**,**,**,4,
1993 August,**,**,**,**,**,**,4,
1993 September,**,**,**,**,**,**,5,
1993 October,**,**,**,**,**,"69,071",7,
1993 November,**,**,**,**,**,"66,750",6,
1993 December,**,**,**,**,**,"66,750",6,
1994 January,**,**,**,**,**,"66,750",6,
1994 February,**,**,**,**,**,"75,786",7,
1994 March,**,**,**,**,**,"75,786",7,
1994 April,**,**,**,**,**,"75,786",7,
1994 May,**,**,**,**,**,**,0,
1994 June,**,**,**,**,**,**,0,
1994 July,**,**,**,**,**,**,0,
1994 August,**,**,**,**,**,**,0,
1994 September,**,**,**,**,**,**,0,
1994 October,**,**,**,**,**,**,0,
1994 November,**,**,**,**,**,**,3,
1994 December,**,**,**,**,**,"92,857",7,
1995 January,**,**,**,**,**,**,2,
1995 February,**,**,**,**,**,**,2,
1995 March,**,**,**,**,**,**,3,
1995 April,**,**,**,**,**,**,3,
1995 May,**,**,**,**,**,**,3,
1995 June,**,**,**,**,**,**,3,
1995 July,**,**,**,**,**,**,3,
1995 August,**,**,**,**,**,**,2,
1995 September,**,**,**,**,**,**,4,
1995 October,**,**,**,**,**,**,4,
1995 November,**,**,**,**,**,**,2,
1995 December,**,**,**,**,**,**,2,
1996 January,**,**,**,**,**,**,2,
1996 February,**,**,**,**,**,**,2,
1996 March,**,**,**,**,**,**,2,
1996 April,**,**,**,**,**,**,2,
1996 May,**,**,**,**,**,**,2,
1996 June,**,**,**,**,**,**,2,
1996 July,**,**,**,**,**,"88,500",8,
1996 August,**,**,**,**,**,**,4,
1996 September,**,**,**,**,**,"83,800",5,
1996 October,**,**,**,**,**,"83,800",5,
1996 November,**,**,**,**,**,"86,500",6,
1996 December,**,**,**,**,**,"87,375",8,
1997 January,**,**,**,**,**,"86,900",10,
1997 February,**,**,**,**,**,"86,900",10,
1997 March,**,**,**,**,**,"86,125",8,
1997 April,**,**,**,**,**,"85,900",10,
1997 May,**,**,**,**,**,"85,900",10,
1997 June,**,**,**,**,**,"86,125",8,
1997 July,**,**,**,**,**,"84,833",6,
1997 August,**,**,**,**,**,"84,833",6,
1997 September,**,**,**,**,**,"84,833",6,
1997 October,**,**,**,**,**,"84,900",10,
1997 November,**,**,**,**,**,"84,900",10,
1997 December,**,**,**,**,**,"84,900",10,
1998 January,**,**,**,**,**,"83,750",12,
1998 February,**,**,**,**,**,"84,875",8,
1998 March,**,**,**,**,**,"87,444",9,
1998 April,**,**,**,**,**,"87,444",9,
1998 May,**,**,**,**,**,"94,480",10,
1998 June,**,**,**,**,**,"96,089",9,
1998 July,**,**,**,**,**,"96,089",9,
1998 August,**,**,**,**,**,"96,089",9,
1998 September,**,**,**,**,**,**,15,
1998 October,**,**,**,**,**,**,14,
1998 November,**,**,**,**,**,**,11,
1998 December,**,**,**,**,**,**,11,
1999 January,**,**,**,**,**,**,14,
1999 February,**,**,**,**,**,**,10,
1999 March,**,**,**,**,**,**,7,
1999 April,**,**,**,**,**,**,7,
1999 May,**,**,**,**,**,**,6,
1999 June,**,**,**,**,**,**,6,
1999 July,**,**,**,**,**,**,4,
1999 August,**,**,**,**,**,**,4,
1999 September,**,**,**,**,**,**,6,
1999 October,**,**,**,**,**,**,4,
1999 November,**,**,**,**,**,**,4,
1999 December,**,**,**,**,**,**,4,
2000 January,**,**,**,**,**,**,4,
2000 February,**,**,**,**,**,**,4,
2000 March,**,**,**,**,**,**,4,
2000 April,**,**,**,**,**,**,3,
2000 May,**,**,**,**,**,**,3,
