"Vancouver — Historical Average, Median and Price Percentiles for Unabsorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Single / Semi-detached
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1990 January,"275,000","350,000","425,000","628,000","380,000","469,273","1,016",
1990 February,"275,000","350,000","420,000","650,000","380,000","471,915",967,
1990 March,"280,000","350,000","425,000","650,000","380,000","473,223",955,
1990 April,"270,000","340,000","425,000","600,000","380,000","456,979","1,075",
1990 May,"260,000","330,000","400,000","576,000","360,000","444,657","1,268",
1990 June,"250,000","310,000","387,000","540,000","350,000","423,943","1,608",
1990 July,"245,000","305,000","375,000","520,000","340,000","412,195","1,816",
1990 August,"240,000","300,000","375,000","500,000","340,000","412,758","1,856",
1990 September,"240,000","300,000","380,000","500,000","340,000","413,863","1,831",
1990 October,"240,000","300,000","380,000","500,000","340,000","411,470","1,869",
1990 November,"230,000","290,000","370,000","500,000","330,000","400,624","1,898",
1990 December,"230,000","290,000","360,000","495,000","330,000","395,160","1,968",
1991 January,"225,000","280,000","350,000","480,000","320,000","383,626","1,768",
1991 February,"225,000","285,000","350,000","470,000","320,000","380,458","1,612",
1991 March,"230,000","285,000","350,000","490,000","320,000","393,757","1,398",
1991 April,"230,000","285,000","357,000","500,000","327,500","398,339","1,048",
1991 May,"230,000","280,000","350,000","495,000","320,000","396,711",876,
1991 June,"220,000","275,000","350,000","493,000","320,000","389,765",771,
1991 July,"225,000","275,000","343,000","499,000","310,000","394,680",710,
1991 August,"220,000","270,000","331,000","480,000","300,000","385,836",706,
1991 September,"210,000","260,000","320,000","430,000","285,000","365,600",703,
1991 October,"210,000","255,000","320,000","415,000","272,500","347,781",784,
1991 November,"210,000","260,000","310,000","406,000","275,000","349,396",807,
1991 December,"220,000","260,000","320,000","424,000","280,000","350,998",835,
1992 January,"220,000","259,000","311,000","430,000","275,000","350,329",861,
1992 February,"220,000","255,000","310,000","418,000","275,000","343,489",851,
1992 March,"220,000","255,000","300,000","390,000","275,000","342,601",809,
1992 April,"225,000","260,000","320,000","420,000","280,000","363,026",758,
1992 May,"230,000","265,000","320,000","406,000","290,000","358,802",738,
1992 June,"240,000","270,000","330,000","420,000","300,000","362,301",738,
1992 July,"240,000","280,000","336,000","430,000","300,000","368,780",846,
1992 August,"250,000","290,000","350,000","450,000","310,000","381,040",852,
1992 September,"250,000","290,000","345,000","437,000","310,000","381,037",852,
1992 October,"260,000","295,000","350,000","435,000","325,000","383,754",868,
1992 November,"260,000","295,000","350,000","446,000","325,000","390,761",843,
1992 December,"263,000","300,000","350,000","457,000","330,000","400,481",907,
1993 January,"260,000","297,000","350,000","454,000","325,000","398,786",890,
1993 February,"260,000","300,000","355,000","498,000","330,000","404,400",871,
1993 March,"270,000","300,000","370,000","540,000","330,000","422,740",938,
1993 April,"270,000","306,000","380,000","540,000","335,000","426,841",907,
1993 May,"270,000","310,000","395,000","550,000","340,000","441,343",904,
1993 June,"270,000","315,000","400,000","595,000","345,000","459,597",947,
1993 July,"280,000","320,000","410,000","600,000","350,000","462,243","1,011",
1993 August,"280,000","330,000","420,000","610,000","380,000","466,970","1,101",
1993 September,"280,000","330,000","420,000","610,000","370,000","469,680","1,123",
1993 October,"275,000","330,000","415,000","610,000","360,000","460,084","1,230",
1993 November,"285,000","345,000","435,000","630,000","385,000","472,772","1,314",
1993 December,"290,000","350,000","430,000","630,000","390,000","477,713","1,312",
1994 January,"290,000","350,000","430,000","625,000","390,000","470,540","1,314",
1994 February,"290,000","350,000","430,000","620,000","390,000","471,760","1,285",
1994 March,"295,000","350,000","430,000","630,000","390,000","475,527","1,230",
1994 April,"300,000","350,000","450,000","650,000","395,000","481,748","1,147",
1994 May,"300,000","366,000","470,000","660,000","410,000","493,612","1,067",
1994 June,"300,000","365,000","470,000","650,000","410,000","484,353","1,126",
1994 July,"300,000","360,000","470,000","650,000","410,000","490,513","1,067",
1994 August,"300,000","350,000","450,000","650,000","400,000","481,241","1,067",
1994 September,"300,000","350,000","445,000","640,000","390,000","480,265","1,114",
1994 October,"300,000","344,000","430,000","630,000","380,000","475,912","1,186",
1994 November,"300,000","340,000","430,000","600,000","370,000","468,058","1,305",
1994 December,"300,000","340,000","430,000","600,000","380,000","468,050","1,377",
1995 January,"300,000","345,000","440,000","600,000","380,000","472,300","1,351",
1995 February,"300,000","350,000","440,000","620,000","390,000","481,393","1,449",
1995 March,"300,000","350,000","440,000","600,000","390,000","478,175","1,504",
1995 April,"310,000","350,000","450,000","610,000","390,000","480,722","1,593",
1995 May,"310,000","360,000","460,000","650,000","400,000","491,792","1,597",
1995 June,"315,000","370,000","460,000","650,000","420,000","500,107","1,618",
1995 July,"315,000","380,000","470,000","670,000","427,500","510,273","1,618",
1995 August,"315,000","380,000","470,000","690,000","430,000","520,241","1,615",
1995 September,"305,000","375,000","471,000","690,000","430,000","516,365","1,666",
1995 October,"305,000","370,000","472,000","700,000","430,000","521,798","1,643",
1995 November,"300,000","380,000","480,000","700,000","430,000","523,007","1,610",
1995 December,"300,000","380,000","480,000","725,000","435,000","530,196","1,562",
1996 January,"295,000","370,000","475,000","730,000","425,000","533,916","1,504",
1996 February,"290,000","368,000","480,000","740,000","430,000","546,574","1,433",
1996 March,"295,000","370,000","500,000","760,000","435,000","569,782","1,357",
1996 April,"300,000","385,000","530,000","790,000","450,000","605,411","1,257",
1996 May,"300,000","410,000","575,000","800,000","470,000","623,628","1,202",
1996 June,"295,000","400,000","575,000","800,000","470,000","618,825","1,157",
1996 July,"300,000","400,000","590,000","800,000","480,000","621,693","1,105",
1996 August,"300,000","400,000","566,000","800,000","470,000","621,585","1,176",
1996 September,"290,000","388,000","540,000","800,000","450,000","602,882","1,198",
1996 October,"290,000","380,000","520,000","790,000","450,000","591,079","1,257",
1996 November,"290,000","385,000","520,000","776,000","450,000","593,221","1,253",
1996 December,"295,000","380,000","530,000","790,000","450,000","606,499","1,224",
1997 January,"290,000","400,000","550,000","800,000","460,000","623,874","1,164",
1997 February,"290,000","400,000","550,000","800,000","460,000","631,955","1,133",
1997 March,"295,000","410,000","570,000","800,000","470,000","639,471","1,107",
1997 April,"295,000","400,000","563,000","800,000","470,000","635,596","1,125",
1997 May,"295,000","400,000","560,000","800,000","470,000","639,268","1,070",
1997 June,"300,000","400,000","550,000","800,000","470,000","633,681","1,048",
1997 July,"300,000","400,000","530,000","789,000","450,000","624,255","1,000",
1997 August,"295,000","385,000","500,000","750,000","440,000","607,614",996,
1997 September,"295,000","380,000","490,000","700,000","430,000","585,979","1,041",
1997 October,"290,000","370,000","470,000","700,000","420,000","572,001","1,112",
