"Saint John — Historical Average, Median and Price Percentiles for Unabsorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Single
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1997 January,"85,000","92,000","124,000","137,000","100,000","112,235",17,
1997 February,"87,000","99,000","116,000","138,000","105,000","111,238",21,
1997 March,"85,000","100,000","120,000","145,000","105,000","112,947",19,
1997 April,"85,000","90,000","106,000","136,000","100,000","107,063",16,
1997 May,"89,000","103,000","134,000","161,000","120,000","121,000",23,
1997 June,"86,000","97,000","126,000","153,000","107,500","119,850",20,
1997 July,"86,000","97,000","140,000","173,000","107,500","130,200",20,
1997 August,"86,000","97,000","140,000","173,000","107,500","130,550",20,
1997 September,"85,000","90,000","113,000","161,000","97,500","115,563",16,
1997 October,"85,000","90,000","100,000","135,000","95,000","107,412",17,
1997 November,"85,000","90,000","100,000","135,000","95,000","107,412",17,
1997 December,"80,000","88,000","94,000","102,000","90,000","95,385",13,
1998 January,"80,000","88,000","90,000","102,000","90,000","94,615",13,
1998 February,"80,000","88,000","90,000","102,000","90,000","94,615",13,
1998 March,"78,000","85,000","90,000","102,000","90,000","92,462",13,
1998 April,"78,000","85,000","90,000","102,000","90,000","92,462",13,
1998 May,"78,000","85,000","90,000","102,000","90,000","92,462",13,
1998 June,"80,000","85,000","90,000","98,000","87,500","93,600",10,
1998 July,"80,000","88,000","90,000","166,000","90,000","107,385",13,
1998 August,"78,000","85,000","90,000","113,000","90,000","105,077",13,
1998 September,**,**,**,**,**,**,14,
1998 October,"80,000","85,000","90,000","126,000","87,500","100,833",12,
1998 November,"78,000","85,000","90,000","120,000","87,500","96,750",12,
1998 December,"80,000","85,000","92,000","159,000","90,000","116,909",11,
1999 January,"78,000","81,000","89,000","126,000","85,000","107,750",12,
1999 February,**,**,**,**,**,"89,650",6,
1999 March,**,**,**,**,**,"134,371",7,
1999 April,**,**,**,**,**,"138,443",7,
1999 May,**,**,**,**,**,"170,800",4,
1999 June,**,**,**,**,**,"170,729",7,
1999 July,**,**,**,**,**,"148,388",8,
1999 August,**,**,**,**,**,"141,120",5,
1999 September,**,**,**,**,**,"136,188",8,
1999 October,**,**,**,**,**,**,10,
1999 November,**,**,**,**,**,"173,640",5,
1999 December,**,**,**,**,**,"163,256",9,
2000 January,"112,000","125,000","150,000","228,000","130,000","157,830",10,
2000 February,**,**,**,**,**,"168,175",8,
2000 March,"117,000","129,000","156,000","216,000","142,500","155,140",10,
2000 April,**,**,**,**,**,"158,933",9,
2000 May,"125,000","130,000","159,000","234,000","140,000","165,190",10,
2000 June,"125,000","130,000","146,000","193,000","135,000","151,390",10,
2000 July,**,**,**,**,**,"160,817",6,
2000 August,**,**,**,**,**,"125,656",9,
2000 September,"91,000","100,000","110,000","125,000","110,000","112,052",13,
2000 October,"110,000","114,000","120,000","134,000","120,000","127,981",16,
2000 November,"110,000","115,000","121,000","134,000","120,000","133,225",16,
2000 December,"112,000","119,000","125,000","194,000","120,000","141,618",11,
2001 January,"115,000","125,000","165,000","234,000","125,000","162,592",13,
2001 February,"115,000","125,000","157,000","232,000","125,000","157,300",12,
2001 March,**,**,**,**,**,"143,805",13,
2001 April,"115,000","123,000","133,000","177,000","125,000","140,327",11,
2001 May,"114,000","143,000","165,000","207,000","160,000","161,362",13,
2001 June,"119,000","156,000","165,000","228,000","162,500","172,650",12,
2001 July,**,**,**,**,**,"145,623",10,
2001 August,"78,000","121,000","129,000","165,000","125,000","121,644",12,
2001 September,**,**,**,**,**,"124,867",6,
2001 October,"99,000","121,000","134,000","158,000","125,000","133,323",13,
2001 November,"114,000","120,000","133,000","178,000","125,000","157,131",13,
2001 December,**,**,**,**,**,"170,713",8,
2002 January,**,**,**,**,**,"139,100",8,
2002 February,"122,000","129,000","164,000","194,000","140,000","155,427",11,
2002 March,"121,000","130,000","152,000","184,000","140,000","150,580",15,
2002 April,"125,000","148,000","178,000","212,000","165,000","171,567",12,
2002 May,"120,000","146,000","186,000","206,000","170,000","168,938",13,
2002 June,"121,000","151,000","189,000","200,000","170,000","169,493",15,
2002 July,"120,000","146,000","174,000","196,000","160,000","158,792",13,
2002 August,"120,000","123,000","186,000","214,000","170,000","170,731",13,
2002 September,**,**,**,**,**,"171,000",4,
2002 October,**,**,**,**,**,"198,113",8,
2002 November,"120,000","147,000","174,000","232,000","167,500","181,944",16,
2002 December,"115,000","166,000","182,000","248,000","170,000","195,350",12,
2003 January,"110,000","165,000","195,000","215,000","172,500","172,900",14,
2003 February,"125,000","142,000","170,000","219,000","165,000","165,988",15,
2003 March,"115,000","145,000","169,000","224,000","165,000","167,381",12,
2003 April,"129,000","150,000","186,000","232,000","165,000","174,758",18,
2003 May,"140,000","170,000","210,000","230,000","200,000","189,720",19,
2003 June,"139,000","168,000","200,000","222,000","195,000","184,327",23,
2003 July,"128,000","167,000","198,000","220,000","187,500","182,048",20,
2003 August,"140,000","180,000","200,000","220,000","190,000","182,479",19,
2003 September,"110,000","157,000","189,000","214,000","175,000","169,664",22,
2003 October,"114,000","169,000","196,000","218,000","182,500","180,831",26,
2003 November,"149,000","204,000","213,000","224,000","210,000","202,047",15,
2003 December,"99,000","170,000","218,000","224,000","215,000","191,680",10,
2004 January,"95,000","140,000","190,000","220,000","172,500","179,050",14,
2004 February,"131,000","155,000","193,000","219,000","185,000","179,850",20,
2004 March,"130,000","155,000","194,000","215,000","180,000","178,439",27,
2004 April,"130,000","160,000","195,000","215,000","180,000","178,740",34,
2004 May,"130,000","158,000","192,000","215,000","180,000","177,530",38,
2004 June,"131,000","166,000","195,000","215,000","185,000","185,379",40,
2004 July,"133,000","163,000","195,000","217,000","185,000","185,475",42,
2004 August,"125,000","155,000","190,000","217,000","180,000","179,470",52,
2004 September,"95,000","135,000","190,000","325,000","155,000","184,021",14,
2004 October,"95,000","130,000","145,000","200,000","140,000","157,529",14,
2004 November,**,**,**,**,**,"143,382",17,
2004 December,**,**,**,**,**,"147,780",10,
2005 January,"111,000","138,000","166,000","221,000","150,000","160,885",13,
2005 February,**,**,**,**,**,"182,134",18,
2005 March,**,**,**,**,**,"190,680",10,
2005 April,**,**,**,**,**,"194,257",14,
2005 May,**,**,**,**,**,**,8,
2005 June,**,**,**,**,**,**,4,
2005 July,**,**,**,**,**,**,10,
2005 August,**,**,**,**,**,"195,722",9,
2005 September,**,**,**,**,**,"200,355",11,
2005 October,**,**,**,**,**,"224,544",13,
2005 November,"138,000","175,000","206,000","287,000","180,000","209,655",13,
2005 December,**,**,**,**,**,**,1,
2006 January,**,**,**,**,**,**,6,
2006 February,**,**,**,**,**,**,14,
2006 March,"156,000","187,000","243,000","260,000","215,000","212,834",12,
2006 April,**,**,**,**,**,"224,642",12,
2006 May,**,**,**,**,**,"234,617",22,
2006 June,**,**,**,**,**,"243,842",16,
2006 July,"178,000","208,000","244,000","284,000","235,000","246,727",15,
2006 August,"159,000","193,000","220,000","239,000","215,000","214,041",25,
2006 September,"142,000","185,000","215,000","238,000","200,000","196,331",20,
2006 October,"157,000","213,000","230,000","271,000","225,000","216,193",21,
2006 November,"184,000","225,000","238,000","279,000","230,000","228,348",22,
2006 December,"127,000","169,000","230,000","293,000","190,000","204,086",21,
2007 January,"127,000","174,000","266,000","316,000","205,000","217,558",21,
2007 February,"130,000","170,000","225,000","320,000","205,000","212,258",19,
2007 March,"145,000","180,000","245,000","310,000","210,000","238,337",19,
2007 April,"185,000","219,000","246,000","300,000","225,000","252,237",21,
2007 May,"160,000","216,000","249,000","314,000","222,500","246,920",22,
2007 June,**,**,**,**,**,"269,379",14,
2007 July,"136,000","187,000","233,000","348,000","200,000","244,346",13,
2007 August,"136,000","190,000","300,000","327,000","245,000","246,346",13,
2007 September,"125,000","181,000","260,000","308,000","200,000","218,358",15,
2007 October,"160,000","192,000","228,000","297,000","200,000","215,877",17,
2007 November,"157,000","204,000","248,000","305,000","230,000","227,356",15,
2007 December,"165,000","230,000","270,000","335,000","247,500","246,561",14,
2008 January,"157,000","242,000","295,000","350,000","270,000","278,519",13,
2008 February,"149,000","242,000","314,000","360,000","270,000","285,819",13,
2008 March,"149,000","242,000","308,000","346,000","280,000","273,276",18,
2008 April,"150,000","228,000","282,000","341,000","270,000","266,264",21,
2008 May,"150,000","208,000","276,000","349,000","230,000","261,586",25,
2008 June,"167,000","228,000","337,000","392,000","310,000","294,110",21,
2008 July,"169,000","250,000","341,000","400,000","330,000","299,530",23,
2008 August,"207,000","331,000","358,000","388,000","350,000","308,200",22,
2008 September,**,**,**,**,**,"300,515",20,
2008 October,"221,000","327,000","350,000","384,000","340,000","310,717",21,
2008 November,"216,000","282,000","337,000","360,000","317,500","294,199",28,
2008 December,"210,000","300,000","335,000","360,000","325,000","294,359",29,
2009 January,"178,000","291,000","335,000","354,000","300,000","277,514",32,
2009 February,"189,000","270,000","308,000","342,000","292,500","276,960",38,
2009 March,"185,000","259,000","312,000","348,000","290,000","281,068",45,
2009 April,"215,000","265,000","325,000","350,000","290,000","291,251",49,
2009 May,"200,000","265,000","335,000","365,000","295,000","346,500",39,
2009 June,"186,000","237,000","293,000","362,000","270,000","325,111",45,
2009 July,"190,000","240,000","290,000","335,000","260,000","274,291",45,
2009 August,"190,000","257,000","290,000","346,000","277,500","272,745",40,
2009 September,"189,000","240,000","262,000","306,000","250,000","257,550",48,
2009 October,"179,000","240,000","262,000","313,000","250,000","256,350",53,
2009 November,"180,000","227,000","260,000","350,000","247,500","260,547",52,
2009 December,"178,000","225,000","268,000","350,000","250,000","265,156",57,
2010 January,"175,000","219,000","270,000","350,000","250,000","262,671",48,
2010 February,"184,000","233,000","286,000","344,000","255,000","263,500",46,
2010 March,"190,000","247,000","300,000","350,000","265,000","271,980",46,
2010 April,"190,000","247,000","300,000","350,000","270,000","275,620",41,
2010 May,"184,000","226,000","294,000","354,000","250,000","267,314",37,
2010 June,"191,000","234,000","288,000","368,000","260,000","270,560",35,
2010 July,"190,000","229,000","272,000","375,000","255,000","269,256",36,
2010 August,"198,000","242,000","290,000","378,000","270,000","281,870",33,
2010 September,"198,000","236,000","298,000","360,000","270,000","281,749",37,
2010 October,"198,000","235,000","294,000","340,000","270,000","275,565",37,
2010 November,"200,000","254,000","296,000","328,000","270,000","279,161",40,
2010 December,"200,000","262,000","294,000","352,000","275,000","283,377",37,
2011 January,"225,000","273,000","297,000","346,000","285,000","290,779",33,
2011 February,"225,000","273,000","300,000","346,000","287,500","294,979",38,
2011 March,"225,000","278,000","308,000","392,000","290,000","302,897",33,
2011 April,"225,000","270,000","300,000","396,000","285,000","309,500",36,
2011 May,"198,000","240,000","297,000","384,000","285,000","306,712",33,
2011 June,"215,000","260,000","300,000","390,000","275,000","306,745",29,
2011 July,"212,000","262,000","308,000","400,000","282,500","307,907",28,
2011 August,"207,000","287,000","330,000","360,000","300,000","306,588",36,
2011 September,"205,000","269,000","330,000","356,000","302,500","303,552",36,
2011 October,"205,000","265,000","330,000","350,000","290,000","304,878",39,
2011 November,**,**,**,**,**,"307,140",32,
2011 December,"232,000","290,000","330,000","358,000","300,000","313,025",35,
2012 January,"229,000","283,000","324,000","350,000","300,000","305,444",38,
2012 February,"236,000","286,000","330,000","354,000","300,000","316,486",37,
2012 March,"240,000","283,000","330,000","352,000","312,500","311,017",28,
2012 April,**,**,**,**,**,"328,365",24,
2012 May,**,**,**,**,**,"330,043",25,
2012 June,"231,000","284,000","330,000","356,000","300,000","286,663",31,
2012 July,**,**,**,**,**,**,22,
2012 August,**,**,**,**,**,"307,603",21,
2012 September,**,**,**,**,**,**,21,
2012 October,**,**,**,**,**,**,21,
2012 November,**,**,**,**,**,**,21,
2012 December,**,**,**,**,**,"347,147",19,
2013 January,**,**,**,**,**,"315,477",22,
2013 February,**,**,**,**,**,**,24,
2013 March,"261,000","300,000","328,000","369,000","315,000","320,812",25,
2013 April,"250,000","310,000","330,000","395,000","322,500","331,500",24,
2013 May,"236,000","296,000","329,000","380,000","310,000","319,241",27,
2013 June,"242,000","300,000","350,000","398,000","310,000","353,367",21,
2013 July,"268,000","300,000","330,000","366,000","310,000","331,667",15,
2013 August,"254,000","300,000","318,000","384,000","300,000","326,492",13,
2013 September,**,**,**,**,**,"308,524",16,
2013 October,**,**,**,**,**,"356,120",15,
2013 November,"286,000","300,000","310,000","537,000","305,000","370,400",12,
2013 December,**,**,**,**,**,"343,129",17,
2014 January,**,**,**,**,**,"321,881",16,
2014 February,**,**,**,**,**,"341,575",16,
2014 March,**,**,**,**,**,"339,646",13,
2014 April,**,**,**,**,**,"371,513",15,
2014 May,**,**,**,**,**,**,15,
2014 June,**,**,**,**,**,**,12,
2014 July,**,**,**,**,**,**,12,
2014 August,**,**,**,**,**,**,10,
2014 September,**,**,**,**,**,**,9,
2014 October,**,**,**,**,**,**,9,
2014 November,**,**,**,**,**,**,9,
2014 December,**,**,**,**,**,**,9,
2015 January,**,**,**,**,**,**,9,
2015 February,**,**,**,**,**,**,10,
2015 March,**,**,**,**,**,**,9,
2015 April,**,**,**,**,**,**,9,
2015 May,**,**,**,**,**,**,6,
2015 June,**,**,**,**,**,**,10,
2015 July,**,**,**,**,**,**,8,
