"Kitchener - Cambridge - Waterloo — Historical Average, Median and Price Percentiles for Unabsorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Single / Semi-detached
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1990 January,"170,000","210,000","262,000","285,000","250,000","234,468",203,
1990 February,"180,000","244,000","275,000","285,000","255,000","238,955",199,
1990 March,"181,000","240,000","275,000","289,000","260,000","241,294",197,
1990 April,"169,000","233,000","275,000","291,000","260,000","240,413",213,
1990 May,"150,000","210,000","270,000","285,000","245,000","235,456",237,
1990 June,"146,000","197,000","250,000","285,000","230,000","226,293",245,
1990 July,"150,000","200,000","250,000","285,000","240,000","229,232",241,
1990 August,"145,000","185,000","245,000","280,000","210,000","220,584",241,
1990 September,"150,000","190,000","250,000","280,000","232,500","220,263",288,
1990 October,"150,000","190,000","250,000","275,000","240,000","220,656",342,
1990 November,"150,000","192,000","250,000","275,000","240,000","222,850",340,
1990 December,"150,000","195,000","250,000","275,000","240,000","223,845",300,
1991 January,"145,000","185,000","245,000","275,000","225,000","218,057",288,
1991 February,"145,000","185,000","245,000","275,000","222,500","218,672",252,
1991 March,"150,000","185,000","245,000","275,000","220,000","217,071",223,
1991 April,"145,000","181,000","245,000","280,000","210,000","215,005",187,
1991 May,"145,000","180,000","240,000","277,000","200,000","211,466",182,
1991 June,"145,000","180,000","235,000","280,000","200,000","212,779",177,
1991 July,"154,000","185,000","235,000","280,000","200,000","219,663",131,
1991 August,"160,000","195,000","240,000","284,000","220,000","226,627",135,
1991 September,"150,000","180,000","220,000","275,000","195,000","216,527",157,
1991 October,"150,000","175,000","215,000","275,000","190,000","212,299",196,
1991 November,"150,000","170,000","200,000","260,000","185,000","207,775",220,
1991 December,"150,000","170,000","210,000","275,000","185,000","209,367",195,
1992 January,"150,000","180,000","225,000","280,000","195,000","222,577",176,
1992 February,"150,000","180,000","230,000","285,000","200,000","225,821",164,
1992 March,"150,000","185,000","235,000","285,000","210,000","233,338",142,
1992 April,"150,000","185,000","230,000","285,000","210,000","229,673",141,
1992 May,"155,000","182,000","225,000","280,000","205,000","225,853",130,
1992 June,"150,000","169,000","200,000","250,000","185,000","210,438",146,
1992 July,"145,000","165,000","193,000","249,000","180,000","200,253",150,
1992 August,"145,000","165,000","192,000","236,000","175,000","196,196",158,
1992 September,"150,000","170,000","202,000","258,000","185,000","205,083",156,
1992 October,"145,000","170,000","198,000","250,000","180,000","201,587",165,
1992 November,"145,000","165,000","190,000","250,000","175,000","198,664",167,
1992 December,"145,000","165,000","190,000","246,000","175,000","198,899",163,
1993 January,"140,000","165,000","185,000","240,000","170,000","194,969",176,
1993 February,"145,000","165,000","185,000","240,000","175,000","197,605",163,
1993 March,"150,000","165,000","195,000","240,000","175,000","199,017",156,
1993 April,"149,000","170,000","192,000","240,000","175,000","200,862",148,
1993 May,"147,000","170,000","196,000","248,000","180,000","201,251",156,
1993 June,"140,000","165,000","185,000","220,000","170,000","188,289",197,
1993 July,"150,000","165,000","185,000","220,000","170,000","189,348",176,
1993 August,"150,000","165,000","185,000","220,000","170,000","190,087",165,
1993 September,"149,000","165,000","180,000","220,000","170,000","183,366",178,
1993 October,"150,000","165,000","175,000","212,000","170,000","181,970",187,
1993 November,"150,000","165,000","174,000","212,000","165,000","182,130",187,
1993 December,"150,000","165,000","171,000","210,000","170,000","182,233",171,
1994 January,"155,000","165,000","175,000","218,000","170,000","184,355",181,
1994 February,"155,000","165,000","175,000","220,000","170,000","185,608",170,
1994 March,"150,000","165,000","175,000","220,000","170,000","184,802",171,
1994 April,"150,000","165,000","170,000","220,000","170,000","184,796",156,
1994 May,"147,000","165,000","170,000","220,000","165,000","186,310",136,
1994 June,"150,000","165,000","175,000","220,000","170,000","185,107",122,
1994 July,"150,000","165,000","175,000","220,000","170,000","185,167",124,
1994 August,"130,000","155,000","165,000","193,000","160,000","172,151",156,
1994 September,"136,000","155,000","170,000","190,000","165,000","173,524",165,
1994 October,"135,000","158,000","170,000","190,000","165,000","174,777",183,
1994 November,"135,000","155,000","170,000","190,000","165,000","174,241",166,
1994 December,"135,000","154,000","170,000","185,000","165,000","171,258",156,
1995 January,"135,000","150,000","170,000","189,000","160,000","170,429",170,
1995 February,"130,000","145,000","165,000","180,000","155,000","164,996",197,
1995 March,"139,000","150,000","170,000","185,000","160,000","170,609",188,
1995 April,"135,000","150,000","165,000","185,000","155,000","169,259",205,
1995 May,"135,000","150,000","165,000","185,000","155,000","167,916",213,
1995 June,"130,000","145,000","165,000","183,000","155,000","163,196",211,
1995 July,"135,000","150,000","165,000","185,000","155,000","166,491",200,
1995 August,"135,000","150,000","165,000","185,000","160,000","167,932",176,
1995 September,"140,000","150,000","165,000","185,000","160,000","167,923",185,
1995 October,"140,000","150,000","165,000","185,000","155,000","167,800",182,
1995 November,"140,000","150,000","165,000","185,000","155,000","168,674",185,
1995 December,"140,000","155,000","165,000","185,000","160,000","168,593",177,
1996 January,"140,000","155,000","165,000","185,000","160,000","168,866",180,
1996 February,"140,000","155,000","165,000","185,000","160,000","168,098",173,
1996 March,"140,000","155,000","165,000","185,000","160,000","168,488",178,
1996 April,"140,000","155,000","165,000","185,000","160,000","167,509",169,
1996 May,"140,000","155,000","165,000","185,000","160,000","169,126",172,
1996 June,"140,000","150,000","165,000","180,000","160,000","165,350",165,
1996 July,"140,000","155,000","165,000","180,000","160,000","165,373",175,
1996 August,"140,000","155,000","165,000","180,000","160,000","164,946",159,
1996 September,"140,000","150,000","165,000","175,000","155,000","161,693",169,
1996 October,"140,000","150,000","165,000","176,000","155,000","163,346",158,
1996 November,"135,000","150,000","165,000","175,000","155,000","163,757",187,
1996 December,"135,000","145,000","161,000","175,000","155,000","161,863",171,
1997 January,"140,000","150,000","160,000","175,000","155,000","162,570",169,
1997 February,"140,000","150,000","160,000","175,000","150,000","161,381",184,
1997 March,"140,000","150,000","165,000","171,000","155,000","162,622",163,
1997 April,"140,000","150,000","165,000","175,000","160,000","163,464",194,
1997 May,"135,000","147,000","165,000","175,000","160,000","161,592",170,
1997 June,"135,000","145,000","165,000","175,000","155,000","160,365",169,
1997 July,"130,000","145,000","165,000","175,000","150,000","159,695",155,
1997 August,"130,000","150,000","165,000","175,000","155,000","159,858",178,
1997 September,"125,000","150,000","170,000","176,000","160,000","160,951",188,
1997 October,"130,000","150,000","170,000","175,000","160,000","160,912",194,
1997 November,"130,000","150,000","170,000","175,000","160,000","165,356",216,
1997 December,"135,000","150,000","170,000","180,000","165,000","167,053",202,
1998 January,"135,000","160,000","170,000","180,000","165,000","170,113",219,
1998 February,"135,000","160,000","170,000","180,000","165,000","170,431",222,
1998 March,"140,000","165,000","170,000","180,000","165,000","169,506",223,
1998 April,"139,000","165,000","170,000","181,000","167,500","169,784",208,
1998 May,"140,000","165,000","170,000","190,000","170,000","170,581",194,
1998 June,"135,000","160,000","170,000","185,000","170,000","169,696",208,
1998 July,"135,000","160,000","170,000","182,000","165,000","170,460",192,
1998 August,"137,000","160,000","170,000","185,000","165,000","173,864",196,
1998 September,"142,000","160,000","170,000","190,000","167,500","175,234",206,
1998 October,"143,000","165,000","175,000","192,000","170,000","177,109",207,
1998 November,"143,000","165,000","175,000","190,000","170,000","174,726",192,
1998 December,"142,000","165,000","175,000","185,000","170,000","175,009",191,
1999 January,"145,000","165,000","175,000","195,000","170,000","175,801",167,
1999 February,"150,000","165,000","175,000","200,000","170,000","177,865",172,
1999 March,"146,000","165,000","175,000","200,000","170,000","178,054",170,
1999 April,"146,000","165,000","175,000","195,000","170,000","178,176",150,
1999 May,"140,000","168,000","177,000","200,000","172,500","178,903",128,
1999 June,"135,000","170,000","177,000","200,000","175,000","178,376",123,
1999 July,"141,000","170,000","180,000","210,000","175,000","180,796",115,
1999 August,"140,000","170,000","185,000","220,000","175,000","182,528",121,
1999 September,"145,000","170,000","180,000","220,000","175,000","182,627",127,
1999 October,"140,000","165,000","175,000","195,000","170,000","175,753",122,
1999 November,"140,000","165,000","180,000","200,000","170,000","178,079",117,
1999 December,"158,000","175,000","187,000","220,000","180,000","192,376",98,
2000 January,"155,000","175,000","185,000","220,000","180,000","190,363",99,
2000 February,"158,000","175,000","184,000","220,000","180,000","190,365",112,
2000 March,"155,000","175,000","185,000","220,000","180,000","190,917",118,
2000 April,"160,000","175,000","186,000","231,000","180,000","194,835",131,
2000 May,"160,000","175,000","184,000","222,000","180,000","193,764",117,
2000 June,"163,000","175,000","185,000","240,000","180,000","198,795",117,
2000 July,"164,000","175,000","190,000","240,000","180,000","198,190",128,
2000 August,"165,000","175,000","190,000","240,000","180,000","200,537",133,
2000 September,"165,000","175,000","197,000","245,000","180,000","203,489",143,
2000 October,"170,000","180,000","198,000","244,000","180,000","203,539",155,
2000 November,"165,000","175,000","195,000","249,000","180,000","201,608",155,
2000 December,"170,000","180,000","210,000","250,000","190,000","204,523",148,
2001 January,"170,000","180,000","215,000","260,000","190,000","212,204",143,
2001 February,"175,000","190,000","225,000","275,000","210,000","218,739",149,
2001 March,"175,000","190,000","225,000","275,000","210,000","220,922",153,
2001 April,"175,000","185,000","215,000","266,000","195,000","214,302",171,
2001 May,"175,000","195,000","225,000","270,000","210,000","220,864",156,
2001 June,"180,000","200,000","235,000","275,000","220,000","236,009",130,
2001 July,"180,000","200,000","235,000","272,000","220,000","230,265",133,
2001 August,"185,000","210,000","240,000","275,000","225,000","231,120",132,
2001 September,"180,000","200,000","230,000","276,000","217,500","227,369",141,
2001 October,"180,000","200,000","225,000","270,000","210,000","224,863",133,
2001 November,"175,000","200,000","240,000","282,000","220,000","231,775",157,
2001 December,"170,000","190,000","234,000","280,000","200,000","224,828",142,
2002 January,"170,000","195,000","240,000","287,000","210,000","229,362",137,
2002 February,"168,000","190,000","225,000","280,000","200,000","223,370",147,
2002 March,"170,000","190,000","217,000","280,000","200,000","221,646",158,
2002 April,"170,000","190,000","225,000","283,000","200,000","226,018",151,
2002 May,"170,000","187,000","223,000","275,000","200,000","221,757",165,
2002 June,"170,000","190,000","225,000","295,000","200,000","228,906",234,
2002 July,"170,000","200,000","225,000","290,000","200,000","226,563",144,
2002 August,"170,000","190,000","225,000","290,000","200,000","231,398",131,
2002 September,"175,000","200,000","240,000","300,000","207,500","239,191",136,
2002 October,"170,000","200,000","233,000","300,000","205,000","235,512",127,
2002 November,"170,000","190,000","224,000","284,000","200,000","229,916",132,
2002 December,"170,000","190,000","231,000","294,000","200,000","232,903",125,
2003 January,"170,000","200,000","250,000","300,000","200,000","238,946",130,
2003 February,"175,000","195,000","240,000","300,000","200,000","235,501",128,
2003 March,"175,000","195,000","240,000","290,000","200,000","229,647",123,
2003 April,"175,000","200,000","242,000","291,000","202,500","234,525",145,
2003 May,"175,000","185,000","210,000","281,000","200,000","227,945",122,
2003 June,"175,000","190,000","212,000","275,000","200,000","226,316",130,
2003 July,"175,000","195,000","210,000","276,000","200,000","222,345",115,
2003 August,"182,000","200,000","250,000","293,000","215,000","237,384",89,
2003 September,"185,000","200,000","250,000","300,000","230,000","246,925",113,
