"Hamilton — Historical Average, Median and Price Percentiles for Unabsorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Single / Semi-detached
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1990 January,"175,000","205,000","240,000","300,000","220,000","243,250",248,
1990 February,"180,000","215,000","257,000","328,000","235,000","261,157",150,
1990 March,"188,000","220,000","264,000","345,000","240,000","269,230",152,
1990 April,"186,000","222,000","268,000","340,000","245,000","275,975",160,
1990 May,"189,000","230,000","275,000","341,000","245,000","277,300",178,
1990 June,"195,000","230,000","269,000","345,000","242,500","274,970",193,
1990 July,"195,000","235,000","279,000","350,000","250,000","282,716",198,
1990 August,"195,000","235,000","275,000","350,000","250,000","287,210",203,
1990 September,"200,000","237,000","275,000","350,000","255,000","283,451",203,
1990 October,"190,000","225,000","265,000","340,000","240,000","269,182",235,
1990 November,"190,000","220,000","261,000","340,000","235,000","272,237",226,
1990 December,"195,000","230,000","265,000","345,000","242,500","277,104",214,
1991 January,"195,000","230,000","270,000","345,000","245,000","281,032",207,
1991 February,"191,000","225,000","265,000","339,000","240,000","273,795",190,
1991 March,"193,000","220,000","264,000","340,000","235,000","273,214",182,
1991 April,"198,000","225,000","265,000","340,000","240,000","277,792",162,
1991 May,"194,000","220,000","257,000","325,000","232,500","266,058",139,
1991 June,"190,000","220,000","260,000","325,000","235,000","267,128",140,
1991 July,"195,000","225,000","260,000","325,000","235,000","270,462",134,
1991 August,"200,000","230,000","260,000","322,000","240,000","268,221",153,
1991 September,"200,000","230,000","270,000","341,000","250,000","276,414",161,
1991 October,"200,000","226,000","270,000","345,000","237,500","280,246",186,
1991 November,"195,000","228,000","260,000","326,000","235,000","266,031",199,
1991 December,"196,000","225,000","260,000","325,000","237,500","264,983",186,
1992 January,"190,000","225,000","257,000","327,000","232,500","261,854",186,
1992 February,"190,000","225,000","263,000","334,000","235,000","264,312",183,
1992 March,"190,000","225,000","270,000","340,000","240,000","266,983",172,
1992 April,"190,000","225,000","264,000","331,000","235,000","267,934",163,
1992 May,"190,000","220,000","255,000","325,000","235,000","262,086",166,
1992 June,"185,000","213,000","245,000","325,000","230,000","254,696",181,
