"Edmonton — Historical Average, Median and Price Percentiles for Unabsorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Single / Semi-detached
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1990 January,"105,000","130,000","155,000","175,000","145,000","147,661",161,
1990 February,"110,000","145,000","167,000","195,000","155,000","160,868",168,
1990 March,"110,000","140,000","163,000","200,000","155,000","161,364",145,
1990 April,"120,000","150,000","175,000","200,000","165,000","169,408",155,
1990 May,"120,000","150,000","175,000","200,000","170,000","168,367",151,
1990 June,"130,000","160,000","180,000","200,000","170,000","164,935",213,
1990 July,"120,000","140,000","175,000","200,000","160,000","162,107",229,
1990 August,"125,000","150,000","175,000","201,000","165,000","164,022",311,
1990 September,"125,000","150,000","170,000","195,000","160,000","159,547",333,
1990 October,"125,000","150,000","175,000","200,000","165,000","161,366",405,
1990 November,"125,000","152,000","175,000","200,000","165,000","162,953",435,
1990 December,"125,000","145,000","175,000","200,000","160,000","162,816",425,
1991 January,"125,000","150,000","180,000","200,000","162,500","165,675",426,
1991 February,"130,000","155,000","180,000","205,000","165,000","169,866",432,
1991 March,"130,000","153,000","180,000","205,000","165,000","171,196",423,
1991 April,"131,000","160,000","185,000","210,000","175,000","177,084",399,
1991 May,"130,000","155,000","185,000","215,000","170,000","177,332",393,
1991 June,"131,000","155,000","185,000","210,000","170,000","177,510",381,
1991 July,"130,000","160,000","190,000","228,000","175,000","182,134",441,
1991 August,"130,000","160,000","190,000","220,000","175,000","182,567",423,
1991 September,"131,000","160,000","188,000","220,000","175,000","181,131",445,
1991 October,"135,000","160,000","185,000","220,000","175,000","180,920",498,
1991 November,"135,000","160,000","185,000","215,000","175,000","181,728",505,
1991 December,"140,000","160,000","185,000","215,000","175,000","182,052",465,
1992 January,"140,000","160,000","185,000","215,000","175,000","184,086",450,
1992 February,"135,000","155,000","180,000","213,000","165,000","178,348",406,
1992 March,"135,000","160,000","185,000","215,000","170,000","180,432",400,
1992 April,"135,000","160,000","180,000","215,000","170,000","177,568",389,
1992 May,"135,000","160,000","180,000","215,000","170,000","176,434",409,
1992 June,"135,000","160,000","180,000","212,000","170,000","175,471",432,
1992 July,"135,000","160,000","185,000","215,000","170,000","177,682",437,
1992 August,"135,000","159,000","180,000","210,000","170,000","175,546",445,
1992 September,"131,000","155,000","180,000","205,000","165,000","173,995",470,
1992 October,"140,000","160,000","180,000","208,000","170,000","177,702",498,
1992 November,"140,000","160,000","180,000","205,000","170,000","175,489",549,
1992 December,"135,000","160,000","180,000","205,000","170,000","175,901",570,
1993 January,"135,000","160,000","180,000","205,000","165,000","173,536",612,
1993 February,"135,000","160,000","180,000","205,000","165,000","174,063",686,
1993 March,"135,000","160,000","175,000","205,000","170,000","173,650",704,
1993 April,"135,000","160,000","175,000","203,000","170,000","173,315",701,
1993 May,"135,000","155,000","175,000","200,000","165,000","172,501",726,
1993 June,"135,000","155,000","175,000","200,000","165,000","173,202",736,
1993 July,"135,000","155,000","175,000","205,000","165,000","173,651",759,
1993 August,"135,000","155,000","175,000","204,000","165,000","173,886",750,
1993 September,"135,000","155,000","175,000","200,000","165,000","172,242",756,
1993 October,"135,000","155,000","175,000","200,000","165,000","173,031",810,
1993 November,"135,000","155,000","170,000","200,000","165,000","171,232",850,
1993 December,"130,000","150,000","170,000","195,000","160,000","167,908",873,
1994 January,"130,000","150,000","170,000","190,000","160,000","166,292",868,
1994 February,"130,000","150,000","170,000","190,000","160,000","166,215",870,
1994 March,"130,000","150,000","165,000","190,000","160,000","166,043",839,
1994 April,"135,000","150,000","170,000","190,000","160,000","167,675",847,
1994 May,"135,000","150,000","170,000","195,000","160,000","168,655",862,
1994 June,"130,000","150,000","165,000","195,000","160,000","168,034",847,
1994 July,"130,000","150,000","165,000","190,000","160,000","167,424",862,
1994 August,"130,000","150,000","165,000","190,000","155,000","167,023",828,
1994 September,"130,000","150,000","165,000","190,000","155,000","165,836",836,
1994 October,"130,000","150,000","165,000","190,000","155,000","164,389",811,
1994 November,"130,000","145,000","165,000","190,000","155,000","165,062",835,
1994 December,"130,000","145,000","165,000","185,000","155,000","162,991",860,
