"Trois-Rivières — Historical Average, Median and Price Percentiles for Unabsorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Single / Semi-detached
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1990 January,"60,000","65,000","75,000","90,000","70,000","77,894",85,
1990 February,"60,000","65,000","75,000","90,000","70,000","78,117",77,
1990 March,"60,000","65,000","73,000","90,000","70,000","76,477",65,
1990 April,"55,000","60,000","70,000","90,000","70,000","76,304",69,
1990 May,"55,000","65,000","75,000","90,000","70,000","77,800",80,
1990 June,"55,000","65,000","75,000","90,000","70,000","75,575",73,
1990 July,"55,000","60,000","70,000","90,000","70,000","71,193",57,
1990 August,"55,000","60,000","75,000","90,000","70,000","72,066",64,
1990 September,"55,000","60,000","70,000","90,000","70,000","70,882",66,
1990 October,"55,000","67,000","75,000","90,000","70,000","73,293",45,
1990 November,"55,000","61,000","74,000","87,000","70,000","71,862",42,
1990 December,"55,000","65,000","75,000","85,000","70,000","72,031",39,
1991 January,"55,000","65,000","72,000","86,000","70,000","72,005",38,
1991 February,"58,000","65,000","74,000","87,000","70,000","72,289",37,
1991 March,"60,000","65,000","71,000","90,000","70,000","74,432",41,
1991 April,"60,000","70,000","80,000","96,000","70,000","77,944",41,
1991 May,"60,000","70,000","75,000","90,000","70,000","76,644",43,
1991 June,"60,000","70,000","75,000","90,000","70,000","76,949",45,
1991 July,"60,000","70,000","80,000","91,000","72,500","77,512",58,
1991 August,"60,000","70,000","80,000","95,000","75,000","78,496",68,
1991 September,"60,000","70,000","80,000","95,000","75,000","78,952",69,
1991 October,"60,000","70,000","80,000","100,000","80,000","136,963",89,
1991 November,"65,000","70,000","80,000","95,000","75,000","82,933",102,
1991 December,"65,000","70,000","80,000","90,000","75,000","78,543",109,
1992 January,"60,000","70,000","80,000","90,000","75,000","77,626",109,
1992 February,"60,000","70,000","80,000","90,000","70,000","77,810",123,
1992 March,"65,000","70,000","80,000","90,000","70,000","77,599",139,
1992 April,"65,000","70,000","80,000","90,000","75,000","78,341",123,
1992 May,"65,000","70,000","80,000","90,000","75,000","79,719",130,
1992 June,"65,000","70,000","75,000","90,000","75,000","78,130",135,
1992 July,"65,000","70,000","80,000","100,000","75,000","81,433",83,
1992 August,"65,000","70,000","80,000","100,000","75,000","82,579",87,
1992 September,"65,000","70,000","80,000","100,000","75,000","82,112",93,
1992 October,"65,000","70,000","80,000","96,000","75,000","83,047",93,
1992 November,"65,000","70,000","75,000","90,000","72,500","79,182",90,
1992 December,"65,000","70,000","75,000","87,000","75,000","78,767",97,
1993 January,"65,000","70,000","77,000","90,000","75,000","79,741",93,
1993 February,"65,000","70,000","75,000","85,000","72,500","78,325",92,
1993 March,"65,000","70,000","76,000","85,000","75,000","78,547",96,
1993 April,"65,000","70,000","75,000","85,000","75,000","77,806",102,
1993 May,"65,000","70,000","75,000","85,000","70,000","76,489",117,
1993 June,"65,000","70,000","80,000","94,000","75,000","79,875",125,
1993 July,"65,000","70,000","75,000","90,000","70,000","78,074",93,
1993 August,"65,000","70,000","80,000","100,000","75,000","81,817",96,
1993 September,"65,000","70,000","80,000","90,000","72,500","79,803",92,
1993 October,"65,000","70,000","79,000","92,000","70,000","81,032",92,
1993 November,"65,000","70,000","75,000","90,000","70,000","80,119",85,
1993 December,"65,000","70,000","76,000","90,000","70,000","77,811",76,
1994 January,"65,000","70,000","79,000","90,000","70,000","79,008",72,
1994 February,"65,000","70,000","75,000","90,000","70,000","78,132",88,
1994 March,"65,000","70,000","75,000","90,000","70,000","78,312",82,
1994 April,"65,000","70,000","80,000","110,000","75,000","81,969",91,
1994 May,"60,000","70,000","75,000","91,000","70,000","77,760",128,
1994 June,"65,000","70,000","75,000","90,000","70,000","78,125",95,
1994 July,"65,000","70,000","75,000","88,000","75,000","77,144",45,
1994 August,"65,000","70,000","75,000","84,000","70,000","78,300",55,
1994 September,"65,000","70,000","75,000","80,000","75,000","77,647",58,
1994 October,"65,000","70,000","75,000","80,000","75,000","75,675",63,
