"Toronto — Historical Average, Median and Price Percentiles for Unabsorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Single
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1990 January,"285,000","345,000","449,000","642,000","380,000","444,700",527,
1990 February,"285,000","350,000","455,000","647,000","400,000","452,194",522,
1990 March,"280,000","330,000","450,000","642,000","390,000","445,056",602,
1990 April,"285,000","360,000","480,000","670,000","420,000","468,805",748,
1990 May,"290,000","350,000","455,000","640,000","400,000","451,599","1,019",
1990 June,"285,000","330,000","450,000","620,000","382,500","442,005","1,024",
1990 July,"290,000","350,000","450,000","610,000","400,000","448,685",941,
1990 August,"285,000","340,000","450,000","615,000","390,000","449,026",939,
1990 September,"278,000","325,000","410,000","582,000","360,000","438,277","1,012",
1990 October,"280,000","330,000","425,000","640,000","375,000","459,199","1,033",
1990 November,"275,000","320,000","423,000","640,000","360,000","458,770","1,110",
1990 December,"275,000","325,000","430,000","650,000","370,000","465,452","1,055",
1991 January,"280,000","350,000","470,000","700,000","400,000","495,999",871,
1991 February,"285,000","360,000","490,000","706,000","410,000","512,279",756,
1991 March,"290,000","375,000","500,000","720,000","422,500","519,260",724,
1991 April,"300,000","380,000","520,000","735,000","450,000","532,879",670,
1991 May,"300,000","390,000","508,000","710,000","450,000","536,582",575,
1991 June,"300,000","385,000","500,000","700,000","432,500","518,333",496,
1991 July,"285,000","369,000","485,000","710,000","415,000","515,954",436,
1991 August,"290,000","375,000","495,000","733,000","420,000","525,086",360,
1991 September,"281,000","355,000","450,000","699,000","400,000","495,939",355,
1991 October,"277,000","350,000","450,000","688,000","400,000","488,288",336,
1991 November,"255,000","315,000","432,000","691,000","382,500","474,869",338,
1991 December,"260,000","330,000","446,000","700,000","390,000","481,378",356,
1992 January,"255,000","318,000","430,000","662,000","375,000","463,835",378,
1992 February,"260,000","315,000","430,000","660,000","377,500","463,269",404,
1992 March,"270,000","327,000","430,000","600,000","385,000","450,395",460,
1992 April,"275,000","350,000","430,000","575,000","400,000","448,391",498,
1992 May,"278,000","355,000","440,000","597,000","412,500","457,078",482,
1992 June,"280,000","350,000","430,000","570,000","395,000","444,333",534,
1992 July,"280,000","333,000","430,000","541,000","387,500","435,254",458,
1992 August,"260,000","300,000","400,000","510,000","350,000","406,635",546,
1992 September,"275,000","321,000","430,000","550,000","385,000","427,591",467,
1992 October,"270,000","325,000","430,000","550,000","385,000","430,713",438,
1992 November,"260,000","315,000","410,000","516,000","380,000","419,418",413,
1992 December,"250,000","300,000","400,000","511,000","350,000","409,980",423,
1993 January,"240,000","295,000","395,000","550,000","330,000","403,318",374,
1993 February,"225,000","285,000","385,000","540,000","315,000","391,931",364,
1993 March,"225,000","290,000","391,000","571,000","325,000","399,395",361,
1993 April,"220,000","285,000","397,000","591,000","325,000","401,165",333,
1993 May,"215,000","280,000","395,000","600,000","310,000","401,552",311,
1993 June,"225,000","275,000","382,000","597,000","300,000","396,072",322,
1993 July,"230,000","280,000","395,000","600,000","305,000","401,952",324,
1993 August,"225,000","276,000","390,000","600,000","305,000","400,583",312,
1993 September,"220,000","270,000","345,000","560,000","297,500","383,383",344,
1993 October,"215,000","265,000","330,000","560,000","290,000","380,524",353,
1993 November,"207,000","255,000","325,000","556,000","285,000","371,649",386,
1993 December,"210,000","260,000","329,000","560,000","290,000","379,163",357,
1994 January,"215,000","260,000","339,000","577,000","295,000","389,389",352,
1994 February,"215,000","265,000","350,000","585,000","300,000","390,839",339,
1994 March,"210,000","268,000","375,000","576,000","307,500","391,623",318,
1994 April,"225,000","275,000","335,000","520,000","295,000","385,151",354,
1994 May,"215,000","265,000","310,000","450,000","285,000","358,069",399,
1994 June,"215,000","270,000","313,000","460,000","285,000","367,971",370,
1994 July,"225,000","280,000","365,000","520,000","310,000","416,146",308,
1994 August,"200,000","255,000","320,000","460,000","280,000","374,817",349,
1994 September,"190,000","255,000","305,000","450,000","275,000","363,705",328,
1994 October,"145,000","200,000","280,000","400,000","250,000","322,453",434,
1994 November,"175,000","250,000","295,000","450,000","275,000","346,419",407,
1994 December,"190,000","260,000","314,000","464,000","285,000","364,826",392,
1995 January,"205,000","275,000","340,000","540,000","295,000","392,182",369,
1995 February,"210,000","260,000","328,000","500,000","285,000","379,444",440,
1995 March,"210,000","262,000","328,000","500,000","285,000","379,534",460,
1995 April,"210,000","260,000","328,000","500,000","285,000","379,976",455,
1995 May,"210,000","255,000","320,000","500,000","285,000","377,797",443,
1995 June,"210,000","255,000","310,000","500,000","280,000","366,577",459,
1995 July,"210,000","250,000","300,000","491,000","275,000","354,825",473,
1995 August,"203,000","240,000","285,000","487,000","260,000","344,732",497,
1995 September,"210,000","240,000","294,000","485,000","265,000","351,355",532,
1995 October,"210,000","240,000","295,000","490,000","265,000","357,843",515,
1995 November,"210,000","240,000","295,000","500,000","265,000","367,298",488,
1995 December,"210,000","255,000","320,000","500,000","280,000","378,581",529,
1996 January,"210,000","255,000","320,000","490,000","275,000","372,592",529,
1996 February,"210,000","255,000","330,000","498,000","280,000","380,243",516,
1996 March,"215,000","255,000","335,000","491,000","285,000","377,869",513,
1996 April,"210,000","250,000","320,000","480,000","280,000","367,362",484,
1996 May,"210,000","252,000","305,000","475,000","275,000","368,410",440,
1996 June,"215,000","255,000","312,000","480,000","280,000","370,465",448,
1996 July,"210,000","250,000","305,000","480,000","275,000","366,646",430,
