"London — Historical Average, Median and Price Percentiles for Unabsorbed Homeowner and Condominium Units  "
January 1998 to March 2024 Single / Semi-detached
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1998 January,"120,000","135,000","150,000","180,000","145,000","159,386",194,
1998 February,"120,000","135,000","150,000","180,000","145,000","155,178",190,
1998 March,"120,000","140,000","150,000","180,000","145,000","155,948",208,
1998 April,"120,000","140,000","150,000","180,000","145,000","158,263",210,
1998 May,"125,000","140,000","150,000","180,000","145,000","158,943",195,
1998 June,"125,000","140,000","150,000","180,000","145,000","159,582",190,
1998 July,"125,000","140,000","155,000","190,000","150,000","165,483",162,
1998 August,"125,000","140,000","155,000","186,000","150,000","162,099",178,
1998 September,"125,000","140,000","155,000","185,000","150,000","163,377",174,
1998 October,"127,000","140,000","156,000","190,000","150,000","164,223",181,
1998 November,"130,000","140,000","155,000","190,000","145,000","161,422",180,
1998 December,"125,000","140,000","155,000","190,000","145,000","161,917",169,
1999 January,"125,000","140,000","151,000","185,000","145,000","157,782",156,
1999 February,"125,000","140,000","150,000","190,000","145,000","156,845",164,
1999 March,"125,000","135,000","150,000","180,000","145,000","154,939",148,
1999 April,"125,000","145,000","160,000","200,000","150,000","168,584",144,
1999 May,"130,000","149,000","170,000","210,000","155,000","174,608",151,
1999 June,"135,000","150,000","170,000","210,000","155,000","175,960",163,
1999 July,"130,000","150,000","175,000","213,000","155,000","177,471",156,
1999 August,"130,000","145,000","170,000","205,000","155,000","173,126",182,
1999 September,"135,000","145,000","175,000","210,000","155,000","174,187",179,
1999 October,"131,000","147,000","175,000","210,000","160,000","175,295",190,
1999 November,"135,000","150,000","176,000","210,000","160,000","175,679",186,
1999 December,"135,000","150,000","180,000","210,000","165,000","177,999",155,
2000 January,"136,000","150,000","178,000","205,000","160,000","175,632",165,
2000 February,"135,000","151,000","180,000","210,000","167,500","178,831",152,
2000 March,"135,000","160,000","180,000","210,000","170,000","181,209",149,
