"Calgary — Historical Average, Median and Price Percentiles for Unabsorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Single / Semi-detached
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1990 January,"85,000","115,000","150,000","170,000","140,000","132,396",312,
1990 February,"90,000","125,000","150,000","170,000","140,000","135,257",300,
1990 March,"85,000","115,000","135,000","165,000","125,000","129,190",424,
1990 April,"95,000","120,000","145,000","172,000","130,000","143,787",472,
1990 May,"104,000","140,000","160,000","190,000","150,000","157,860",488,
1990 June,"110,000","150,000","175,000","190,000","160,000","164,260",548,
1990 July,"115,000","150,000","171,000","190,000","155,000","168,250",591,
1990 August,"120,000","150,000","180,000","200,000","165,000","178,041",512,
1990 September,"140,000","160,000","185,000","219,000","175,000","178,885",595,
1990 October,"135,000","160,000","180,000","210,000","170,000","174,534",605,
1990 November,"140,000","165,000","185,000","210,000","180,000","176,966",587,
1990 December,"140,000","165,000","180,000","200,000","180,000","174,622",531,
1991 January,"140,000","160,000","180,000","200,000","175,000","173,859",441,
1991 February,"140,000","160,000","180,000","200,000","175,000","173,116",440,
1991 March,"130,000","160,000","180,000","200,000","170,000","169,875",423,
1991 April,"120,000","150,000","180,000","200,000","170,000","166,134",496,
1991 May,"120,000","150,000","175,000","200,000","160,000","163,557",530,
1991 June,"120,000","150,000","170,000","200,000","160,000","162,920",547,
1991 July,"120,000","150,000","175,000","200,000","165,000","167,378",559,
1991 August,"120,000","150,000","175,000","200,000","160,000","166,711",601,
1991 September,"125,000","150,000","175,000","200,000","160,000","167,151",603,
1991 October,"125,000","150,000","175,000","200,000","160,000","167,893",608,
1991 November,"130,000","150,000","175,000","200,000","160,000","167,328",571,
1991 December,"130,000","150,000","170,000","199,000","160,000","167,604",555,
1992 January,"130,000","150,000","170,000","190,000","160,000","165,205",546,
1992 February,"125,000","150,000","170,000","190,000","160,000","163,266",631,
1992 March,"130,000","150,000","170,000","195,000","160,000","165,533",510,
1992 April,"130,000","155,000","180,000","200,000","165,000","168,809",499,
1992 May,"129,000","150,000","175,000","200,000","160,000","166,367",493,
1992 June,"120,000","150,000","170,000","195,000","160,000","164,165",507,
1992 July,"125,000","150,000","175,000","200,000","160,000","168,826",459,
1992 August,"129,000","150,000","175,000","200,000","160,000","169,366",443,
1992 September,"140,000","160,000","180,000","208,000","165,000","183,718",401,
1992 October,"140,000","160,000","180,000","201,000","165,000","175,823",413,
1992 November,"140,000","160,000","180,000","200,000","170,000","176,239",422,
