"GeoUID","Date","DateString","Age of Primary Household Maintainer","Value","Survey","Series"
"48835",2006-07-01,"2006","65 - 74",7865,"Census","Mobility 5 of 65 and over"
"48835",2006-07-01,"2006","75 - 84",5490,"Census","Mobility 5 of 65 and over"
"48835",2006-07-01,"2006","85+",2225,"Census","Mobility 5 of 65 and over"
"48835",2006-07-01,"2006","Total 65+",15585,"Census","Mobility 5 of 65 and over"
"48835",2006-07-01,"2006","Total",197290,"Census","Mobility 5 of 65 and over"
"48835",2011-07-01,"2011","65 - 74",6850,"Census","Mobility 5 of 65 and over"
"48835",2011-07-01,"2011","75 - 84",3760,"Census","Mobility 5 of 65 and over"
"48835",2011-07-01,"2011","85+",1265,"Census","Mobility 5 of 65 and over"
"48835",2011-07-01,"2011","Total 65+",11875,"Census","Mobility 5 of 65 and over"
"48835",2011-07-01,"2011","Total",203710,"Census","Mobility 5 of 65 and over"
"48835",2016-07-01,"2016","65 - 74",9415,"Census","Mobility 5 of 65 and over"
"48835",2016-07-01,"2016","75 - 84",4315,"Census","Mobility 5 of 65 and over"
"48835",2016-07-01,"2016","85+",1245,"Census","Mobility 5 of 65 and over"
"48835",2016-07-01,"2016","Total 65+",14970,"Census","Mobility 5 of 65 and over"
"48835",2016-07-01,"2016","Total",224790,"Census","Mobility 5 of 65 and over"
"48835",2021-07-01,"2021","65 - 74",14160,"Census","Mobility 5 of 65 and over"
"48835",2021-07-01,"2021","75 - 84",5445,"Census","Mobility 5 of 65 and over"
"48835",2021-07-01,"2021","85+",1755,"Census","Mobility 5 of 65 and over"
"48835",2021-07-01,"2021","Total 65+",21360,"Census","Mobility 5 of 65 and over"
"48835",2021-07-01,"2021","Total",231970,"Census","Mobility 5 of 65 and over"
