"GeoUID","Date","DateString","Age of Primary Household Maintainer","Value","Survey","Series"
"35546",2006-07-01,"2006","65 - 74",355,"Census","Mobility 5 of 65 and over"
"35546",2006-07-01,"2006","75 - 84",190,"Census","Mobility 5 of 65 and over"
"35546",2006-07-01,"2006","85+",35,"Census","Mobility 5 of 65 and over"
"35546",2006-07-01,"2006","Total 65+",585,"Census","Mobility 5 of 65 and over"
"35546",2006-07-01,"2006","Total",2600,"Census","Mobility 5 of 65 and over"
"35546",2011-07-01,"2011","65 - 74",310,"Census","Mobility 5 of 65 and over"
"35546",2011-07-01,"2011","75 - 84",145,"Census","Mobility 5 of 65 and over"
"35546",2011-07-01,"2011","85+",40,"Census","Mobility 5 of 65 and over"
"35546",2011-07-01,"2011","Total 65+",495,"Census","Mobility 5 of 65 and over"
"35546",2011-07-01,"2011","Total",2355,"Census","Mobility 5 of 65 and over"
"35546",2016-07-01,"2016","65 - 74",480,"Census","Mobility 5 of 65 and over"
"35546",2016-07-01,"2016","75 - 84",180,"Census","Mobility 5 of 65 and over"
"35546",2016-07-01,"2016","85+",40,"Census","Mobility 5 of 65 and over"
"35546",2016-07-01,"2016","Total 65+",705,"Census","Mobility 5 of 65 and over"
"35546",2016-07-01,"2016","Total",2765,"Census","Mobility 5 of 65 and over"
"35546",2021-07-01,"2021","65 - 74",635,"Census","Mobility 5 of 65 and over"
"35546",2021-07-01,"2021","75 - 84",290,"Census","Mobility 5 of 65 and over"
"35546",2021-07-01,"2021","85+",130,"Census","Mobility 5 of 65 and over"
"35546",2021-07-01,"2021","Total 65+",1060,"Census","Mobility 5 of 65 and over"
"35546",2021-07-01,"2021","Total",3650,"Census","Mobility 5 of 65 and over"
