"GeoUID","Date","DateString","Dwelling Type","Value","Survey","Series"
"12225",1990-01-01,"Jan 1990","Single",311,"Scss","Under Construction"
"12225",1990-01-01,"Jan 1990","Semi-Detached",18,"Scss","Under Construction"
"12225",1990-01-01,"Jan 1990","Row",0,"Scss","Under Construction"
"12225",1990-01-01,"Jan 1990","Apartment",230,"Scss","Under Construction"
"12225",1990-01-01,"Jan 1990","All",559,"Scss","Under Construction"
"12225",1990-02-01,"Feb 1990","Single",271,"Scss","Under Construction"
"12225",1990-02-01,"Feb 1990","Semi-Detached",18,"Scss","Under Construction"
"12225",1990-02-01,"Feb 1990","Row",0,"Scss","Under Construction"
"12225",1990-02-01,"Feb 1990","Apartment",230,"Scss","Under Construction"
"12225",1990-02-01,"Feb 1990","All",519,"Scss","Under Construction"
"12225",1990-03-01,"Mar 1990","Single",242,"Scss","Under Construction"
"12225",1990-03-01,"Mar 1990","Semi-Detached",16,"Scss","Under Construction"
"12225",1990-03-01,"Mar 1990","Row",0,"Scss","Under Construction"
"12225",1990-03-01,"Mar 1990","Apartment",230,"Scss","Under Construction"
"12225",1990-03-01,"Mar 1990","All",488,"Scss","Under Construction"
"12225",1990-04-01,"Apr 1990","Single",186,"Scss","Under Construction"
"12225",1990-04-01,"Apr 1990","Semi-Detached",10,"Scss","Under Construction"
"12225",1990-04-01,"Apr 1990","Row",0,"Scss","Under Construction"
"12225",1990-04-01,"Apr 1990","Apartment",230,"Scss","Under Construction"
"12225",1990-04-01,"Apr 1990","All",426,"Scss","Under Construction"
"12225",1990-05-01,"May 1990","Single",201,"Scss","Under Construction"
"12225",1990-05-01,"May 1990","Semi-Detached",10,"Scss","Under Construction"
"12225",1990-05-01,"May 1990","Row",0,"Scss","Under Construction"
"12225",1990-05-01,"May 1990","Apartment",230,"Scss","Under Construction"
"12225",1990-05-01,"May 1990","All",441,"Scss","Under Construction"
"12225",1990-06-01,"Jun 1990","Single",278,"Scss","Under Construction"
"12225",1990-06-01,"Jun 1990","Semi-Detached",14,"Scss","Under Construction"
"12225",1990-06-01,"Jun 1990","Row",0,"Scss","Under Construction"
"12225",1990-06-01,"Jun 1990","Apartment",254,"Scss","Under Construction"
"12225",1990-06-01,"Jun 1990","All",546,"Scss","Under Construction"
"12225",1990-07-01,"Jul 1990","Single",358,"Scss","Under Construction"
"12225",1990-07-01,"Jul 1990","Semi-Detached",19,"Scss","Under Construction"
"12225",1990-07-01,"Jul 1990","Row",0,"Scss","Under Construction"
"12225",1990-07-01,"Jul 1990","Apartment",290,"Scss","Under Construction"
"12225",1990-07-01,"Jul 1990","All",667,"Scss","Under Construction"
"12225",1990-08-01,"Aug 1990","Single",406,"Scss","Under Construction"
"12225",1990-08-01,"Aug 1990","Semi-Detached",19,"Scss","Under Construction"
"12225",1990-08-01,"Aug 1990","Row",0,"Scss","Under Construction"
"12225",1990-08-01,"Aug 1990","Apartment",294,"Scss","Under Construction"
"12225",1990-08-01,"Aug 1990","All",719,"Scss","Under Construction"
"12225",1990-09-01,"Sep 1990","Single",432,"Scss","Under Construction"
"12225",1990-09-01,"Sep 1990","Semi-Detached",23,"Scss","Under Construction"
"12225",1990-09-01,"Sep 1990","Row",0,"Scss","Under Construction"
"12225",1990-09-01,"Sep 1990","Apartment",294,"Scss","Under Construction"
"12225",1990-09-01,"Sep 1990","All",749,"Scss","Under Construction"
"12225",1990-10-01,"Oct 1990","Single",425,"Scss","Under Construction"
"12225",1990-10-01,"Oct 1990","Semi-Detached",19,"Scss","Under Construction"
"12225",1990-10-01,"Oct 1990","Row",0,"Scss","Under Construction"
"12225",1990-10-01,"Oct 1990","Apartment",296,"Scss","Under Construction"
"12225",1990-10-01,"Oct 1990","All",740,"Scss","Under Construction"
"12225",1990-11-01,"Nov 1990","Single",392,"Scss","Under Construction"
"12225",1990-11-01,"Nov 1990","Semi-Detached",14,"Scss","Under Construction"
"12225",1990-11-01,"Nov 1990","Row",0,"Scss","Under Construction"
"12225",1990-11-01,"Nov 1990","Apartment",296,"Scss","Under Construction"
"12225",1990-11-01,"Nov 1990","All",702,"Scss","Under Construction"
"12225",1990-12-01,"Dec 1990","Single",340,"Scss","Under Construction"
"12225",1990-12-01,"Dec 1990","Semi-Detached",20,"Scss","Under Construction"
"12225",1990-12-01,"Dec 1990","Row",0,"Scss","Under Construction"
"12225",1990-12-01,"Dec 1990","Apartment",296,"Scss","Under Construction"
"12225",1990-12-01,"Dec 1990","All",656,"Scss","Under Construction"
"12225",1991-01-01,"Jan 1991","Single",323,"Scss","Under Construction"
"12225",1991-01-01,"Jan 1991","Semi-Detached",16,"Scss","Under Construction"
"12225",1991-01-01,"Jan 1991","Row",12,"Scss","Under Construction"
"12225",1991-01-01,"Jan 1991","Apartment",296,"Scss","Under Construction"
"12225",1991-01-01,"Jan 1991","All",647,"Scss","Under Construction"
"12225",1991-02-01,"Feb 1991","Single",285,"Scss","Under Construction"
"12225",1991-02-01,"Feb 1991","Semi-Detached",18,"Scss","Under Construction"
"12225",1991-02-01,"Feb 1991","Row",12,"Scss","Under Construction"
"12225",1991-02-01,"Feb 1991","Apartment",294,"Scss","Under Construction"
"12225",1991-02-01,"Feb 1991","All",609,"Scss","Under Construction"
"12225",1991-03-01,"Mar 1991","Single",241,"Scss","Under Construction"
"12225",1991-03-01,"Mar 1991","Semi-Detached",18,"Scss","Under Construction"
"12225",1991-03-01,"Mar 1991","Row",12,"Scss","Under Construction"
"12225",1991-03-01,"Mar 1991","Apartment",294,"Scss","Under Construction"
"12225",1991-03-01,"Mar 1991","All",565,"Scss","Under Construction"
"12225",1991-04-01,"Apr 1991","Single",229,"Scss","Under Construction"
"12225",1991-04-01,"Apr 1991","Semi-Detached",14,"Scss","Under Construction"
"12225",1991-04-01,"Apr 1991","Row",12,"Scss","Under Construction"
"12225",1991-04-01,"Apr 1991","Apartment",294,"Scss","Under Construction"
"12225",1991-04-01,"Apr 1991","All",549,"Scss","Under Construction"
"12225",1991-05-01,"May 1991","Single",256,"Scss","Under Construction"
"12225",1991-05-01,"May 1991","Semi-Detached",14,"Scss","Under Construction"
"12225",1991-05-01,"May 1991","Row",12,"Scss","Under Construction"
"12225",1991-05-01,"May 1991","Apartment",294,"Scss","Under Construction"
"12225",1991-05-01,"May 1991","All",576,"Scss","Under Construction"
"12225",1991-06-01,"Jun 1991","Single",279,"Scss","Under Construction"
"12225",1991-06-01,"Jun 1991","Semi-Detached",14,"Scss","Under Construction"
"12225",1991-06-01,"Jun 1991","Row",12,"Scss","Under Construction"
"12225",1991-06-01,"Jun 1991","Apartment",294,"Scss","Under Construction"
"12225",1991-06-01,"Jun 1991","All",599,"Scss","Under Construction"
"12225",1991-07-01,"Jul 1991","Single",318,"Scss","Under Construction"
