"GeoUID","Date","DateString","Bedroom Type","Value","Quality","Survey","Series"
"59945",1990-10-01,"1990 October","Studio",0,"Excellent","Rms","Vacancy Rate"
"59945",1990-10-01,"1990 October","1 Bedroom",0.4,"Excellent","Rms","Vacancy Rate"
"59945",1990-10-01,"1990 October","2 Bedroom",0,"Excellent","Rms","Vacancy Rate"
"59945",1990-10-01,"1990 October","3 Bedroom +",0,"Excellent","Rms","Vacancy Rate"
"59945",1990-10-01,"1990 October","Total",0.2,"Excellent","Rms","Vacancy Rate"
"59945",1991-10-01,"1991 October","Studio",0,"Excellent","Rms","Vacancy Rate"
"59945",1991-10-01,"1991 October","1 Bedroom",0.5,"Excellent","Rms","Vacancy Rate"
"59945",1991-10-01,"1991 October","2 Bedroom",0,"Very good","Rms","Vacancy Rate"
"59945",1991-10-01,"1991 October","3 Bedroom +",0,"Excellent","Rms","Vacancy Rate"
"59945",1991-10-01,"1991 October","Total",0.2,"Excellent","Rms","Vacancy Rate"
"59945",1992-10-01,"1992 October","Studio",6.2,"Excellent","Rms","Vacancy Rate"
"59945",1992-10-01,"1992 October","1 Bedroom",3.7,"Good","Rms","Vacancy Rate"
"59945",1992-10-01,"1992 October","2 Bedroom",4.6,"Very good","Rms","Vacancy Rate"
"59945",1992-10-01,"1992 October","3 Bedroom +",4,"Excellent","Rms","Vacancy Rate"
"59945",1992-10-01,"1992 October","Total",4.2,"Very good","Rms","Vacancy Rate"
"59945",1993-10-01,"1993 October","Studio",0,"Excellent","Rms","Vacancy Rate"
"59945",1993-10-01,"1993 October","1 Bedroom",0,"Very good","Rms","Vacancy Rate"
"59945",1993-10-01,"1993 October","2 Bedroom",0,"Good","Rms","Vacancy Rate"
"59945",1993-10-01,"1993 October","3 Bedroom +",0,"Excellent","Rms","Vacancy Rate"
"59945",1993-10-01,"1993 October","Total",0,"Very good","Rms","Vacancy Rate"
"59945",1994-10-01,"1994 October","Studio",NA,NA,"Rms","Vacancy Rate"
"59945",1994-10-01,"1994 October","1 Bedroom",8.5,"Good","Rms","Vacancy Rate"
"59945",1994-10-01,"1994 October","2 Bedroom",NA,NA,"Rms","Vacancy Rate"
"59945",1994-10-01,"1994 October","3 Bedroom +",0,"Excellent","Rms","Vacancy Rate"
"59945",1994-10-01,"1994 October","Total",7.5,"Good","Rms","Vacancy Rate"
"59945",1995-10-01,"1995 October","Studio",0,"Excellent","Rms","Vacancy Rate"
"59945",1995-10-01,"1995 October","1 Bedroom",4.7,"Good","Rms","Vacancy Rate"
"59945",1995-10-01,"1995 October","2 Bedroom",9.1,"Very good","Rms","Vacancy Rate"
"59945",1995-10-01,"1995 October","3 Bedroom +",8.5,"Excellent","Rms","Vacancy Rate"
"59945",1995-10-01,"1995 October","Total",6.7,"Very good","Rms","Vacancy Rate"
"59945",1996-10-01,"1996 October","Studio",0,"Excellent","Rms","Vacancy Rate"
"59945",1996-10-01,"1996 October","1 Bedroom",7.3,"Good","Rms","Vacancy Rate"
"59945",1996-10-01,"1996 October","2 Bedroom",10.2,"Fair (Use with Caution)","Rms","Vacancy Rate"
"59945",1996-10-01,"1996 October","3 Bedroom +",8.4,"Excellent","Rms","Vacancy Rate"
"59945",1996-10-01,"1996 October","Total",8.3,"Very good","Rms","Vacancy Rate"
"59945",1997-10-01,"1997 October","Studio",NA,NA,"Rms","Vacancy Rate"
"59945",1997-10-01,"1997 October","1 Bedroom",11.1,"Good","Rms","Vacancy Rate"
"59945",1997-10-01,"1997 October","2 Bedroom",10.7,"Fair (Use with Caution)","Rms","Vacancy Rate"
"59945",1997-10-01,"1997 October","3 Bedroom +",10.5,"Excellent","Rms","Vacancy Rate"
"59945",1997-10-01,"1997 October","Total",11.1,"Good","Rms","Vacancy Rate"
"59945",1998-10-01,"1998 October","Studio",0,"Excellent","Rms","Vacancy Rate"
"59945",1998-10-01,"1998 October","1 Bedroom",19.6,"Excellent","Rms","Vacancy Rate"
"59945",1998-10-01,"1998 October","2 Bedroom",16.1,"Excellent","Rms","Vacancy Rate"
"59945",1998-10-01,"1998 October","3 Bedroom +",42.1,"Excellent","Rms","Vacancy Rate"
"59945",1998-10-01,"1998 October","Total",19.6,"Excellent","Rms","Vacancy Rate"
