year,cma_code,Age of Primary Household Maintainer - 15 - 24,Age of Primary Household Maintainer - 25 - 34,Age of Primary Household Maintainer - 35 - 44,Age of Primary Household Maintainer - 45 - 54,Age of Primary Household Maintainer - 55 - 64,Age of Primary Household Maintainer - Total 65+,Age of Primary Household Maintainer - Total,Mobility of Primary Household Maintainer - 15 - 24,Mobility of Primary Household Maintainer - 25 - 34,Mobility of Primary Household Maintainer - 35 - 44,Mobility of Primary Household Maintainer - 45 - 54,Mobility of Primary Household Maintainer - 55 - 64,Mobility of Primary Household Maintainer - Total 65+,Mobility of Primary Household Maintainer - Total,Household Type - Couple-With-Children,Household Type - Couple-Without-Children,Household Type - Total Lone- Parent Households,Household Type - Multiple- Family,Household Type - Total One- Person Households,Household Type - Other Non-Family,Household Type - Total,Household Size - One-Person Household,Household Size - Two-Person Household,Household Size - Three-Person Household,Household Size - Four-Person Household,Household Size - Five-Or-More-Person Household,Household Size - Total,Immigrant Households - Non-Immigrant,Immigrant Households - Non-Permanent Resident,Immigrant Households - Immigrant,Immigrant Households - Recent Immigrant,Immigrant Households - Total,Households with Seniors - Household Has at Least One Senior (65 or Older),Households with Seniors - Other Household Type,Households with Seniors - Total,Households with Children Under 18 - Household Has at Least One Child Less Than 18 Years Old,Households with Children Under 18 - Other Household Type,Households with Children Under 18 - Total,Activity Limitations - Household Has at Least One Person With Activity Limitations,Activity Limitations - Other Household Type,Activity Limitations - Total,Aboriginal Households - Aboriginal Households,Aboriginal Households - Non-Aboriginal Households,Aboriginal Households - Total,Shelter Costs - Less Than $500 Per Month,Shelter Costs - $500 to $999 Per Month,"Shelter Costs - $1,000 to $1,499 Per Month","Shelter Costs - $1,500 to $1,999 Per Month","Shelter Costs - $2,000 And Over Per Month","Shelter Costs - Total Non-Farm, Non-Band Households",Mortgages - With a Mortgage,Mortgages - Without a Mortgage,Mortgages - Total Private Households With Mortgage Status Known,"Household Income - Less Than $20,000","Household Income - $20,000 to $39,999","Household Income - $40,000 to $59,999","Household Income - $60,000 to $79,999","Household Income - $80,000 to $99,999","Household Income - $100,000 And Over",Household Income - Total,Condominiums - Part of a Condominium,Condominiums - Not Part of a Condominium,Condominiums - Total,Housing Suitability - Suitable,Housing Suitability - Not Suitable (Crowded),Housing Suitability - Total,Value of Owner-occupied Dwellings ($) - Single-Detached,Value of Owner-occupied Dwellings ($) - Semi-Detached,Value of Owner-occupied Dwellings ($) - Row,Value of Owner-occupied Dwellings ($) - Duplex,Value of Owner-occupied Dwellings ($) - Low-Rise Apt.,Value of Owner-occupied Dwellings ($) - High-Rise Apt.,Value of Owner-occupied Dwellings ($) - Other,Value of Owner-occupied Dwellings ($) - Total,Period of Construction and Condition of Dwelling - Needs Only Regular Maintenance,Period of Construction and Condition of Dwelling - Needs Minor Repairs,Period of Construction and Condition of Dwelling - Needs Major Repairs,Period of Construction and Condition of Dwelling - Total
2006,0140/3/Calgary,"20,165","80,195","97,790","99,395","58,425","59,640","415,605","19,375","70,600","60,505","38,535","17,475","13,730","220,205","137,820","102,420","37,995","8,260","103,545","25,560","415,605","103,545","136,275","69,250","67,860","38,680","415,605","302,455","3,705","109,440","16,190","415,605","70,095","345,515","415,605","137,045","278,560","415,605","121,215","294,390","415,605","13,960","401,640","415,605","71,575","128,510","116,960","67,335","30,595","414,975","205,430","101,880","307,310","39,920","67,315","72,190","62,365","49,305","124,505","415,605","55,365","252,560","307,925","394,660","20,945","415,605","419,411","315,410","254,370","357,244","237,940","311,565","90,200","381,866","297,090","98,365","20,145","415,605"
2006,0340/3/Edmonton,"24,295","71,225","85,280","92,730","60,590","71,150","405,275","23,205","61,195","47,180","33,345","16,780","15,585","197,290","126,930","101,105","41,190","7,375","107,130","21,545","405,275","107,130","134,665","64,275","62,300","36,895","405,275","313,720","3,120","88,435","9,105","405,275","80,450","324,820","405,275","126,360","278,915","405,275","134,740","270,530","405,275","23,985","381,290","405,275","85,930","152,265","101,505","45,970","17,150","402,815","169,730","109,210","278,940","48,240","74,255","70,005","60,340","49,265","103,165","405,275","44,935","235,700","280,640","382,495","22,775","405,275","288,002","219,326","168,105","241,809","171,305","204,069","101,232","264,986","274,195","107,740","23,335","405,275"
2006,0370/3/Fredericton,"2,150","5,780","7,105","7,155","5,850","6,865","34,895","2,035","4,850","3,475","2,135","1,065","1,165","14,730","10,750","9,970","3,220",385,"8,530","2,045","34,895","8,525","13,035","6,000","5,135","2,190","34,895","31,975",175,"2,745",365,"34,895","7,515","27,375","34,895","10,445","24,450","34,895","11,920","22,970","34,895","1,135","33,765","34,895","10,885","14,400","7,040","1,500",725,"34,550","14,250","10,700","24,950","4,775","8,125","7,030","5,510","3,700","5,760","34,895",415,"24,625","25,035","33,735","1,160","34,895","169,710","172,191","147,448","170,217","152,347","237,602","54,363","158,777","21,820","10,375","2,705","34,895"
2006,0460/3/Guelph,"2,200","8,520","10,720","10,665","7,260","9,405","48,770","2,140","7,180","5,905","3,610","1,890","1,800","22,530","16,635","12,500","4,925",820,"11,825","2,060","48,770","11,825","16,275","7,935","8,190","4,545","48,770","36,385",255,"12,130","1,200","48,770","10,630","38,140","48,770","16,205","32,565","48,770","16,365","32,410","48,770",740,"48,030","48,770","8,315","17,340","10,970","8,415","3,570","48,600","21,625","12,920","34,545","5,555","7,755","8,585","7,855","6,330","12,700","48,770","4,510","30,185","34,695","46,420","2,345","48,770","302,696","214,147","201,921","291,933","208,827","172,604","391,382","282,392","34,770","11,450","2,550","48,770"
2006,0580/3/Halifax,"8,550","25,400","33,135","34,315","25,450","28,275","155,125","8,185","20,950","16,415","10,560","5,765","4,625","66,500","44,405","41,025","15,895","1,930","43,030","8,845","155,125","43,030","55,145","25,725","21,730","9,505","155,125","141,020",910,"13,195","1,530","155,125","31,650","123,475","155,125","44,270","110,855","155,125","54,660","100,465","155,125","3,110","152,015","155,125","33,650","67,440","36,080","12,340","5,550","155,050","62,105","37,095","99,200","23,825","33,080","28,590","23,690","17,020","28,925","155,125","6,595","92,645","99,245","148,575","6,555","155,125","224,335","158,504","189,104","251,898","207,891","238,303","59,639","212,937","100,560","43,960","10,605","155,125"
2006,0610/3/Hamilton,"7,315","34,820","56,615","59,200","44,570","63,940","266,460","6,830","28,600","28,245","19,320","10,165","10,545","103,705","90,395","66,680","29,420","4,595","68,055","7,315","266,460","68,060","86,255","43,155","44,035","24,955","266,460","182,550","1,905","82,005","5,905","266,460","71,265","195,190","266,460","84,510","181,950","266,460","99,520","166,940","266,460","5,010","261,450","266,460","44,285","109,540","55,405","36,545","20,080","265,860","111,010","79,250","190,260","34,435","50,650","46,635","39,565","30,255","64,915","266,460","26,235","164,595","190,825","251,930","14,530","266,460","299,092","205,655","218,495","248,603","200,509","196,935","235,425","278,776","180,075","68,635","17,745","266,460"
2006,0670/3/Kelowna,"2,600","7,520","11,865","14,635","11,495","18,875","67,000","2,505","6,370","7,235","6,710","4,685","6,090","33,600","16,880","22,520","6,420","1,210","17,135","2,835","67,000","17,130","27,195","9,195","8,760","4,715","67,000","451,770","14,050","351,410",660,"67,000","20,550","46,455","67,000","17,915","49,080","67,000","26,155","40,850","67,000","2,795","64,200","67,000","20,360","19,045","14,685","8,370","3,965","66,425","28,970","22,245","51,215","9,340","16,350","13,930","9,570","6,915","10,900","67,000","11,350","40,415","51,765","64,500","2,495","67,000","433,546","335,721","285,239","407,830","219,650","330,921","99,823","374,151","48,925","15,055","3,015","67,000"
2006,0850/3/Kitchener%20-%20Cambridge%20-%20Waterloo,"7,290","28,900","38,990","36,995","26,035","30,975","169,175","6,985","24,165","21,110","12,380","6,300","5,680","76,620","61,200","42,250","17,275","2,700","39,175","6,580","169,175","39,175","54,705","29,090","29,985","16,225","169,175","120,630","1,475","47,070","4,875","169,175","35,060","134,120","169,175","57,985","111,195","169,175","55,230","113,945","169,175","2,630","166,550","169,175","30,335","61,965","43,875","22,665","10,030","168,865","74,935","42,815","117,750","18,300","29,960","30,430","27,760","22,215","40,500","169,175","10,655","107,380","118,035","159,675","9,500","169,175","280,768","196,178","195,164","229,852","202,081","165,616","277,300","261,025","121,300","38,925","8,950","169,175"
2006,0950/3/London,"9,215","28,290","37,945","40,040","29,935","39,530","184,950","8,735","23,615","20,185","13,960","8,205","7,795","82,505","56,610","47,560","19,710","1,930","51,975","7,165","184,950","51,975","62,555","28,570","27,110","14,735","184,950","140,525","1,520","42,905","3,740","184,950","43,260","141,690","184,950","56,030","128,925","184,950","68,135","116,815","184,950","3,380","181,570","184,950","35,930","80,230","42,640","17,360","7,800","183,960","74,230","46,805","121,035","26,770","37,735","34,830","28,575","20,150","36,895","184,950","15,410","106,560","121,965","176,145","8,800","184,950","229,861","149,768","162,769","199,225","159,089","147,333","144,168","215,743","129,225","44,205","11,520","184,950"
2006,1040/3/Moncton,"2,895","8,745","10,055","10,635","8,575","10,680","51,595","2,770","7,205","4,755","3,375","2,065","2,235","22,405","15,085","15,245","5,445",680,"12,590","2,555","51,595","12,590","19,930","8,890","7,255","2,935","51,595","49,450",145,"2,000",215,"51,595","11,845","39,750","51,595","14,760","36,835","51,595","17,455","34,145","51,595",665,"50,935","51,595","15,170","23,065","9,970","2,315","1,020","51,555","22,330","13,830","36,160","8,045","11,970","10,500","8,530","5,470","7,070","51,595","1,140","35,055","36,195","50,070","1,520","51,595","147,272","134,857","115,736","135,509","153,286","130,630","53,713","139,603","34,015","14,170","3,410","51,595"
