"GeoUID","Date","DateString","Age of Primary Household Maintainer","Value","Survey","Series"
"35590",2006-07-01,"2006","65 - 74",245,"Census","Mobility 1 of 65 and over"
"35590",2006-07-01,"2006","75 - 84",210,"Census","Mobility 1 of 65 and over"
"35590",2006-07-01,"2006","85+",65,"Census","Mobility 1 of 65 and over"
"35590",2006-07-01,"2006","Total 65+",520,"Census","Mobility 1 of 65 and over"
"35590",2006-07-01,"2006","Total",4085,"Census","Mobility 1 of 65 and over"
"35590",2011-07-01,"2011","65 - 74",105,"Census","Mobility 1 of 65 and over"
"35590",2011-07-01,"2011","75 - 84",130,"Census","Mobility 1 of 65 and over"
"35590",2011-07-01,"2011","85+",10,"Census","Mobility 1 of 65 and over"
"35590",2011-07-01,"2011","Total 65+",250,"Census","Mobility 1 of 65 and over"
"35590",2011-07-01,"2011","Total",3000,"Census","Mobility 1 of 65 and over"
"35590",2016-07-01,"2016","65 - 74",290,"Census","Mobility 1 of 65 and over"
"35590",2016-07-01,"2016","75 - 84",130,"Census","Mobility 1 of 65 and over"
"35590",2016-07-01,"2016","85+",55,"Census","Mobility 1 of 65 and over"
"35590",2016-07-01,"2016","Total 65+",470,"Census","Mobility 1 of 65 and over"
"35590",2016-07-01,"2016","Total",3525,"Census","Mobility 1 of 65 and over"
"35590",2021-07-01,"2021","65 - 74",270,"Census","Mobility 1 of 65 and over"
"35590",2021-07-01,"2021","75 - 84",105,"Census","Mobility 1 of 65 and over"
"35590",2021-07-01,"2021","85+",45,"Census","Mobility 1 of 65 and over"
"35590",2021-07-01,"2021","Total 65+",415,"Census","Mobility 1 of 65 and over"
"35590",2021-07-01,"2021","Total",3270,"Census","Mobility 1 of 65 and over"
