"GeoUID","Date","DateString","Age of Primary Household Maintainer","Value","Survey","Series"
"35547",2006-07-01,"2006","65 - 74",75,"Census","Mobility 1 of 65 and over"
"35547",2006-07-01,"2006","75 - 84",65,"Census","Mobility 1 of 65 and over"
"35547",2006-07-01,"2006","85+",15,"Census","Mobility 1 of 65 and over"
"35547",2006-07-01,"2006","Total 65+",160,"Census","Mobility 1 of 65 and over"
"35547",2006-07-01,"2006","Total",1860,"Census","Mobility 1 of 65 and over"
"35547",2011-07-01,"2011","65 - 74",105,"Census","Mobility 1 of 65 and over"
"35547",2011-07-01,"2011","75 - 84",80,"Census","Mobility 1 of 65 and over"
"35547",2011-07-01,"2011","85+",0,"Census","Mobility 1 of 65 and over"
"35547",2011-07-01,"2011","Total 65+",195,"Census","Mobility 1 of 65 and over"
"35547",2011-07-01,"2011","Total",1835,"Census","Mobility 1 of 65 and over"
"35547",2016-07-01,"2016","65 - 74",290,"Census","Mobility 1 of 65 and over"
"35547",2016-07-01,"2016","75 - 84",85,"Census","Mobility 1 of 65 and over"
"35547",2016-07-01,"2016","85+",40,"Census","Mobility 1 of 65 and over"
"35547",2016-07-01,"2016","Total 65+",420,"Census","Mobility 1 of 65 and over"
"35547",2016-07-01,"2016","Total",2135,"Census","Mobility 1 of 65 and over"
"35547",2021-07-01,"2021","65 - 74",260,"Census","Mobility 1 of 65 and over"
"35547",2021-07-01,"2021","75 - 84",90,"Census","Mobility 1 of 65 and over"
"35547",2021-07-01,"2021","85+",10,"Census","Mobility 1 of 65 and over"
"35547",2021-07-01,"2021","Total 65+",360,"Census","Mobility 1 of 65 and over"
"35547",2021-07-01,"2021","Total",2000,"Census","Mobility 1 of 65 and over"
