Kelowna — Historical Condominium Apartment Average Rent ($) by Bedroom Type  
2007 to 2023
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
2007,**,,**,,**,,**,,**,,
2008,**,,**,,**,,**,,**,,
2009,**,,**,,**,,**,,**,,
2010,**,,**,,**,,**,,**,,
2011,**,,**,,**,,**,,**,,
2012,**,,**,,**,,**,,**,,
2013,**,,**,,**,,**,,**,,
2014,**,,**,,**,,**,,**,,
2015,**,,**,,**,,**,,**,,
2016,**,,"1,247",c ,"1,478",c ,**,,"1,399",b ,
2017,**,,**,,"1,519",d ,"2,275",d ,"1,533",c ,
2018,**,,**,,"1,214",c ,**,,"1,502",b ,
2019,**,,**,,"1,417",b ,**,,"1,337",d ,
2020,**,,**,,**,,**,,"1,456",c ,
2021,**,,**,,**,,**,,"2,038",c ,
2022,**,,"1,265",d ,"2,234",d ,**,,"1,926",d ,
2023,**,,**,,**,,**,,**,,

Source,CMHC Secondary Rental Market Survey
