Hamilton — Historical Condominium Apartment Average Rent ($) by Bedroom Type  
2007 to 2023
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
2015,**,,**,,**,,**,,**,,
2016,**,,"1,253",d ,"1,436",d ,"1,045",c ,"1,391",b ,
2017,**,,"1,279",d ,"1,493",c ,**,,"1,535",b ,
2018,**,,**,,"1,358",d ,**,,"1,408",c ,
2019,**,,"1,470",c ,"1,896",c ,**,,"1,717",c ,
2020,**,,"1,642",d ,"1,947",c ,**,,"1,773",c ,
2021,**,,"1,721",c ,"1,996",b ,**,,"2,012",c ,
2022,**,,**,,"2,083",d ,**,,"2,191",b ,
2023,**,,"1,917",b ,"2,373",b ,"2,751",c ,"2,317",b ,

Source,CMHC Secondary Rental Market Survey
