Winnipeg — Historical Condominium Apartment Average Rent ($) by Bedroom Type  
2007 to 2023
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
2007,**,,**,,**,,**,,**,,
2008,**,,**,,**,,**,,**,,
2009,**,,**,,**,,**,,**,,
2010,**,,**,,**,,**,,**,,
2011,**,,**,,917,c ,**,,**,,
2012,**,,**,,"1,160",d ,**,,"1,134",c ,
2013,**,,**,,"1,089",d ,**,,"1,265",d ,
2014,**,,981,c ,"1,151",c ,**,,"1,077",b ,
2015,**,,895,d ,"1,169",d ,**,,"1,074",d ,
2016,**,,998,b ,"1,300",b ,**,,"1,185",b ,
2017,**,,"1,084",b ,"1,379",c ,**,,"1,303",c ,
2018,**,,"1,079",b ,"1,363",c ,**,,"1,257",b ,
2019,827,d ,"1,034",b ,"1,412",b ,**,,"1,308",b ,
2020,**,,"1,087",b ,"1,363",b ,**,,"1,263",b ,
2021,**,,"1,070",b ,"1,406",c ,**,,"1,310",b ,
2022,**,,"1,150",c ,"1,301",b ,"1,414",c ,"1,291",b ,
2023,**,,"1,057",b ,"1,333",b ,**,,"1,275",b ,

Source,CMHC Secondary Rental Market Survey
