Kitchener - Cambridge - Waterloo — Historical Condominium Apartment Average Rent ($) by Bedroom Type  
2007 to 2023
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
2015,**,,**,,**,,**,,**,,
2016,**,,"1,058",c ,"1,227",b ,"1,638",d ,"1,242",b ,
2017,**,,"1,065",b ,"1,284",b ,"1,496",d ,"1,269",b ,
2018,**,,"1,382",c ,"1,614",c ,"1,594",d ,"1,542",c ,
2019,**,,"1,220",b ,"1,588",c ,**,,"1,441",c ,
2020,**,,"1,199",c ,"1,418",c ,**,,"1,460",b ,
2021,**,,"1,625",c ,"1,950",b ,**,,"1,799",c ,
2022,**,,**,,**,,**,,"2,086",a ,
2023,**,,**,,**,,**,,"1,774",d ,

Source,CMHC Secondary Rental Market Survey
