St. John's — Historical Average Rents by Bedroom Type  
1990 to 2023 Row / Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,384,a ,459,a ,534,a ,553,a ,501,a ,
1991 October,389,a ,467,a ,560,a ,574,a ,521,a ,
1992 October,374,a ,479,a ,564,a ,563,a ,523,a ,
1993 October,434,a ,475,a ,553,a ,572,a ,518,a ,
1994 October,405,a ,482,a ,558,a ,583,a ,520,a ,
1995 October,401,a ,484,a ,562,a ,575,a ,521,a ,
1996 October,392,a ,477,a ,568,a ,573,a ,521,a ,
1997 October,402,a ,478,a ,565,a ,568,a ,521,a ,
1998 October,384,a ,467,a ,513,a ,562,a ,485,a ,
1999 October,386,a ,462,a ,515,a ,542,a ,488,a ,
2000 October,422,a ,477,a ,551,a ,571,a ,516,a ,
2001 October,408,a ,489,a ,575,a ,579,a ,526,a ,
2002 October,425,a ,510,a ,589,a ,621,a ,546,a ,
2003 October,467,b ,520,a ,606,a ,638,a ,571,a ,
2004 October,453,a ,523,a ,617,a ,655,a ,575,a ,
2005 October,472,a ,540,a ,635,a ,664,a ,591,a ,
2006 October,487,a ,541,a ,634,a ,688,a ,593,a ,
2007 October,468,a ,537,a ,613,a ,693,a ,585,a ,
2008 October,487,a ,550,a ,628,a ,732,a ,602,a ,
2009 October,541,a ,584,a ,676,a ,742,a ,642,a ,
2010 October,565,a ,636,a ,723,a ,799,a ,689,a ,
2011 October,583,a ,655,a ,770,a ,838,a ,723,a ,
2012 October,611,a ,696,a ,796,a ,895,a ,758,a ,
2013 October,649,a ,725,a ,859,a ,899,a ,800,a ,
2014 October,635,a ,755,a ,887,a ,976,a ,832,a ,
2015 October,690,a ,784,a ,919,a ,971,a ,859,a ,
2016 October,697,a ,786,a ,951,a ,918,a ,874,a ,
2017 October,698,a ,774,a ,934,a ,906,a ,861,a ,
2018 October,712,a ,781,a ,955,a ,944,a ,876,a ,
2019 October,714,a ,812,a ,960,a ,940,a ,893,a ,
2020 October,731,a ,812,a ,971,a ,977,a ,902,a ,
2021 October,742,a ,856,a ,"1,018",a ,995,a ,949,a ,
2022 October,783,a ,851,a ,"1,033",a ,"1,055",a ,952,a ,
2023 October,727,b ,904,a ,"1,189",a ,"1,141",b ,"1,073",a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
