Trois-Rivières — Historical Median Rent by Bedroom Type  
1990 to 2023 Row / Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,265,a ,320,a ,367,a ,395,a ,355,a ,
1991 October,270,a ,325,a ,385,a ,410,a ,375,a ,
1992 October,275,a ,345,a ,395,a ,415,a ,380,a ,
1993 October,290,a ,338,a ,400,a ,420,a ,385,a ,
1994 October,280,a ,340,a ,400,a ,425,a ,385,a ,
1995 October,290,a ,345,a ,400,a ,435,a ,395,a ,
1996 October,290,a ,340,a ,405,a ,430,a ,388,a ,
1997 October,285,a ,335,a ,405,a ,428,a ,392,a ,
1998 October,280,a ,340,a ,406,a ,440,a ,395,a ,
1999 October,280,a ,330,a ,405,a ,435,a ,395,a ,
2000 October,282,a ,350,a ,410,a ,435,a ,399,a ,
2001 October,285,a ,350,a ,415,a ,450,a ,400,a ,
2002 October,285,a ,350,a ,420,a ,450,a ,400,a ,
2003 October,300,a ,365,a ,422,a ,475,a ,418,a ,
2004 October,300,a ,375,a ,438,a ,480,a ,425,a ,
2005 October,303,a ,385,a ,450,a ,500,a ,436,a ,
2006 October,320,a ,400,a ,465,a ,515,a ,450,a ,
2007 October,330,a ,395,a ,460,a ,525,a ,450,a ,
2008 October,350,a ,400,a ,480,a ,560,a ,467,a ,
2009 October,350,a ,420,a ,500,a ,550,a ,480,a ,
2010 October,350,a ,430,a ,509,a ,560,a ,500,a ,
2011 October,355,a ,435,a ,535,a ,575,a ,508,a ,
2012 October,355,a ,428,a ,545,a ,585,a ,500,a ,
2013 October,357,a ,425,a ,535,a ,580,a ,515,a ,
2014 October,365,a ,430,a ,550,a ,580,a ,521,a ,
2015 October,375,a ,445,a ,550,a ,600,a ,530,a ,
2016 October,380,a ,450,a ,565,a ,600,a ,540,a ,
2017 October,385,a ,455,a ,575,a ,615,a ,550,a ,
2018 October,400,a ,450,a ,575,a ,625,a ,555,a ,
2019 October,385,a ,487,a ,600,a ,630,a ,575,a ,
2020 October,400,b ,490,a ,600,a ,650,a ,580,a ,
2021 October,425,b ,515,a ,615,a ,660,a ,600,a ,
2022 October,450,b ,540,a ,650,a ,708,a ,644,a ,
2023 October,495,b ,575,a ,740,a ,800,c ,700,a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
