St. John's — Historical Median Rent by Bedroom Type  
1990 to 2023 Row / Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,395,a ,445,a ,500,a ,500,a ,480,a ,
1991 October,407,a ,443,a ,520,a ,547,a ,495,a ,
1992 October,375,a ,460,a ,525,a ,550,a ,500,a ,
1993 October,380,a ,465,a ,525,a ,575,a ,495,a ,
1994 October,400,a ,480,a ,525,a ,575,a ,500,a ,
1995 October,375,a ,480,a ,535,a ,575,a ,510,a ,
1996 October,375,a ,470,a ,525,a ,575,a ,505,a ,
1997 October,375,b ,480,a ,520,a ,550,a ,495,a ,
1998 October,375,a ,480,a ,495,a ,550,a ,480,a ,
1999 October,375,a ,470,a ,465,a ,535,a ,465,a ,
2000 October,380,c ,490,a ,500,a ,575,a ,495,a ,
2001 October,400,a ,490,a ,535,a ,590,a ,515,a ,
2002 October,400,a ,490,a ,550,a ,600,a ,530,a ,
2003 October,400,b ,495,a ,550,a ,620,a ,545,a ,
2004 October,440,a ,525,a ,565,a ,625,a ,550,a ,
2005 October,450,a ,540,a ,595,a ,650,a ,570,a ,
2006 October,475,b ,550,a ,590,a ,650,a ,570,a ,
2007 October,450,a ,525,a ,595,a ,675,a ,575,a ,
2008 October,450,a ,550,a ,625,a ,705,a ,595,a ,
2009 October,500,b ,580,a ,675,a ,715,a ,640,a ,
2010 October,550,a ,630,a ,715,a ,760,a ,675,a ,
2011 October,550,a ,655,a ,775,a ,850,a ,725,a ,
2012 October,570,a ,695,a ,800,a ,895,a ,750,a ,
2013 October,600,b ,710,a ,850,a ,895,a ,790,a ,
2014 October,600,a ,750,a ,880,a ,955,a ,830,a ,
2015 October,695,a ,775,a ,890,a ,900,a ,845,a ,
2016 October,701,a ,800,a ,900,a ,900,a ,857,a ,
2017 October,698,a ,789,a ,880,a ,943,a ,845,a ,
2018 October,713,b ,800,a ,890,a ,978,a ,850,a ,
2019 October,715,b ,809,a ,890,a ,919,a ,857,a ,
2020 October,735,a ,820,a ,896,a ,969,a ,877,a ,
2021 October,725,b ,815,a ,950,a ,985,a ,900,a ,
2022 October,795,b ,845,a ,985,a ,"1,050",a ,915,a ,
2023 October,705,c ,885,a ,"1,050",b ,"1,153",c ,"1,020",a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
