Trois-Rivières — Historical Average Rents by Bedroom Type  
1990 to 2023 Row / Apartment October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,267,a ,313,a ,364,a ,410,a ,355,a ,
1991 October,277,a ,325,a ,384,a ,428,a ,370,a ,
1992 October,284,a ,343,a ,395,a ,435,a ,383,a ,
1993 October,311,b ,338,a ,400,a ,442,a ,386,a ,
1994 October,278,a ,341,a ,402,a ,441,a ,385,a ,
1995 October,290,a ,348,a ,406,a ,450,a ,395,a ,
1996 October,405,b ,366,b ,405,a ,442,a ,401,a ,
1997 October,353,c ,354,a ,407,a ,445,a ,397,a ,
1998 October,281,a ,347,a ,412,a ,457,a ,396,a ,
1999 October,285,a ,345,a ,404,a ,452,a ,392,a ,
2000 October,287,a ,349,a ,413,a ,451,a ,397,a ,
2001 October,293,a ,358,a ,419,a ,467,a ,405,a ,
2002 October,292,a ,370,a ,431,a ,473,a ,415,a ,
2003 October,314,a ,382,a ,436,a ,491,a ,428,a ,
2004 October,316,a ,389,a ,457,a ,499,a ,440,a ,
2005 October,321,a ,403,a ,474,a ,509,a ,454,a ,
2006 October,337,a ,421,a ,488,a ,535,a ,473,a ,
2007 October,346,a ,406,a ,487,a ,535,a ,467,a ,
2008 October,360,a ,414,a ,506,a ,553,a ,487,a ,
2009 October,347,a ,426,a ,521,a ,564,a ,498,a ,
2010 October,353,a ,439,a ,533,a ,579,a ,514,a ,
2011 October,374,a ,446,a ,548,a ,602,a ,525,a ,
2012 October,374,a ,440,a ,550,a ,609,a ,526,a ,
2013 October,367,a ,439,a ,555,a ,607,a ,530,a ,
2014 October,373,a ,444,a ,569,a ,607,a ,537,a ,
2015 October,378,a ,459,a ,582,a ,620,a ,553,a ,
2016 October,394,a ,469,a ,588,a ,632,a ,562,a ,
2017 October,402,a ,477,a ,594,a ,646,a ,568,a ,
2018 October,406,a ,476,a ,601,a ,654,a ,575,a ,
2019 October,407,a ,507,a ,626,a ,667,a ,597,a ,
2020 October,468,d ,506,a ,622,a ,692,a ,605,a ,
2021 October,458,b ,533,a ,659,a ,734,a ,642,a ,
2022 October,454,a ,565,a ,719,a ,778,a ,688,a ,
2023 October,510,b ,612,a ,781,a ,855,b ,748,a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
