Regina — Historical Condominium Apartment Average Rent ($) by Bedroom Type  
2007 to 2023
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
2007,**,,**,,**,,**,,**,,
2008,**,,**,,**,,**,,**,,
2009,**,,**,,**,,**,,**,,
2010,**,,**,,**,,**,,**,,
2011,**,,**,,**,,**,,**,,
2012,**,,**,,**,,**,,**,,
2013,**,,**,,**,,**,,**,,
2014,**,,**,,**,,**,,**,,
2015,**,,**,,**,,**,,**,,
2016,**,,"1,066",c ,"1,354",a ,**,,"1,340",a ,
2017,**,,**,,"1,350",b ,**,,"1,336",a ,
2018,**,,**,,"1,397",c ,**,,"1,434",c ,
2019,**,,"1,125",b ,"1,411",b ,**,,"1,330",b ,
2020,**,,"1,034",b ,"1,345",b ,**,,"1,286",b ,
2021,**,,955,a ,"1,278",a ,**,,"1,245",b ,
2022,**,,"1,041",d ,"1,467",d ,**,,"1,334",c ,
2023,**,,"1,179",d ,"1,421",c ,**,,"1,406",b ,

Source,CMHC Secondary Rental Market Survey
