cma_code,year,Age_of_Primary_Household_Maintainer__15___24,Age_of_Primary_Household_Maintainer__25___34,Age_of_Primary_Household_Maintainer__35___44,Age_of_Primary_Household_Maintainer__45___54,Age_of_Primary_Household_Maintainer__55___64,Age_of_Primary_Household_Maintainer__Total_65_,Age_of_Primary_Household_Maintainer__Total,Mobility_of_Primary_Household_Maintainer__15___24,Mobility_of_Primary_Household_Maintainer__25___34,Mobility_of_Primary_Household_Maintainer__35___44,Mobility_of_Primary_Household_Maintainer__45___54,Mobility_of_Primary_Household_Maintainer__55___64,Mobility_of_Primary_Household_Maintainer__Total_65_,Mobility_of_Primary_Household_Maintainer__Total,Household_Type__Couple_With_Children,Household_Type__Couple_Without_Children,Household_Type__Total_Lone__Parent_Households,Household_Type__Multiple__Family,Household_Type__Total_One__Person_Households,Household_Type__Other_Non_Family,Household_Type__Total,Household_Size__One_Person_Household,Household_Size__Two_Person_Household,Household_Size__Three_Person_Household,Household_Size__Four_Person_Household,Household_Size__Five_Or_More_Person_Household,Household_Size__Total,Immigrant_Households__Non_Immigrant,Immigrant_Households__Non_Permanent_Resident,Immigrant_Households__Immigrant,Immigrant_Households__Recent_Immigrant,Immigrant_Households__Total,Households_with_Seniors__Household_Has_at_Least_One_Senior__65_or_Older_,Households_with_Seniors__Other_Household_Type,Households_with_Seniors__Total,Households_with_Children_Under_18__Household_Has_at_Least_One_Child_Less_Than_18_Years_Old,Households_with_Children_Under_18__Other_Household_Type,Households_with_Children_Under_18__Total,Activity_Limitations__Household_Has_at_Least_One_Person_With_Activity_Limitations,Activity_Limitations__Other_Household_Type,Activity_Limitations__Total,Aboriginal_Households__Aboriginal_Households,Aboriginal_Households__Non_Aboriginal_Households,Aboriginal_Households__Total,Shelter_Costs__Less_Than__500_Per_Month,Shelter_Costs___500_to__999_Per_Month,Shelter_Costs___1_000_to__1_499_Per_Month,Shelter_Costs___1_500_to__1_999_Per_Month,Shelter_Costs___2_000_And_Over_Per_Month,Shelter_Costs__Total_Non_Farm__Non_Band_Households,Mortgages__With_a_Mortgage,Mortgages__Without_a_Mortgage,Mortgages__Total_Private_Households_With_Mortgage_Status_Known,Household_Income__Less_Than__20_000,Household_Income___20_000_to__39_999,Household_Income___40_000_to__59_999,Household_Income___60_000_to__79_999,Household_Income___80_000_to__99_999,Household_Income___100_000_And_Over,Household_Income__Total,Condominiums__Part_of_a_Condominium,Condominiums__Not_Part_of_a_Condominium,Condominiums__Total,Housing_Suitability__Suitable,Housing_Suitability__Not_Suitable__Crowded_,Housing_Suitability__Total,Value_of_Owner_occupied_Dwellings______Single_Detached,Value_of_Owner_occupied_Dwellings______Semi_Detached,Value_of_Owner_occupied_Dwellings______Row,Value_of_Owner_occupied_Dwellings______Duplex,Value_of_Owner_occupied_Dwellings______Low_Rise_Apt_,Value_of_Owner_occupied_Dwellings______High_Rise_Apt_,Value_of_Owner_occupied_Dwellings______Other,Value_of_Owner_occupied_Dwellings______Total,Period_of_Construction_and_Condition_of_Dwelling__Needs_Only_Regular_Maintenance,Period_of_Construction_and_Condition_of_Dwelling__Needs_Minor_Repairs,Period_of_Construction_and_Condition_of_Dwelling__Needs_Major_Repairs,Period_of_Construction_and_Condition_of_Dwelling__Total
1420/3/Red Deer,2021,1605,6380,8480,7135,7820,9095,40515,1525,4665,4290,2465,2145,2005,17095,10835,10355,4635,605,11680,2400,40515,11680,14065,5955,5425,3395,40515,33600,255,6655,1120,40515,10165,30345,40515,11960,28555,40515,24145,16370,40515,3510,37005,40515,3065,11315,9380,8365,8375,40500,17150,9110,26255,1310,5755,6095,5830,5135,16390,40515,6165,34350,40515,39145,1370,40515,397600,303600,239200,328000,229000,210000.0,100000,354800,29020,9605,1885,40515
1490/3/Regina,2006,4850,13050,15485,17960,12275,16695,80320,4680,10655,7435,5040,2800,3570,34180,22590,19975,9435,845,23605,3875,80320,23605,27270,12280,11370,5805,80320,72750,345,7225,675,80320,17800,62520,80320,24035,56280,80320,27165,53160,80320,7215,73105,80320,20970,36840,15825,4455,1850,79945,32050,23915,55965,10695,17145,15195,11960,9255,16075,80320,5110,51220,56330,76845,3480,80320,161443,122276,143063,121466,141350,110947.0,54565,157617,50565,23450,6300,80320
1490/3/Regina,2011,4055,15405,14750,18635,15625,17460,85930,3775,12495,7560,5495,3350,3575,36240,23565,22670,9470,1160,24635,4425,85930,24635,29570,13175,12255,6290,85930,76310,755,8870,2140,85930,18805,67125,85930,24340,61590,85930,29030,56900,85930,8355,77580,85930,15970,31015,21505,11000,5955,85445,35435,25240,60675,9045,13450,13505,12010,9625,28300,85930,9415,76520,85930,81730,4200,85930,338783,251843,283620,256278,258507,231183.0,131670,328149,53470,24635,7825,85930
1490/3/Regina,2016,3900,17670,17855,17650,17695,20190,94955,3705,14160,9255,5810,3540,3460,39935,26950,24690,9985,1560,27010,4760,94955,27010,32060,14675,13405,7805,94955,79445,1445,14065,4625,94955,21845,73110,94955,27830,67125,94955,51340,43615,94955,9490,85460,94955,9275,29275,23440,17715,14750,94450,41225,24680,65905,5995,12780,13550,12565,10830,39240,94955,12730,82225,94955,90225,4735,94955,390728,292828,333768,304486,292172,268207.0,190013,376493,63560,24615,6775,94955
1490/3/Regina,2021,3865,16350,20820,16810,18370,23995,100210,3700,12435,10060,5710,3800,4150,39860,28315,25575,10705,1515,29165,4935,100210,29165,33630,14835,13975,8610,100210,80385,2090,17735,4425,100210,26170,74045,100210,29695,70515,100210,59360,40855,100210,11275,88935,100210,5875,31055,24190,18990,19710,99820,43125,25185,68310,3575,12435,14010,13580,12095,44520,100210,14380,85830,100210,94520,5690,100210,395200,311600,307600,325000,263600,231200.0,109200,376400,66560,26405,7250,100210
1600/3/Saint%20John,2006,1880,6845,9720,11240,8520,10920,49125,1720,5345,4410,3030,1910,1625,18040,14795,13320,6115,665,12520,1710,49125,12520,17525,8245,7360,3480,49125,46250,370,2505,240,49125,11940,37185,49125,15340,33785,49125,18590,30535,49125,770,48360,49125,17895,20815,7930,1730,715,49080,19090,15260,34350,8215,11645,9685,7145,4645,7790,49125,950,33440,34390,47360,1765,49125,146991,124732,119423,116705,156391,100237.0,50916,139978,28685,16060,4380,49125
1600/3/Saint%20John,2011,1795,7055,9045,12180,10470,11585,52135,1715,5385,4400,3145,2485,1955,19080,14790,14650,6265,750,13505,2170,52135,13505,19270,8610,7570,3165,52135,49130,335,2670,375,52135,12800,39330,52135,15405,36725,52135,19945,32190,52135,1400,50730,52135,12935,23005,9925,4405,1810,52080,21325,15620,36935,7385,10220,9250,7155,5710,12410,52135,1695,50440,52135,50380,1750,52135,203676,176868,166421,165585,195054,144978.0,77109,193331,31740,15630,4765,52135
1600/3/Saint%20John,2016,1730,6890,8650,10810,11110,13675,52875,1625,5270,3615,2765,2125,2075,17480,13920,15465,6030,745,14845,1870,52875,14845,19810,8390,6650,3185,52875,49485,305,3080,575,52875,15165,37705,52875,14155,38715,52875,31750,21125,52875,1400,51470,52875,10420,22805,11655,5470,2440,52790,22345,14755,37095,5885,10110,8875,7260,5790,14950,52875,1760,51115,52875,51670,1205,52875,216423,170937,179743,179467,211518,147077.0,67347,204722,32270,16365,4230,52875
1600/3/Saint%20John,2021,1645,7265,8970,9565,11915,16505,55865,1550,5800,4275,3105,2790,3270,20790,13630,16285,6185,850,16545,2375,55865,16545,20915,8455,6535,3425,55865,51430,690,3745,950,55865,18280,37585,55865,14035,41830,55865,36170,19695,55865,1930,53930,55865,9550,22515,13460,6360,3930,55820,23030,15620,38650,2735,9605,9715,7995,6780,19035,55865,2060,53805,55865,54275,1595,55865,250000,204400,194200,204000,222400,192000.0,87200,236200,34770,16725,4365,55865
1640/3/St.%20John's,2006,2915,11155,15555,15890,12355,12795,70665,2775,9075,7345,4200,2450,2145,27980,24080,17295,9095,1020,15780,3385,70665,15785,24135,14140,12050,4550,70665,67705,310,2650,295,70665,14435,56230,70665,22285,48380,70665,22115,48550,70665,1045,69615,70665,18930,29620,16380,4260,1435,70625,32035,18475,50510,11810,14685,13505,10235,7255,13180,70665,1545,49000,50545,68460,2205,70665,171879,132449,108538,166975,145246,168673.0,128656,164374,50010,16775,3870,70665
1640/3/St.%20John's,2011,3760,12605,15375,17745,15010,14515,79020,3515,9900,7340,4450,3170,2265,30650,24555,20815,9175,1245,18845,4385,79020,18845,28100,15230,12470,4375,79020,75750,500,2775,515,79020,16710,62310,79020,22990,56030,79020,24385,54635,79020,2445,76575,79020,15170,30065,18855,10900,3975,78965,35365,20120,55485,9990,13175,12100,11265,8830,23660,79020,2670,76350,79020,76340,2685,79020,296920,229339,201393,284479,261076,259220.0,169187,285415,58070,16240,4715,79020
1640/3/St.%20John's,2016,3235,14055,15660,17465,16070,18530,85015,3080,11175,7400,4710,2945,2245,31555,24760,23385,9370,1155,21770,4575,85015,21770,30920,15390,12570,4365,85015,80330,1000,3690,770,85015,20660,64355,85015,23300,61720,85015,44720,40290,85015,3645,81365,85015,9935,27900,19315,15620,12165,84940,39025,20435,59455,7305,13255,11430,10685,9365,32980,85015,3195,81820,85015,83485,1530,85015,364693,259748,226344,345203,313844,348473.0,233455,348519,64115,17300,3595,85015
1640/3/St.%20John's,2021,3265,13155,16150,16560,17710,23160,90000,3130,10185,6890,4165,3395,3355,31120,24150,24730,9775,1115,25500,4725,90000,25500,32670,15210,12295,4320,90000,84155,1525,4325,1005,90000,25950,64045,90000,22990,67010,90000,54270,35730,90000,4195,85805,90000,9710,28790,19595,16715,15135,89945,39785,22630,62420,4380,13535,12985,11555,10220,37325,90000,3935,86065,90000,88220,1775,90000,359200,269600,225400,337600,310800,320000.0,264000,344000,65865,20400,3730,90000
1700/3/Saskatoon,2006,7500,16585,17965,20910,13370,18940,95275,7180,13480,8955,6705,3545,4710,44575,26970,24035,10310,935,27485,5540,95275,27485,32525,14045,13450,7775,95275,85690,935,8650,995,95275,20290,74985,95275,28735,66540,95275,32490,62785,95275,9230,86045,95275,24160,42370,20315,5725,2055,94620,38135,24945,63080,15835,21420,17400,14020,10260,16340,95275,8560,55125,63685,91285,3990,95275,184160,217385,150781,152381,125675,153000.0,64609,176948,63635,25935,5700,95275
1700/3/Saskatoon,2011,7000,20000,18240,21955,17185,19900,104285,6685,16320,9705,6910,3740,4540,47890,29770,27170,9905,1520,28685,7240,104285,28685,36010,16135,14720,8740,104285,91645,1375,11260,3200,104285,21170,83115,104285,30430,73855,104285,34380,69905,104285,10550,93740,104285,16945,35770,27210,15410,8150,103485,44150,27315,71470,11810,16825,17025,15115,12190,31330,104285,16290,87995,104285,98775,5515,104285,365171,330944,267811,304882,245631,302038.0,133953,345583,71625,26285,6370,104285
1700/3/Saskatoon,2016,5810,22605,21620,21335,20930,22980,115280,5480,18075,11615,7550,4840,4600,52160,33915,30410,11175,1920,30925,6935,115280,30925,39340,17835,16515,10665,115280,96910,1460,16915,4975,115280,24960,90320,115280,34710,80575,115280,61870,53410,115280,13845,101440,115280,11470,33280,27035,23170,19510,114460,52445,27730,80180,7965,15980,16440,15000,13435,46455,115280,20235,95050,115280,109950,5335,115280,419381,371651,300939,371757,269237,325599.0,144527,392273,80935,28925,5420,115280
1700/3/Saskatoon,2021,5800,22230,25690,20580,22295,28505,125105,5550,16865,12765,7050,5440,5750,53420,36565,32750,12205,1860,34470,7245,125105,34470,42490,18635,17905,11605,125105,101960,1985,21155,5225,125105,31315,93785,125105,37505,87595,125105,74385,50715,125105,16160,108940,125105,7910,35335,28585,24960,27545,124340,55275,29460,84735,5165,16005,17405,17310,15020,54195,125105,24565,100535,125105,119065,6035,125105,434800,349200,290000,411600,256800,327000.0,142800,402800,89530,30275,5295,125105
1800/3/Sherbrooke,2006,5645,12905,15265,17615,14445,16890,82765,5445,10620,7630,6130,4055,3875,37765,20355,22065,8355,310,28130,3540,82765,28130,29380,11290,9480,4480,82765,77940,390,4425,1220,82765,18110,64655,82765,21745,61025,82765,18540,64225,82765,770,81995,82765,32785,36625,10230,1915,1050,82605,26810,17320,44130,17385,21780,16705,11390,6580,8915,82765,2310,41960,44270,79990,2775,82765,173340,134604,134233,145934,153744,207892.0,89079,166686,57765,20375,4625,82765
1800/3/Sherbrooke,2011,5875,14315,14055,18320,17825,20695,91090,5615,11945,7105,6255,4810,5160,40890,20540,25435,8515,405,32305,3885,91090,32305,32750,11580,9750,4700,91090,85515,515,5070,1370,91090,22160,68925,91090,21905,69185,91090,22955,68140,91090,1180,89910,91090,26875,41365,16595,4185,1775,90790,31005,18730,49740,17465,21790,17435,12670,8505,13230,91090,6135,84955,91090,88265,2825,91090,232932,175111,173708,198339,196226,244906.0,112822,222563,65940,20425,4725,91090
1800/3/Sherbrooke,2016,5470,14245,15120,17210,18870,24665,95580,5265,11230,7850,5680,4995,5195,40210,20880,26875,8925,385,34500,4015,95580,34500,34480,11310,10255,5035,95580,88260,905,6415,1210,95580,26580,68995,95580,22285,73290,95580,42605,52970,95580,1595,93985,95580,21830,44260,19400,6685,3090,95270,33665,19830,53490,13090,21355,18345,13700,9620,19460,95580,8420,87160,95580,93550,2025,95580,268525,199540,189744,230809,227747,279603.0,147165,254823,68415,22340,4815,95580
1800/3/Sherbrooke,2021,6090,15815,16515,15765,19595,30875,104650,5920,12980,8640,5930,5965,7770,47210,21095,29695,9105,345,40190,4230,104650,40190,37310,11395,10210,5545,104650,95240,1840,7565,1350,104650,33025,71630,104650,22710,81940,104650,51185,53465,104650,2455,102190,104650,19545,48440,22070,9130,5245,104430,35885,21270,57155,6465,22060,19895,14965,11700,29560,104650,9900,94750,104650,102365,2285,104650,334000,250800,237400,275200,268000,312000.0,200000,314800,75510,23870,5275,104650
2000/3/Greater%20Sudbury%20%2F%20Grand%20Sudbury,2006,2830,8885,12895,14015,11485,14975,65080,2645,6740,5630,4260,2220,2020,23515,19620,18130,7350,620,17545,1820,65080,17545,23280,10500,9830,3920,65080,58765,125,6185,195,65080,16155,48925,65080,19100,45975,65080,26515,38565,65080,5470,59605,65080,18525,28020,12675,4220,1545,64970,24280,19220,43500,10045,13185,11870,9255,7355,13360,65080,395,43145,43540,63040,2035,65080,169617,120552,113903,141418,158584,277046.0,113684,164892,41095,18875,5110,65080
2000/3/Greater%20Sudbury%20%2F%20Grand%20Sudbury,2011,2710,9325,11300,15220,12950,16260,67770,2510,7290,5145,4160,2330,2045,23480,18930,19270,7200,765,19190,2420,67770,19185,24740,10850,9230,3750,67770,61890,210,5670,195,67770,17585,50185,67770,18370,49400,67770,28990,38780,67770,7380,60380,67770,12935,27665,14995,7700,4350,67645,26405,19555,45960,8690,11660,12040,9855,7980,17540,67770,940,66830,67770,65425,2345,67770,257591,203931,188061,216053,237418,299911.0,97161,250281,43695,18915,5160,67770
2000/3/Greater%20Sudbury%20%2F%20Grand%20Sudbury,2016,2570,9885,11070,14210,13845,18860,70445,2420,7580,4705,3890,2665,2580,23835,18090,20270,7765,875,20755,2695,70445,20755,26130,10615,9140,3805,70445,64910,300,5235,310,70445,20465,49985,70445,17540,52905,70445,43165,27285,70445,8610,61835,70445,9675,26035,17550,10010,7005,70275,27060,19375,46435,6980,11405,11140,9240,7835,23840,70445,1100,69345,70445,68790,1655,70445,306285,226524,224223,252705,284602,338262.0,181805,297561,44380,20730,5335,70445
2000/3/Greater%20Sudbury%20%2F%20Grand%20Sudbury,2021,2775,10040,11620,12240,15215,21500,73385,2645,7435,4990,3650,3245,3360,25320,17745,20840,8165,1005,22515,3125,73385,22515,26780,10820,9090,4180,73385,66840,1140,5405,545,73385,23525,49860,73385,17625,55760,73385,48480,24905,73385,10660,62725,73385,7715,24965,18455,12080,10015,73230,28025,19560,47580,3600,10205,11005,10010,8330,30235,73385,1380,72010,73385,71330,2060,73385,388400,299600,269000,332000,350000,360000.0,165000,377600,47395,20760,5235,73385
2240/3/Thunder Bay,2006,1590,6285,9540,12045,8800,13170,51425,1475,4960,3940,3170,1955,2020,17520,14865,13235,6005,475,15430,1420,51425,15430,17515,7875,7355,3255,51425,44110,85,7230,190,51425,13990,37440,51425,14370,37055,51425,21560,29860,51425,4810,46615,51425,17280,20535,9515,2970,1015,51315,19585,17810,37395,8290,10595,9540,7835,5840,9315,51425,1225,36250,37480,49555,1870,51425,148089,100596,108588,123905,125899,137619.0,89957,144259,33450,14185,3785,51425
2240/3/Thunder Bay,2011,1885,6445,8225,11585,10550,13365,52060,1810,4935,3740,2835,1830,1935,17075,13335,14070,6055,530,16235,1840,52060,16235,18270,7770,6900,2880,52060,45705,110,6250,210,52060,14360,37705,52060,12940,39120,52060,22570,29490,52060,5705,46350,52060,14675,22480,9800,3545,1475,51970,18765,18655,37425,6860,9950,9500,7685,5725,12345,52060,1755,50310,52060,50155,1905,52060,190070,118894,123418,167355,150432,161245.0,54967,184144,34055,13445,4565,52060
2240/3/Thunder Bay,2016,1615,6755,7480,10025,11565,15095,52545,1495,4935,3280,2490,1965,1800,15955,12620,14545,5955,625,16725,2080,52545,16720,18880,7665,6280,3000,52545,46175,280,6090,245,52545,16305,36245,52545,12045,40505,52545,31530,21015,52545,6995,45545,52545,9875,21430,12130,5695,3275,52410,19865,17825,37690,5210,9055,8755,7200,6110,16210,52545,1885,50660,52545,51050,1495,52545,267296,169513,188240,247721,231704,295079.0,92758,261022,33685,15050,3810,52545
2240/3/Thunder Bay,2021,1685,7230,7870,8710,11525,17190,54205,1625,5580,3510,2490,2015,2370,17575,11995,15100,6020,620,17985,2480,54205,17985,19465,7545,6160,3050,54205,47735,870,5595,345,54205,18575,35635,54205,11450,42755,54205,34865,19335,54205,8130,46075,54205,7765,20565,12920,7530,5265,54040,20040,18000,38040,3040,7885,8510,7640,6725,20405,54205,2150,52060,54205,52465,1740,54205,338800,218800,256000,281500,273000,334000.0,150000,329600,34890,15165,4150,54205
2270/3/Toronto,2006,41140,261365,443080,425515,291105,339055,1801255,37055,220010,258140,160620,72240,55945,804010,686925,359205,201040,75930,412450,65710,1801255,412455,489105,320935,338390,240375,1801255,787510,23490,990250,119090,1801255,428060,1373195,1801255,654060,1147195,1801255,574825,1226425,1801255,15550,1785705,1801255,216320,593610,400015,326890,263330,1800170,750380,465825,1216205,232780,313100,297315,255905,202925,499225,1801255,226635,990480,1217120,1579030,222225,1801255,466322,336376,294838,404793,354940,254436.0,384065,403092,1258480,434930,107840,1801255
2270/3/Toronto,2011,47145,276760,421265,487830,360650,396040,1989695,40500,227950,228835,162190,81600,60300,801375,727480,399220,229675,82855,469760,80710,1989695,469760,548335,352350,365105,254140,1989695,860695,29480,1099515,103160,1989695,492040,1497650,1989695,682410,1307285,1989695,656525,1333165,1989695,21590,1968105,1989695,181350,600905,452285,374755,378970,1988260,843795,513525,1357325,229855,309870,312750,263310,219140,654775,1989695,371750,1617940,1989695,1766035,223660,1989695,578649,422555,366694,484865,437826,320295.0,478576,495378,1423040,448240,118420,1989695
2270/3/Toronto,2016,48550,296120,406810,497290,414990,472145,2135910,44935,243150,217140,159385,88875,70540,824025,748270,435255,245925,94240,519930,92295,2135910,519930,598720,373885,377120,266255,2135910,888665,45220,1202025,97605,2135910,590910,1544995,2135910,679230,1456685,2135910,1028530,1107380,2135910,26010,2109895,2135910,138605,518035,481000,401375,595210,2134225,896520,522270,1418790,205390,303990,305830,273140,235660,811900,2135910,445650,1690260,2135910,1930485,205420,2135910,884379,625953,536750,769997,627584,410673.0,664400,734893,1530110,489580,116215,2135910
2270/3/Toronto,2021,46980,311125,417780,459580,463850,563165,2262475,43085,254730,219205,133140,87875,75595,813630,764080,471345,255260,96790,565465,109535,2262475,565465,644120,390885,386755,275250,2262475,880060,79485,1302925,124865,2262475,692155,1570320,2262475,674820,1587650,2262475,1143860,1118610,2262475,25825,2236645,2262475,102795,468730,395950,373255,920585,2261315,908175,563705,1471880,108855,264185,268775,272180,252230,1096245,2262475,539725,1722750,2262475,2030500,231975,2262475,1336000,967000,839000,1158000,960000,665000.0,1033000,1112000,1647515,500110,114845,2262475
2320/3/Trois-Rivières,2006,3145,8205,11155,14425,12225,14720,63875,2980,6815,5170,4535,3015,2915,25425,15375,17210,6530,280,22190,2285,63875,22195,22740,9145,7265,2530,63875,62395,115,1355,360,63875,15800,48075,63875,15670,48205,63875,14895,48980,63875,740,63135,63875,31155,25370,5745,825,605,63700,20545,16105,36650,14705,16680,11865,8205,5460,6955,63875,1165,35640,36810,62475,1395,63875,118834,105159,101213,102202,110503,131461.0,84306,115555,42820,16860,4190,63875
2320/3/Trois-Rivières,2011,3465,9885,9645,14940,14400,17805,70135,3265,7895,4645,4810,3325,3050,26995,14920,19780,6920,235,25655,2625,70135,25655,25580,8880,7455,2565,70135,68220,220,1695,485,70135,18955,51180,70135,15275,54860,70135,17135,53000,70135,1100,69040,70135,27385,29285,9990,2365,870,69900,22195,18300,40495,14315,16625,13430,9580,5980,10205,70135,4395,65740,70135,68450,1685,70135,169204,147655,132007,161859,148518,308176.0,123370,164515,49600,15890,4645,70135
2320/3/Trois-Rivières,2016,3400,9945,10370,12620,15720,20450,72505,3190,7630,4910,3825,3705,3750,27020,14450,20785,7175,250,27265,2585,72505,27260,26755,8670,6900,2910,72505,70060,330,2110,470,72505,21820,50680,72505,14970,57535,72505,29990,42515,72505,1505,70995,72505,20930,33295,12635,3840,1515,72225,24970,17105,42080,10785,16515,14195,9830,6765,14420,72505,5830,66675,72505,71415,1085,72505,197314,158641,151087,164534,180180,,150700,189084,51270,17000,4230,72505
2320/3/Trois-Rivières,2021,3485,10315,11775,10700,15710,24650,76635,3360,8210,5430,3725,4125,5460,30300,14065,22050,6835,335,30650,2700,76635,30650,27735,8190,6840,3220,76635,72515,1265,2855,485,76635,26535,50095,76635,15200,61430,76635,35040,41595,76635,1900,74735,76635,19410,35710,14165,4740,2330,76355,25785,17865,43655,4990,16715,15270,10725,8405,20520,76635,7565,69065,76635,75505,1130,76635,236200,194200,182400,203200,219800,160000.0,161000,227200,55130,17150,4355,76635
2410/3/Vancouver,2006,26960,118120,184375,192915,136460,158400,817225,24775,101210,113310,78450,41325,32720,391795,260775,182750,77540,28170,232135,35865,817225,232130,244995,128635,126280,85185,817225,40010,445,15495,43310,817225,193320,623905,817225,246680,570550,817225,279460,537770,817225,21805,795420,817225,178850,272415,152590,108020,103805,815685,315330,215375,530705,131545,160980,147235,117105,83510,176865,817225,164600,367120,531725,734570,82660,817225,631331,492965,347697,588742,317550,401340.0,180726,520330,570490,191140,55600,817225
2410/3/Vancouver,2011,28795,130165,175255,209620,168710,178755,891310,26145,107940,102235,79655,44455,31375,391805,274205,202915,84635,34455,250630,44475,891310,250630,272345,142205,136130,90000,891310,483550,19550,388210,44480,891310,216385,674925,891310,259010,632295,891310,303490,587820,891310,27920,863390,891310,153680,261720,180415,131040,162495,889350,343035,238880,581915,131480,148295,142875,120390,94970,253300,891310,279530,611775,891310,808040,83270,891310,871336,650567,453634,789140,407787,507198.0,207105,690775,641260,191320,58730,891310
2410/3/Vancouver,2016,30220,142600,171450,209675,188785,218165,960895,28300,118105,99175,80230,52205,42955,420965,283245,226330,91010,37740,275485,47090,960895,275485,300135,153020,139155,93100,960895,494585,28820,437485,43130,960895,265510,695385,960895,260595,700300,960895,484990,475905,960895,33285,927615,960895,119965,257470,202800,151540,227165,958945,367480,242910,610390,110775,144450,142570,126425,103820,332855,960895,293765,667130,960895,890530,70360,960895,1367462,929540,558844,1307246,496672,619748.0,280193,1004248,708425,197805,54665,960895
2410/3/Vancouver,2021,30925,161980,189725,196810,202025,261860,1043320,28660,135815,112975,71895,52600,47430,449375,295095,251785,94620,39770,302895,59155,1043320,302895,332065,164075,146350,97930,1043320,496265,47350,499705,54205,1043320,314245,729075,1043320,267775,775545,1043320,547165,496150,1043320,35180,1008140,1043320,83640,230935,185520,173275,368055,1041425,382785,263980,646770,59895,135830,135375,130095,115715,466405,1043320,339250,704070,1043320,958585,84730,1043320,1762000,1219000,809000,1664000,729000,863000.0,482800,1302000,781950,206180,55185,1043320
2440/3/Victoria,2006,6925,18930,25530,30995,26115,36940,145435,6690,16420,15285,12435,8745,8415,67990,33665,41165,13560,1740,48320,6975,145435,48325,53135,19535,16710,7730,145435,111075,1175,33180,1655,145435,40235,105195,145435,34300,111135,145435,56355,89075,145435,5555,139875,145435,39415,50690,25110,17470,12240,144920,52080,41735,93815,21560,31395,28195,21920,15200,27165,145435,19670,74460,94130,138460,6970,145435,538009,430315,382713,521437,310773,383762.0,193636,481917,103245,33635,8555,145435
2440/3/Victoria,2011,6945,21855,23190,30670,31515,39230,153395,6615,18580,13725,11630,9055,7935,67545,33155,44610,13315,2170,51165,8980,153395,51165,57045,20890,16740,7555,153395,120505,1220,31670,1830,153395,43165,110225,153395,33710,119680,153395,60655,92735,153395,7555,145840,153395,32800,48915,28815,19875,22365,152770,55285,44170,99450,20540,27305,27055,22280,17365,38850,153395,28325,125065,153395,145900,7495,153395,659308,506725,444363,628956,361436,464880.0,181832,578869,110540,33685,9170,153395
2440/3/Victoria,2016,6965,22560,23675,29335,33025,47175,162735,6525,18665,13430,10955,9910,10040,69520,34790,48050,13775,2480,54225,9415,162735,54225,60845,21800,17285,8585,162735,126170,2320,34245,2370,162735,52090,110645,162735,34470,128270,162735,95285,67450,162735,9155,153580,162735,24220,51240,34135,22645,29790,162035,57615,43710,101325,16485,26375,26690,22665,18640,51880,162735,29950,132785,162735,156960,5775,162735,728105,547704,448170,692157,363664,497857.0,189313,629493,116945,37075,8720,162735
2440/3/Victoria,2021,6500,24530,28310,27880,33020,56530,176770,6235,20420,16600,10940,10000,12785,76980,36555,52550,14145,3255,59610,10645,176770,59610,65880,22980,18615,9690,176770,136160,2875,37740,3300,176770,62505,114265,176770,35995,140770,176770,111555,65215,176770,10890,165875,176770,18445,42645,36825,29345,48840,176105,61665,47480,109140,8130,23820,26135,24815,21260,72615,176770,35845,140920,176770,169460,7315,176770,1101000,811000,676000,1049000,540500,694000.0,337600,938000,128315,39280,9180,176770
2640/3/Windsor,2006,4335,19190,28120,26715,20530,26945,125840,4075,14620,13205,7985,4680,4095,48655,42340,29655,14260,2015,33830,3735,125840,33830,39425,20235,20255,12085,125840,90465,1325,34050,3790,125840,30165,95675,125840,41060,84780,125840,44780,81060,125840,3075,122765,125840,26875,49360,30440,13180,5705,125555,55225,37995,93220,18430,23350,21510,18185,14035,30325,125840,5980,87515,93500,118785,7055,125840,210037,165586,166322,142426,146302,157057.0,200762,203133,91800,26625,7415,125840
2640/3/Windsor,2011,3945,15305,23885,29140,24275,30325,126870,3605,10995,9545,7785,5330,4415,41675,38850,30810,15835,1970,35490,3915,126870,35490,41105,20005,19125,11145,126870,93000,1105,32765,2395,126870,33560,93310,126870,37795,89080,126870,47375,79500,126870,3665,123200,126870,27485,53450,27765,12140,5610,126450,51225,41055,92280,18570,24515,22410,16895,14030,30450,126870,9075,117795,126870,120385,6490,126870,205487,165974,165127,138069,133129,141349.0,219758,199090,89945,28720,8215,126870
2640/3/Windsor,2016,3890,15800,22090,28655,27215,35270,132920,3645,12250,10305,8450,5995,5610,46260,38485,32630,16130,2225,39045,4395,132920,39050,43360,20230,18810,11475,132920,96355,1530,35035,2770,132920,39150,93770,132920,36515,96405,132920,72085,60830,132920,4835,128080,132920,21830,56210,31140,14595,8645,132415,56390,38360,94750,14890,22780,22920,17910,14765,39655,132920,8900,124020,132920,127335,5585,132920,254965,198420,200309,193717,194106,174420.0,106195,246465,92915,31160,8840,132920
