cma_code,year,Age_of_Primary_Household_Maintainer__15___24,Age_of_Primary_Household_Maintainer__25___34,Age_of_Primary_Household_Maintainer__35___44,Age_of_Primary_Household_Maintainer__45___54,Age_of_Primary_Household_Maintainer__55___64,Age_of_Primary_Household_Maintainer__Total_65_,Age_of_Primary_Household_Maintainer__Total,Mobility_of_Primary_Household_Maintainer__15___24,Mobility_of_Primary_Household_Maintainer__25___34,Mobility_of_Primary_Household_Maintainer__35___44,Mobility_of_Primary_Household_Maintainer__45___54,Mobility_of_Primary_Household_Maintainer__55___64,Mobility_of_Primary_Household_Maintainer__Total_65_,Mobility_of_Primary_Household_Maintainer__Total,Household_Type__Couple_With_Children,Household_Type__Couple_Without_Children,Household_Type__Total_Lone__Parent_Households,Household_Type__Multiple__Family,Household_Type__Total_One__Person_Households,Household_Type__Other_Non_Family,Household_Type__Total,Household_Size__One_Person_Household,Household_Size__Two_Person_Household,Household_Size__Three_Person_Household,Household_Size__Four_Person_Household,Household_Size__Five_Or_More_Person_Household,Household_Size__Total,Immigrant_Households__Non_Immigrant,Immigrant_Households__Non_Permanent_Resident,Immigrant_Households__Immigrant,Immigrant_Households__Recent_Immigrant,Immigrant_Households__Total,Households_with_Seniors__Household_Has_at_Least_One_Senior__65_or_Older_,Households_with_Seniors__Other_Household_Type,Households_with_Seniors__Total,Households_with_Children_Under_18__Household_Has_at_Least_One_Child_Less_Than_18_Years_Old,Households_with_Children_Under_18__Other_Household_Type,Households_with_Children_Under_18__Total,Activity_Limitations__Household_Has_at_Least_One_Person_With_Activity_Limitations,Activity_Limitations__Other_Household_Type,Activity_Limitations__Total,Aboriginal_Households__Aboriginal_Households,Aboriginal_Households__Non_Aboriginal_Households,Aboriginal_Households__Total,Shelter_Costs__Less_Than__500_Per_Month,Shelter_Costs___500_to__999_Per_Month,Shelter_Costs___1_000_to__1_499_Per_Month,Shelter_Costs___1_500_to__1_999_Per_Month,Shelter_Costs___2_000_And_Over_Per_Month,Shelter_Costs__Total_Non_Farm__Non_Band_Households,Mortgages__With_a_Mortgage,Mortgages__Without_a_Mortgage,Mortgages__Total_Private_Households_With_Mortgage_Status_Known,Household_Income__Less_Than__20_000,Household_Income___20_000_to__39_999,Household_Income___40_000_to__59_999,Household_Income___60_000_to__79_999,Household_Income___80_000_to__99_999,Household_Income___100_000_And_Over,Household_Income__Total,Condominiums__Part_of_a_Condominium,Condominiums__Not_Part_of_a_Condominium,Condominiums__Total,Housing_Suitability__Suitable,Housing_Suitability__Not_Suitable__Crowded_,Housing_Suitability__Total,Value_of_Owner_occupied_Dwellings______Single_Detached,Value_of_Owner_occupied_Dwellings______Semi_Detached,Value_of_Owner_occupied_Dwellings______Row,Value_of_Owner_occupied_Dwellings______Duplex,Value_of_Owner_occupied_Dwellings______Low_Rise_Apt_,Value_of_Owner_occupied_Dwellings______High_Rise_Apt_,Value_of_Owner_occupied_Dwellings______Other,Value_of_Owner_occupied_Dwellings______Total,Period_of_Construction_and_Condition_of_Dwelling__Needs_Only_Regular_Maintenance,Period_of_Construction_and_Condition_of_Dwelling__Needs_Minor_Repairs,Period_of_Construction_and_Condition_of_Dwelling__Needs_Major_Repairs,Period_of_Construction_and_Condition_of_Dwelling__Total
1100/3/Nanaimo,2021,1625,6070,7615,7580,9650,16805,49350,1520,4980,4640,3275,3140,4105,21660,10365,15210,5140,950,14845,2835,49350,14845,19090,6935,5390,3085,49350,39870,590,8890,745,49350,18775,30575,49350,11090,38265,49350,32145,17200,49350,4865,44480,49350,7810,12310,10050,8435,10400,49010,19535,14180,33715,2225,7595,8580,7165,5975,17800,49350,7035,42315,49350,47655,1690,49350,716000,536500,429000,738000,390800,512000.0,266500,656000,35320,11255,2770,49350
1160/3/St.%20Catharines%20-%20Niagara,2006,4325,18080,29710,33010,28125,43225,156465,3980,14260,14110,9670,6800,7050,55875,47200,43630,17410,2120,41840,4265,156465,41845,55075,24455,22710,12385,156465,118650,915,36910,2155,156465,46925,109540,156465,45020,111455,156465,61465,95000,156465,3815,152655,156465,37590,64485,34325,13620,5655,155675,62040,53935,115975,22080,34910,30945,24175,17235,27125,156465,6340,110395,116730,149470,6995,156465,219492,161126,198164,190414,172664,165294.0,199186,212767,106730,39335,10405,156465
1160/3/St.%20Catharines%20-%20Niagara,2011,4230,17485,24995,34770,32625,46345,160455,3850,13450,11065,9990,7465,7305,53125,44715,45450,18420,2210,44435,5220,160455,44440,58035,24885,21590,11500,160455,125990,810,33655,1425,160455,50535,109915,160455,41945,118510,160455,67475,92975,160455,5030,155425,160455,30165,65665,37825,17785,8200,159640,65135,53645,118785,18500,33575,32320,24090,17075,34895,160455,8980,151475,160455,153540,6910,160455,259318,187810,234116,200577,216157,173368.0,188147,250815,110180,39225,11050,160455
1160/3/St.%20Catharines%20-%20Niagara,2016,4330,18395,23665,32775,35670,53645,168485,4080,13875,11130,10245,9170,9640,58145,43060,48790,19610,2720,48240,6070,168485,48235,62175,25285,21230,11565,168485,131345,1420,35720,1390,168485,58690,109795,168485,40360,128125,168485,97800,70680,168485,6495,161985,168485,22290,67425,42550,21980,13270,167510,69350,52485,121830,16390,32640,31100,24750,19330,44270,168485,10200,158290,168485,163305,5180,168485,321530,226845,289857,262075,239654,202702.0,197007,309957,116570,41035,10880,168485
1160/3/St.%20Catharines%20-%20Niagara,2021,3755,20075,25335,29500,38565,61990,179225,3500,15525,12465,9445,10430,11840,63210,44950,51675,20335,3500,51465,7290,179225,51465,65495,26765,22150,13350,179225,137155,2415,39650,2560,179225,68610,110615,179225,41770,137455,179225,109555,69670,179225,7425,171800,179225,17565,61075,41165,29350,29280,178440,71880,55400,127280,8250,27920,30210,26590,22780,63480,179225,12825,166400,179225,172470,6750,179225,642000,473200,542500,529500,470000,395600.0,446000,616000,127875,41310,10040,179225
1250/3/Oshawa,2006,2455,17225,29545,28690,18865,22230,119015,2240,14085,14730,9300,4850,4675,49885,46895,28750,13825,2525,23875,3145,119015,23875,36825,21530,23910,12870,119015,92155,230,26630,995,119015,25855,93155,119015,46015,73000,119015,42525,76495,119015,2610,116405,119015,16205,36985,28145,25055,12430,118810,63535,29790,93325,11105,17200,19730,18980,16145,35865,119015,4895,88630,93530,113765,5250,119015,288067,192506,199521,233017,194616,208818.0,154043,270045,83660,28970,6385,119015
1250/3/Oshawa,2011,2695,16615,26615,34450,23205,26120,129695,2340,12950,12175,9440,5040,4955,46900,47895,31475,16215,3405,26460,4255,129695,26455,40975,23875,25565,12825,129695,101435,285,27975,955,129695,30045,99650,129695,46710,82990,129695,49090,80605,129695,3375,126320,129695,11845,40935,28525,28500,19585,129395,69830,33105,102935,11180,17665,20935,17715,16170,46035,129695,8415,121280,129695,123430,6270,129695,330003,206974,222155,273266,207218,221121.0,123878,307338,91080,31880,6740,129695
1250/3/Oshawa,2016,2000,17195,26225,32925,27920,32690,138960,1860,12925,12180,9375,6280,6475,49090,49610,33725,18000,3860,29650,4125,138960,29650,43795,25060,25885,14575,138960,105565,460,32940,1035,138960,37885,101075,138960,46680,92285,138960,77315,61645,138960,4810,134160,138960,8505,38445,30130,30060,31495,138625,74115,33655,107775,8375,17395,19940,18550,17335,57370,138960,8520,130440,138960,133790,5175,138960,494537,313075,343240,416442,294649,285143.0,210497,461757,96465,35245,7255,138960
1250/3/Oshawa,2021,1775,18225,29420,30515,31540,37580,149050,1585,14420,15355,9490,7040,6645,54525,53210,34510,19320,5325,31330,5350,149050,31330,45425,27075,27700,17515,149050,105885,1050,42105,3410,149050,44405,104645,149050,50770,98275,149050,87680,61370,149050,5285,143765,149050,6780,35425,25590,25175,55800,148770,75410,36015,111425,4590,14295,17975,18425,17520,76240,149050,11070,137975,149050,141815,7230,149050,835000,596000,628000,732000,546000,504000.0,550000,788000,107300,34890,6855,149050
1265/3/Ottawa,2006,13510,51865,74620,76590,55385,61355,333320,12805,43770,40110,26095,13010,10090,145890,107410,81885,34235,4345,90005,15435,333320,90005,108800,53760,52615,28145,333320,247280,2765,83275,8405,333320,70195,263130,333320,103315,230005,333320,109365,223955,333320,7675,325645,333320,49225,126265,80715,50025,26475,332700,133125,88565,221690,37995,51050,52350,49680,40085,102160,333320,35355,186925,222280,314415,18900,333320,330589,253454,219001,307028,252006,220612.0,147885,294536,222865,89720,20740,333320
1265/3/Ottawa,2011,15470,56830,70115,86415,67115,71225,367170,14645,48145,37390,28375,15755,11045,155365,112295,91880,36525,5070,102180,19205,367170,102180,121265,58230,55670,29820,367170,268795,3755,94625,9110,367170,80540,286630,367170,107450,259715,367170,122910,244260,367170,11210,355960,367170,37410,127525,85720,67160,48330,366145,150655,97615,248270,35675,45185,53170,49475,43660,140005,367170,52990,314180,367170,346170,21000,367170,434616,329637,280883,384267,315565,302892.0,189788,383284,250740,93980,22450,367170
1265/3/Ottawa,2016,15460,58575,69605,86425,76580,88755,395400,14820,48125,35690,26585,16510,13695,155420,117440,102385,39880,6215,109780,19695,395400,109780,132755,61660,58910,32285,395400,286960,5555,102880,8345,395400,101015,294380,395400,111210,284190,395400,219360,176035,395400,14845,380550,395400,28190,117890,95430,80180,72560,394250,160590,101975,262565,32480,46425,51810,50770,47395,166510,395400,58980,336420,395400,377565,17835,395400,496105,396551,315446,486183,353882,332800.0,160165,437539,268830,105390,21175,395400
1265/3/Ottawa,2021,15260,68015,80175,84685,90850,114595,453575,14520,56345,43645,27625,20850,20340,183320,132155,119570,44865,7105,126460,23430,453575,126460,153810,68935,66215,38160,453575,319280,10550,123750,15030,453575,130500,323075,453575,124105,329475,453575,276210,177370,453575,18525,435050,453575,25385,116505,93150,92485,124940,452470,179600,117455,297050,18680,44350,50225,54665,52765,232895,453575,67705,385870,453575,430525,23055,453575,738000,591500,504800,710000,475600,424000.0,315500,654000,316555,112700,24325,453575
1320/3/Peterborough,2006,2140,5065,8120,9905,8650,12795,46675,2095,4060,3835,3060,2130,2480,17655,13405,14180,4755,575,11810,1955,46675,11810,17620,6960,6670,3620,46675,40845,155,5680,260,46675,14055,32625,46675,12855,33820,46675,19255,27420,46675,1890,44790,46675,11420,18360,10430,4410,1630,46245,18325,15185,33510,6835,10385,9050,7135,4755,8520,46675,1030,32885,33910,44755,1920,46675,243291,190350,207991,218769,208525,242121.0,253222,240168,30560,12550,3565,46675
