Hamilton — Historical Period of Construction and Condition of Dwelling  
2006 to 2016 Tenure - Total Period of Construction - Total
,Needs Only Regular Maintenance,Needs Minor Repairs,Needs Major Repairs,Total,
2006,"180,075","68,635","17,745","266,460",
2011,"193,875","69,245","19,060","282,190",
2016,"202,820","72,155","18,365","293,345",

Notes
"Where band housing is present, total dwelling counts are larger than the sum of owned and rented dwellings."
"For 2016 data, dwellings built from 2011 to 2016 include homes built up to May 10, 2016."
"For 2011 data, dwellings built from 2006 to 2011 include homes built up to May 10, 2011."
"For 2006 data, dwellings built from 2001 to 2006 include homes built up to May 16, 2006."
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
