London — Historical Period of Construction and Condition of Dwelling  
2006 to 2016 Tenure - Total Period of Construction - Total
,Needs Only Regular Maintenance,Needs Minor Repairs,Needs Major Repairs,Total,
2006,"129,225","44,205","11,520","184,950",
2011,"137,970","45,405","11,680","195,060",
2016,"145,375","48,960","12,115","206,450",

Notes
"Where band housing is present, total dwelling counts are larger than the sum of owned and rented dwellings."
"For 2016 data, dwellings built from 2011 to 2016 include homes built up to May 10, 2016."
"For 2011 data, dwellings built from 2006 to 2011 include homes built up to May 10, 2011."
"For 2006 data, dwellings built from 2001 to 2006 include homes built up to May 16, 2006."
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
