"GeoUID","Date","DateString","Bedroom Type","Value","Survey","Series"
"59913",1990-10-01,"1990 October","Studio",139,"Rms","Rental Universe"
"59913",1990-10-01,"1990 October","1 Bedroom",1005,"Rms","Rental Universe"
"59913",1990-10-01,"1990 October","2 Bedroom",961,"Rms","Rental Universe"
"59913",1990-10-01,"1990 October","3 Bedroom +",37,"Rms","Rental Universe"
"59913",1990-10-01,"1990 October","Total",2142,"Rms","Rental Universe"
"59913",1991-10-01,"1991 October","Studio",132,"Rms","Rental Universe"
"59913",1991-10-01,"1991 October","1 Bedroom",994,"Rms","Rental Universe"
"59913",1991-10-01,"1991 October","2 Bedroom",985,"Rms","Rental Universe"
"59913",1991-10-01,"1991 October","3 Bedroom +",42,"Rms","Rental Universe"
"59913",1991-10-01,"1991 October","Total",2153,"Rms","Rental Universe"
"59913",1992-10-01,"1992 October","Studio",132,"Rms","Rental Universe"
"59913",1992-10-01,"1992 October","1 Bedroom",996,"Rms","Rental Universe"
"59913",1992-10-01,"1992 October","2 Bedroom",981,"Rms","Rental Universe"
"59913",1992-10-01,"1992 October","3 Bedroom +",38,"Rms","Rental Universe"
"59913",1992-10-01,"1992 October","Total",2147,"Rms","Rental Universe"
"59913",1993-10-01,"1993 October","Studio",123,"Rms","Rental Universe"
"59913",1993-10-01,"1993 October","1 Bedroom",983,"Rms","Rental Universe"
"59913",1993-10-01,"1993 October","2 Bedroom",982,"Rms","Rental Universe"
"59913",1993-10-01,"1993 October","3 Bedroom +",36,"Rms","Rental Universe"
"59913",1993-10-01,"1993 October","Total",2124,"Rms","Rental Universe"
"59913",1994-10-01,"1994 October","Studio",133,"Rms","Rental Universe"
"59913",1994-10-01,"1994 October","1 Bedroom",1019,"Rms","Rental Universe"
"59913",1994-10-01,"1994 October","2 Bedroom",954,"Rms","Rental Universe"
"59913",1994-10-01,"1994 October","3 Bedroom +",40,"Rms","Rental Universe"
"59913",1994-10-01,"1994 October","Total",2146,"Rms","Rental Universe"
"59913",1995-10-01,"1995 October","Studio",134,"Rms","Rental Universe"
"59913",1995-10-01,"1995 October","1 Bedroom",1019,"Rms","Rental Universe"
"59913",1995-10-01,"1995 October","2 Bedroom",968,"Rms","Rental Universe"
"59913",1995-10-01,"1995 October","3 Bedroom +",57,"Rms","Rental Universe"
"59913",1995-10-01,"1995 October","Total",2178,"Rms","Rental Universe"
"59913",1996-10-01,"1996 October","Studio",133,"Rms","Rental Universe"
"59913",1996-10-01,"1996 October","1 Bedroom",1006,"Rms","Rental Universe"
"59913",1996-10-01,"1996 October","2 Bedroom",930,"Rms","Rental Universe"
"59913",1996-10-01,"1996 October","3 Bedroom +",61,"Rms","Rental Universe"
"59913",1996-10-01,"1996 October","Total",2130,"Rms","Rental Universe"
"59913",1997-10-01,"1997 October","Studio",135,"Rms","Rental Universe"
"59913",1997-10-01,"1997 October","1 Bedroom",1022,"Rms","Rental Universe"
"59913",1997-10-01,"1997 October","2 Bedroom",984,"Rms","Rental Universe"
"59913",1997-10-01,"1997 October","3 Bedroom +",83,"Rms","Rental Universe"
"59913",1997-10-01,"1997 October","Total",2224,"Rms","Rental Universe"
"59913",1998-10-01,"1998 October","Studio",135,"Rms","Rental Universe"
"59913",1998-10-01,"1998 October","1 Bedroom",1041,"Rms","Rental Universe"
"59913",1998-10-01,"1998 October","2 Bedroom",992,"Rms","Rental Universe"
"59913",1998-10-01,"1998 October","3 Bedroom +",93,"Rms","Rental Universe"
"59913",1998-10-01,"1998 October","Total",2261,"Rms","Rental Universe"
"59913",1999-10-01,"1999 October","Studio",142,"Rms","Rental Universe"
"59913",1999-10-01,"1999 October","1 Bedroom",1045,"Rms","Rental Universe"
"59913",1999-10-01,"1999 October","2 Bedroom",995,"Rms","Rental Universe"
"59913",1999-10-01,"1999 October","3 Bedroom +",116,"Rms","Rental Universe"
"59913",1999-10-01,"1999 October","Total",2298,"Rms","Rental Universe"
"59913",2000-10-01,"2000 October","Studio",138,"Rms","Rental Universe"
"59913",2000-10-01,"2000 October","1 Bedroom",1034,"Rms","Rental Universe"
"59913",2000-10-01,"2000 October","2 Bedroom",975,"Rms","Rental Universe"
"59913",2000-10-01,"2000 October","3 Bedroom +",111,"Rms","Rental Universe"
"59913",2000-10-01,"2000 October","Total",2258,"Rms","Rental Universe"
"59913",2001-10-01,"2001 October","Studio",145,"Rms","Rental Universe"
"59913",2001-10-01,"2001 October","1 Bedroom",1045,"Rms","Rental Universe"
"59913",2001-10-01,"2001 October","2 Bedroom",968,"Rms","Rental Universe"
"59913",2001-10-01,"2001 October","3 Bedroom +",111,"Rms","Rental Universe"
"59913",2001-10-01,"2001 October","Total",2269,"Rms","Rental Universe"
"59913",2002-10-01,"2002 October","Studio",145,"Rms","Rental Universe"
"59913",2002-10-01,"2002 October","1 Bedroom",1039,"Rms","Rental Universe"
"59913",2002-10-01,"2002 October","2 Bedroom",960,"Rms","Rental Universe"
"59913",2002-10-01,"2002 October","3 Bedroom +",107,"Rms","Rental Universe"
"59913",2002-10-01,"2002 October","Total",2251,"Rms","Rental Universe"
"59913",2003-10-01,"2003 October","Studio",144,"Rms","Rental Universe"
"59913",2003-10-01,"2003 October","1 Bedroom",1038,"Rms","Rental Universe"
"59913",2003-10-01,"2003 October","2 Bedroom",959,"Rms","Rental Universe"
"59913",2003-10-01,"2003 October","3 Bedroom +",103,"Rms","Rental Universe"
"59913",2003-10-01,"2003 October","Total",2244,"Rms","Rental Universe"
"59913",2004-10-01,"2004 October","Studio",146,"Rms","Rental Universe"
"59913",2004-10-01,"2004 October","1 Bedroom",1016,"Rms","Rental Universe"
