"GeoUID","Date","DateString","Bedroom Type","Value","Survey","Series"
"24442",1990-10-01,"1990 October","Studio",765,"Rms","Rental Universe"
"24442",1990-10-01,"1990 October","1 Bedroom",4402,"Rms","Rental Universe"
"24442",1990-10-01,"1990 October","2 Bedroom",6391,"Rms","Rental Universe"
"24442",1990-10-01,"1990 October","3 Bedroom +",3355,"Rms","Rental Universe"
"24442",1990-10-01,"1990 October","Total",14913,"Rms","Rental Universe"
"24442",1991-10-01,"1991 October","Studio",970,"Rms","Rental Universe"
"24442",1991-10-01,"1991 October","1 Bedroom",4370,"Rms","Rental Universe"
"24442",1991-10-01,"1991 October","2 Bedroom",6496,"Rms","Rental Universe"
"24442",1991-10-01,"1991 October","3 Bedroom +",3467,"Rms","Rental Universe"
"24442",1991-10-01,"1991 October","Total",15303,"Rms","Rental Universe"
"24442",1992-10-01,"1992 October","Studio",1034,"Rms","Rental Universe"
"24442",1992-10-01,"1992 October","1 Bedroom",4502,"Rms","Rental Universe"
"24442",1992-10-01,"1992 October","2 Bedroom",6530,"Rms","Rental Universe"
"24442",1992-10-01,"1992 October","3 Bedroom +",3469,"Rms","Rental Universe"
"24442",1992-10-01,"1992 October","Total",15535,"Rms","Rental Universe"
"24442",1993-10-01,"1993 October","Studio",1024,"Rms","Rental Universe"
"24442",1993-10-01,"1993 October","1 Bedroom",4474,"Rms","Rental Universe"
"24442",1993-10-01,"1993 October","2 Bedroom",6511,"Rms","Rental Universe"
"24442",1993-10-01,"1993 October","3 Bedroom +",3546,"Rms","Rental Universe"
"24442",1993-10-01,"1993 October","Total",15555,"Rms","Rental Universe"
"24442",1994-10-01,"1994 October","Studio",1005,"Rms","Rental Universe"
"24442",1994-10-01,"1994 October","1 Bedroom",4460,"Rms","Rental Universe"
"24442",1994-10-01,"1994 October","2 Bedroom",6527,"Rms","Rental Universe"
"24442",1994-10-01,"1994 October","3 Bedroom +",3561,"Rms","Rental Universe"
"24442",1994-10-01,"1994 October","Total",15553,"Rms","Rental Universe"
"24442",1995-10-01,"1995 October","Studio",1141,"Rms","Rental Universe"
"24442",1995-10-01,"1995 October","1 Bedroom",4585,"Rms","Rental Universe"
"24442",1995-10-01,"1995 October","2 Bedroom",6669,"Rms","Rental Universe"
"24442",1995-10-01,"1995 October","3 Bedroom +",3649,"Rms","Rental Universe"
"24442",1995-10-01,"1995 October","Total",16044,"Rms","Rental Universe"
"24442",1996-10-01,"1996 October","Studio",1135,"Rms","Rental Universe"
"24442",1996-10-01,"1996 October","1 Bedroom",4591,"Rms","Rental Universe"
"24442",1996-10-01,"1996 October","2 Bedroom",6722,"Rms","Rental Universe"
"24442",1996-10-01,"1996 October","3 Bedroom +",3666,"Rms","Rental Universe"
"24442",1996-10-01,"1996 October","Total",16114,"Rms","Rental Universe"
"24442",1997-10-01,"1997 October","Studio",1152,"Rms","Rental Universe"
"24442",1997-10-01,"1997 October","1 Bedroom",4601,"Rms","Rental Universe"
"24442",1997-10-01,"1997 October","2 Bedroom",6787,"Rms","Rental Universe"
"24442",1997-10-01,"1997 October","3 Bedroom +",3684,"Rms","Rental Universe"
"24442",1997-10-01,"1997 October","Total",16224,"Rms","Rental Universe"
"24442",1998-10-01,"1998 October","Studio",1185,"Rms","Rental Universe"
"24442",1998-10-01,"1998 October","1 Bedroom",4602,"Rms","Rental Universe"
"24442",1998-10-01,"1998 October","2 Bedroom",6831,"Rms","Rental Universe"
"24442",1998-10-01,"1998 October","3 Bedroom +",3620,"Rms","Rental Universe"
"24442",1998-10-01,"1998 October","Total",16238,"Rms","Rental Universe"
"24442",1999-10-01,"1999 October","Studio",1183,"Rms","Rental Universe"
"24442",1999-10-01,"1999 October","1 Bedroom",4603,"Rms","Rental Universe"
"24442",1999-10-01,"1999 October","2 Bedroom",6838,"Rms","Rental Universe"
"24442",1999-10-01,"1999 October","3 Bedroom +",3592,"Rms","Rental Universe"
"24442",1999-10-01,"1999 October","Total",16216,"Rms","Rental Universe"
"24442",2000-10-01,"2000 October","Studio",1173,"Rms","Rental Universe"
"24442",2000-10-01,"2000 October","1 Bedroom",4689,"Rms","Rental Universe"
"24442",2000-10-01,"2000 October","2 Bedroom",6875,"Rms","Rental Universe"
"24442",2000-10-01,"2000 October","3 Bedroom +",3620,"Rms","Rental Universe"
"24442",2000-10-01,"2000 October","Total",16357,"Rms","Rental Universe"
"24442",2001-10-01,"2001 October","Studio",1143,"Rms","Rental Universe"
"24442",2001-10-01,"2001 October","1 Bedroom",4708,"Rms","Rental Universe"
"24442",2001-10-01,"2001 October","2 Bedroom",6839,"Rms","Rental Universe"
"24442",2001-10-01,"2001 October","3 Bedroom +",3608,"Rms","Rental Universe"
"24442",2001-10-01,"2001 October","Total",16298,"Rms","Rental Universe"
"24442",2002-10-01,"2002 October","Studio",1170,"Rms","Rental Universe"
"24442",2002-10-01,"2002 October","1 Bedroom",4672,"Rms","Rental Universe"
"24442",2002-10-01,"2002 October","2 Bedroom",6873,"Rms","Rental Universe"
"24442",2002-10-01,"2002 October","3 Bedroom +",3590,"Rms","Rental Universe"
"24442",2002-10-01,"2002 October","Total",16305,"Rms","Rental Universe"
"24442",2003-10-01,"2003 October","Studio",1345,"Rms","Rental Universe"
"24442",2003-10-01,"2003 October","1 Bedroom",4863,"Rms","Rental Universe"
"24442",2003-10-01,"2003 October","2 Bedroom",6909,"Rms","Rental Universe"
"24442",2003-10-01,"2003 October","3 Bedroom +",3583,"Rms","Rental Universe"
"24442",2003-10-01,"2003 October","Total",16700,"Rms","Rental Universe"
"24442",2004-10-01,"2004 October","Studio",1294,"Rms","Rental Universe"
"24442",2004-10-01,"2004 October","1 Bedroom",4737,"Rms","Rental Universe"
"24442",2004-10-01,"2004 October","2 Bedroom",7041,"Rms","Rental Universe"
"24442",2004-10-01,"2004 October","3 Bedroom +",3550,"Rms","Rental Universe"
"24442",2004-10-01,"2004 October","Total",16622,"Rms","Rental Universe"
"24442",2005-10-01,"2005 October","Studio",1308,"Rms","Rental Universe"
"24442",2005-10-01,"2005 October","1 Bedroom",4779,"Rms","Rental Universe"
"24442",2005-10-01,"2005 October","2 Bedroom",7173,"Rms","Rental Universe"
"24442",2005-10-01,"2005 October","3 Bedroom +",3542,"Rms","Rental Universe"
"24442",2005-10-01,"2005 October","Total",16802,"Rms","Rental Universe"
"24442",2006-10-01,"2006 October","Studio",1209,"Rms","Rental Universe"
"24442",2006-10-01,"2006 October","1 Bedroom",4996,"Rms","Rental Universe"
"24442",2006-10-01,"2006 October","2 Bedroom",7315,"Rms","Rental Universe"
"24442",2006-10-01,"2006 October","3 Bedroom +",3512,"Rms","Rental Universe"
"24442",2006-10-01,"2006 October","Total",17032,"Rms","Rental Universe"
"24442",2007-10-01,"2007 October","Studio",1242,"Rms","Rental Universe"
"24442",2007-10-01,"2007 October","1 Bedroom",5107,"Rms","Rental Universe"
"24442",2007-10-01,"2007 October","2 Bedroom",7453,"Rms","Rental Universe"
"24442",2007-10-01,"2007 October","3 Bedroom +",3465,"Rms","Rental Universe"
"24442",2007-10-01,"2007 October","Total",17267,"Rms","Rental Universe"
"24442",2008-10-01,"2008 October","Studio",720,"Rms","Rental Universe"
"24442",2008-10-01,"2008 October","1 Bedroom",4328,"Rms","Rental Universe"
"24442",2008-10-01,"2008 October","2 Bedroom",7469,"Rms","Rental Universe"
"24442",2008-10-01,"2008 October","3 Bedroom +",3454,"Rms","Rental Universe"
"24442",2008-10-01,"2008 October","Total",15971,"Rms","Rental Universe"
"24442",2009-10-01,"2009 October","Studio",692,"Rms","Rental Universe"
"24442",2009-10-01,"2009 October","1 Bedroom",4322,"Rms","Rental Universe"
"24442",2009-10-01,"2009 October","2 Bedroom",7773,"Rms","Rental Universe"
"24442",2009-10-01,"2009 October","3 Bedroom +",3540,"Rms","Rental Universe"
"24442",2009-10-01,"2009 October","Total",16327,"Rms","Rental Universe"
"24442",2010-10-01,"2010 October","Studio",692,"Rms","Rental Universe"
"24442",2010-10-01,"2010 October","1 Bedroom",4376,"Rms","Rental Universe"
"24442",2010-10-01,"2010 October","2 Bedroom",8054,"Rms","Rental Universe"
"24442",2010-10-01,"2010 October","3 Bedroom +",3645,"Rms","Rental Universe"
"24442",2010-10-01,"2010 October","Total",16767,"Rms","Rental Universe"
"24442",2011-10-01,"2011 October","Studio",659,"Rms","Rental Universe"
"24442",2011-10-01,"2011 October","1 Bedroom",4443,"Rms","Rental Universe"
"24442",2011-10-01,"2011 October","2 Bedroom",8141,"Rms","Rental Universe"
"24442",2011-10-01,"2011 October","3 Bedroom +",3762,"Rms","Rental Universe"
"24442",2011-10-01,"2011 October","Total",17005,"Rms","Rental Universe"
"24442",2012-10-01,"2012 October","Studio",657,"Rms","Rental Universe"
"24442",2012-10-01,"2012 October","1 Bedroom",4471,"Rms","Rental Universe"
"24442",2012-10-01,"2012 October","2 Bedroom",8293,"Rms","Rental Universe"
"24442",2012-10-01,"2012 October","3 Bedroom +",3848,"Rms","Rental Universe"
"24442",2012-10-01,"2012 October","Total",17269,"Rms","Rental Universe"
"24442",2013-10-01,"2013 October","Studio",643,"Rms","Rental Universe"
"24442",2013-10-01,"2013 October","1 Bedroom",4464,"Rms","Rental Universe"
"24442",2013-10-01,"2013 October","2 Bedroom",8380,"Rms","Rental Universe"
"24442",2013-10-01,"2013 October","3 Bedroom +",3877,"Rms","Rental Universe"
"24442",2013-10-01,"2013 October","Total",17364,"Rms","Rental Universe"
"24442",2014-10-01,"2014 October","Studio",656,"Rms","Rental Universe"
"24442",2014-10-01,"2014 October","1 Bedroom",4526,"Rms","Rental Universe"
"24442",2014-10-01,"2014 October","2 Bedroom",8514,"Rms","Rental Universe"
"24442",2014-10-01,"2014 October","3 Bedroom +",3971,"Rms","Rental Universe"
"24442",2014-10-01,"2014 October","Total",17667,"Rms","Rental Universe"
"24442",2015-10-01,"2015 October","Studio",664,"Rms","Rental Universe"
"24442",2015-10-01,"2015 October","1 Bedroom",4654,"Rms","Rental Universe"
"24442",2015-10-01,"2015 October","2 Bedroom",8752,"Rms","Rental Universe"
"24442",2015-10-01,"2015 October","3 Bedroom +",4043,"Rms","Rental Universe"
"24442",2015-10-01,"2015 October","Total",18113,"Rms","Rental Universe"
"24442",2016-10-01,"2016 October","Studio",654,"Rms","Rental Universe"
"24442",2016-10-01,"2016 October","1 Bedroom",4687,"Rms","Rental Universe"
"24442",2016-10-01,"2016 October","2 Bedroom",8931,"Rms","Rental Universe"
"24442",2016-10-01,"2016 October","3 Bedroom +",4079,"Rms","Rental Universe"
"24442",2016-10-01,"2016 October","Total",18351,"Rms","Rental Universe"
"24442",2017-10-01,"2017 October","Studio",652,"Rms","Rental Universe"
"24442",2017-10-01,"2017 October","1 Bedroom",4697,"Rms","Rental Universe"
"24442",2017-10-01,"2017 October","2 Bedroom",9005,"Rms","Rental Universe"
"24442",2017-10-01,"2017 October","3 Bedroom +",4111,"Rms","Rental Universe"
"24442",2017-10-01,"2017 October","Total",18465,"Rms","Rental Universe"
"24442",2018-10-01,"2018 October","Studio",622,"Rms","Rental Universe"
"24442",2018-10-01,"2018 October","1 Bedroom",4753,"Rms","Rental Universe"
"24442",2018-10-01,"2018 October","2 Bedroom",9064,"Rms","Rental Universe"
"24442",2018-10-01,"2018 October","3 Bedroom +",4174,"Rms","Rental Universe"
"24442",2018-10-01,"2018 October","Total",18613,"Rms","Rental Universe"
"24442",2019-10-01,"2019 October","Studio",618,"Rms","Rental Universe"
"24442",2019-10-01,"2019 October","1 Bedroom",4811,"Rms","Rental Universe"
"24442",2019-10-01,"2019 October","2 Bedroom",9226,"Rms","Rental Universe"
"24442",2019-10-01,"2019 October","3 Bedroom +",4234,"Rms","Rental Universe"
"24442",2019-10-01,"2019 October","Total",18889,"Rms","Rental Universe"
"24442",2020-10-01,"2020 October","Studio",654,"Rms","Rental Universe"
"24442",2020-10-01,"2020 October","1 Bedroom",4826,"Rms","Rental Universe"
"24442",2020-10-01,"2020 October","2 Bedroom",9393,"Rms","Rental Universe"
"24442",2020-10-01,"2020 October","3 Bedroom +",4281,"Rms","Rental Universe"
"24442",2020-10-01,"2020 October","Total",19154,"Rms","Rental Universe"
"24442",2021-10-01,"2021 October","Studio",662,"Rms","Rental Universe"
"24442",2021-10-01,"2021 October","1 Bedroom",4824,"Rms","Rental Universe"
"24442",2021-10-01,"2021 October","2 Bedroom",9564,"Rms","Rental Universe"
"24442",2021-10-01,"2021 October","3 Bedroom +",4294,"Rms","Rental Universe"
"24442",2021-10-01,"2021 October","Total",19344,"Rms","Rental Universe"
"24442",2022-10-01,"2022 October","Studio",653,"Rms","Rental Universe"
"24442",2022-10-01,"2022 October","1 Bedroom",4841,"Rms","Rental Universe"
"24442",2022-10-01,"2022 October","2 Bedroom",9863,"Rms","Rental Universe"
"24442",2022-10-01,"2022 October","3 Bedroom +",4337,"Rms","Rental Universe"
"24442",2022-10-01,"2022 October","Total",19694,"Rms","Rental Universe"
"24442",2023-10-01,"2023 October","Studio",638,"Rms","Rental Universe"
"24442",2023-10-01,"2023 October","1 Bedroom",4868,"Rms","Rental Universe"
"24442",2023-10-01,"2023 October","2 Bedroom",9963,"Rms","Rental Universe"
"24442",2023-10-01,"2023 October","3 Bedroom +",4353,"Rms","Rental Universe"
"24442",2023-10-01,"2023 October","Total",19822,"Rms","Rental Universe"
"24442",2024-10-01,"2024 October","Studio",678,"Rms","Rental Universe"
"24442",2024-10-01,"2024 October","1 Bedroom",5033,"Rms","Rental Universe"
"24442",2024-10-01,"2024 October","2 Bedroom",10852,"Rms","Rental Universe"
"24442",2024-10-01,"2024 October","3 Bedroom +",4491,"Rms","Rental Universe"
"24442",2024-10-01,"2024 October","Total",21054,"Rms","Rental Universe"
"24442",2025-10-01,"2025 October","Studio",756,"Rms","Rental Universe"
"24442",2025-10-01,"2025 October","1 Bedroom",5604,"Rms","Rental Universe"
"24442",2025-10-01,"2025 October","2 Bedroom",11402,"Rms","Rental Universe"
"24442",2025-10-01,"2025 October","3 Bedroom +",4950,"Rms","Rental Universe"
"24442",2025-10-01,"2025 October","Total",22712,"Rms","Rental Universe"
