"GeoUID","Date","DateString","Bedroom Type","Value","Survey","Series"
"35550",1990-10-01,"1990 October","Studio",249,"Rms","Rental Universe"
"35550",1990-10-01,"1990 October","1 Bedroom",2284,"Rms","Rental Universe"
"35550",1990-10-01,"1990 October","2 Bedroom",4251,"Rms","Rental Universe"
"35550",1990-10-01,"1990 October","3 Bedroom +",1026,"Rms","Rental Universe"
"35550",1990-10-01,"1990 October","Total",7810,"Rms","Rental Universe"
"35550",1991-10-01,"1991 October","Studio",252,"Rms","Rental Universe"
"35550",1991-10-01,"1991 October","1 Bedroom",2316,"Rms","Rental Universe"
"35550",1991-10-01,"1991 October","2 Bedroom",4364,"Rms","Rental Universe"
"35550",1991-10-01,"1991 October","3 Bedroom +",1094,"Rms","Rental Universe"
"35550",1991-10-01,"1991 October","Total",8026,"Rms","Rental Universe"
"35550",1992-10-01,"1992 October","Studio",269,"Rms","Rental Universe"
"35550",1992-10-01,"1992 October","1 Bedroom",2317,"Rms","Rental Universe"
"35550",1992-10-01,"1992 October","2 Bedroom",4323,"Rms","Rental Universe"
"35550",1992-10-01,"1992 October","3 Bedroom +",1114,"Rms","Rental Universe"
"35550",1992-10-01,"1992 October","Total",8023,"Rms","Rental Universe"
"35550",1993-10-01,"1993 October","Studio",273,"Rms","Rental Universe"
"35550",1993-10-01,"1993 October","1 Bedroom",2291,"Rms","Rental Universe"
"35550",1993-10-01,"1993 October","2 Bedroom",4319,"Rms","Rental Universe"
"35550",1993-10-01,"1993 October","3 Bedroom +",1118,"Rms","Rental Universe"
"35550",1993-10-01,"1993 October","Total",8001,"Rms","Rental Universe"
"35550",1994-10-01,"1994 October","Studio",264,"Rms","Rental Universe"
"35550",1994-10-01,"1994 October","1 Bedroom",2292,"Rms","Rental Universe"
"35550",1994-10-01,"1994 October","2 Bedroom",4323,"Rms","Rental Universe"
"35550",1994-10-01,"1994 October","3 Bedroom +",1121,"Rms","Rental Universe"
"35550",1994-10-01,"1994 October","Total",8000,"Rms","Rental Universe"
"35550",1995-10-01,"1995 October","Studio",258,"Rms","Rental Universe"
"35550",1995-10-01,"1995 October","1 Bedroom",2274,"Rms","Rental Universe"
"35550",1995-10-01,"1995 October","2 Bedroom",4321,"Rms","Rental Universe"
"35550",1995-10-01,"1995 October","3 Bedroom +",1111,"Rms","Rental Universe"
"35550",1995-10-01,"1995 October","Total",7964,"Rms","Rental Universe"
"35550",1996-10-01,"1996 October","Studio",260,"Rms","Rental Universe"
"35550",1996-10-01,"1996 October","1 Bedroom",2272,"Rms","Rental Universe"
"35550",1996-10-01,"1996 October","2 Bedroom",4267,"Rms","Rental Universe"
"35550",1996-10-01,"1996 October","3 Bedroom +",1035,"Rms","Rental Universe"
"35550",1996-10-01,"1996 October","Total",7834,"Rms","Rental Universe"
"35550",1997-10-01,"1997 October","Studio",259,"Rms","Rental Universe"
"35550",1997-10-01,"1997 October","1 Bedroom",2272,"Rms","Rental Universe"
"35550",1997-10-01,"1997 October","2 Bedroom",4235,"Rms","Rental Universe"
"35550",1997-10-01,"1997 October","3 Bedroom +",987,"Rms","Rental Universe"
"35550",1997-10-01,"1997 October","Total",7753,"Rms","Rental Universe"
"35550",1998-10-01,"1998 October","Studio",207,"Rms","Rental Universe"
"35550",1998-10-01,"1998 October","1 Bedroom",2281,"Rms","Rental Universe"
"35550",1998-10-01,"1998 October","2 Bedroom",4213,"Rms","Rental Universe"
"35550",1998-10-01,"1998 October","3 Bedroom +",956,"Rms","Rental Universe"
"35550",1998-10-01,"1998 October","Total",7657,"Rms","Rental Universe"
"35550",1999-10-01,"1999 October","Studio",259,"Rms","Rental Universe"
"35550",1999-10-01,"1999 October","1 Bedroom",2272,"Rms","Rental Universe"
"35550",1999-10-01,"1999 October","2 Bedroom",4193,"Rms","Rental Universe"
"35550",1999-10-01,"1999 October","3 Bedroom +",964,"Rms","Rental Universe"
"35550",1999-10-01,"1999 October","Total",7688,"Rms","Rental Universe"
"35550",2000-10-01,"2000 October","Studio",264,"Rms","Rental Universe"
"35550",2000-10-01,"2000 October","1 Bedroom",2248,"Rms","Rental Universe"
"35550",2000-10-01,"2000 October","2 Bedroom",4165,"Rms","Rental Universe"
"35550",2000-10-01,"2000 October","3 Bedroom +",997,"Rms","Rental Universe"
"35550",2000-10-01,"2000 October","Total",7674,"Rms","Rental Universe"
"35550",2001-10-01,"2001 October","Studio",263,"Rms","Rental Universe"
"35550",2001-10-01,"2001 October","1 Bedroom",2252,"Rms","Rental Universe"
"35550",2001-10-01,"2001 October","2 Bedroom",4161,"Rms","Rental Universe"
"35550",2001-10-01,"2001 October","3 Bedroom +",1015,"Rms","Rental Universe"
"35550",2001-10-01,"2001 October","Total",7691,"Rms","Rental Universe"
"35550",2002-10-01,"2002 October","Studio",263,"Rms","Rental Universe"
"35550",2002-10-01,"2002 October","1 Bedroom",2266,"Rms","Rental Universe"
"35550",2002-10-01,"2002 October","2 Bedroom",4245,"Rms","Rental Universe"
"35550",2002-10-01,"2002 October","3 Bedroom +",936,"Rms","Rental Universe"
"35550",2002-10-01,"2002 October","Total",7710,"Rms","Rental Universe"
"35550",2003-10-01,"2003 October","Studio",261,"Rms","Rental Universe"
"35550",2003-10-01,"2003 October","1 Bedroom",2256,"Rms","Rental Universe"
"35550",2003-10-01,"2003 October","2 Bedroom",4206,"Rms","Rental Universe"
"35550",2003-10-01,"2003 October","3 Bedroom +",919,"Rms","Rental Universe"
"35550",2003-10-01,"2003 October","Total",7642,"Rms","Rental Universe"
"35550",2004-10-01,"2004 October","Studio",252,"Rms","Rental Universe"
"35550",2004-10-01,"2004 October","1 Bedroom",2247,"Rms","Rental Universe"
"35550",2004-10-01,"2004 October","2 Bedroom",4238,"Rms","Rental Universe"
"35550",2004-10-01,"2004 October","3 Bedroom +",970,"Rms","Rental Universe"
"35550",2004-10-01,"2004 October","Total",7707,"Rms","Rental Universe"
"35550",2005-10-01,"2005 October","Studio",259,"Rms","Rental Universe"
"35550",2005-10-01,"2005 October","1 Bedroom",2232,"Rms","Rental Universe"
"35550",2005-10-01,"2005 October","2 Bedroom",4127,"Rms","Rental Universe"
"35550",2005-10-01,"2005 October","3 Bedroom +",1028,"Rms","Rental Universe"
"35550",2005-10-01,"2005 October","Total",7646,"Rms","Rental Universe"
"35550",2006-10-01,"2006 October","Studio",213,"Rms","Rental Universe"
"35550",2006-10-01,"2006 October","1 Bedroom",2222,"Rms","Rental Universe"
"35550",2006-10-01,"2006 October","2 Bedroom",4123,"Rms","Rental Universe"
"35550",2006-10-01,"2006 October","3 Bedroom +",1104,"Rms","Rental Universe"
"35550",2006-10-01,"2006 October","Total",7662,"Rms","Rental Universe"
"35550",2007-10-01,"2007 October","Studio",220,"Rms","Rental Universe"
"35550",2007-10-01,"2007 October","1 Bedroom",2263,"Rms","Rental Universe"
"35550",2007-10-01,"2007 October","2 Bedroom",4128,"Rms","Rental Universe"
"35550",2007-10-01,"2007 October","3 Bedroom +",966,"Rms","Rental Universe"
"35550",2007-10-01,"2007 October","Total",7577,"Rms","Rental Universe"
"35550",2008-10-01,"2008 October","Studio",217,"Rms","Rental Universe"
"35550",2008-10-01,"2008 October","1 Bedroom",2261,"Rms","Rental Universe"
"35550",2008-10-01,"2008 October","2 Bedroom",4126,"Rms","Rental Universe"
