"GeoUID","Date","DateString","Bedroom Type","Value","Survey","Series"
"59930",2004-10-01,"2004 October","1 Bedroom",1358,"Rms","Rental Universe"
"59930",2004-10-01,"2004 October","2 Bedroom",1254,"Rms","Rental Universe"
"59930",2004-10-01,"2004 October","3 Bedroom +",125,"Rms","Rental Universe"
"59930",2004-10-01,"2004 October","Total",2839,"Rms","Rental Universe"
"59930",2005-10-01,"2005 October","Studio",103,"Rms","Rental Universe"
"59930",2005-10-01,"2005 October","1 Bedroom",1358,"Rms","Rental Universe"
"59930",2005-10-01,"2005 October","2 Bedroom",1286,"Rms","Rental Universe"
"59930",2005-10-01,"2005 October","3 Bedroom +",137,"Rms","Rental Universe"
"59930",2005-10-01,"2005 October","Total",2884,"Rms","Rental Universe"
"59930",2006-10-01,"2006 October","Studio",103,"Rms","Rental Universe"
"59930",2006-10-01,"2006 October","1 Bedroom",1379,"Rms","Rental Universe"
"59930",2006-10-01,"2006 October","2 Bedroom",1313,"Rms","Rental Universe"
"59930",2006-10-01,"2006 October","3 Bedroom +",148,"Rms","Rental Universe"
"59930",2006-10-01,"2006 October","Total",2943,"Rms","Rental Universe"
"59930",2007-10-01,"2007 October","Studio",89,"Rms","Rental Universe"
"59930",2007-10-01,"2007 October","1 Bedroom",1306,"Rms","Rental Universe"
"59930",2007-10-01,"2007 October","2 Bedroom",1276,"Rms","Rental Universe"
"59930",2007-10-01,"2007 October","3 Bedroom +",136,"Rms","Rental Universe"
"59930",2007-10-01,"2007 October","Total",2807,"Rms","Rental Universe"
"59930",2008-10-01,"2008 October","Studio",96,"Rms","Rental Universe"
"59930",2008-10-01,"2008 October","1 Bedroom",1333,"Rms","Rental Universe"
"59930",2008-10-01,"2008 October","2 Bedroom",1282,"Rms","Rental Universe"
"59930",2008-10-01,"2008 October","3 Bedroom +",118,"Rms","Rental Universe"
"59930",2008-10-01,"2008 October","Total",2829,"Rms","Rental Universe"
"59930",2009-10-01,"2009 October","Studio",102,"Rms","Rental Universe"
"59930",2009-10-01,"2009 October","1 Bedroom",1418,"Rms","Rental Universe"
"59930",2009-10-01,"2009 October","2 Bedroom",1274,"Rms","Rental Universe"
"59930",2009-10-01,"2009 October","3 Bedroom +",112,"Rms","Rental Universe"
"59930",2009-10-01,"2009 October","Total",2906,"Rms","Rental Universe"
"59930",2010-10-01,"2010 October","Studio",111,"Rms","Rental Universe"
"59930",2010-10-01,"2010 October","1 Bedroom",1453,"Rms","Rental Universe"
"59930",2010-10-01,"2010 October","2 Bedroom",1298,"Rms","Rental Universe"
"59930",2010-10-01,"2010 October","3 Bedroom +",123,"Rms","Rental Universe"
"59930",2010-10-01,"2010 October","Total",2985,"Rms","Rental Universe"
"59930",2011-10-01,"2011 October","Studio",111,"Rms","Rental Universe"
"59930",2011-10-01,"2011 October","1 Bedroom",1471,"Rms","Rental Universe"
"59930",2011-10-01,"2011 October","2 Bedroom",1315,"Rms","Rental Universe"
"59930",2011-10-01,"2011 October","3 Bedroom +",112,"Rms","Rental Universe"
"59930",2011-10-01,"2011 October","Total",3009,"Rms","Rental Universe"
"59930",2012-10-01,"2012 October","Studio",113,"Rms","Rental Universe"
"59930",2012-10-01,"2012 October","1 Bedroom",1492,"Rms","Rental Universe"
"59930",2012-10-01,"2012 October","2 Bedroom",1317,"Rms","Rental Universe"
"59930",2012-10-01,"2012 October","3 Bedroom +",129,"Rms","Rental Universe"
"59930",2012-10-01,"2012 October","Total",3051,"Rms","Rental Universe"
"59930",2013-10-01,"2013 October","Studio",110,"Rms","Rental Universe"
"59930",2013-10-01,"2013 October","1 Bedroom",1498,"Rms","Rental Universe"
"59930",2013-10-01,"2013 October","2 Bedroom",1300,"Rms","Rental Universe"
"59930",2013-10-01,"2013 October","3 Bedroom +",138,"Rms","Rental Universe"
"59930",2013-10-01,"2013 October","Total",3046,"Rms","Rental Universe"
"59930",2014-10-01,"2014 October","Studio",115,"Rms","Rental Universe"
"59930",2014-10-01,"2014 October","1 Bedroom",1501,"Rms","Rental Universe"
"59930",2014-10-01,"2014 October","2 Bedroom",1324,"Rms","Rental Universe"
"59930",2014-10-01,"2014 October","3 Bedroom +",137,"Rms","Rental Universe"
"59930",2014-10-01,"2014 October","Total",3077,"Rms","Rental Universe"
"59930",2015-10-01,"2015 October","Studio",136,"Rms","Rental Universe"
"59930",2015-10-01,"2015 October","1 Bedroom",1532,"Rms","Rental Universe"
"59930",2015-10-01,"2015 October","2 Bedroom",1335,"Rms","Rental Universe"
"59930",2015-10-01,"2015 October","3 Bedroom +",132,"Rms","Rental Universe"
"59930",2015-10-01,"2015 October","Total",3135,"Rms","Rental Universe"
"59930",2016-10-01,"2016 October","Studio",149,"Rms","Rental Universe"
"59930",2016-10-01,"2016 October","1 Bedroom",1549,"Rms","Rental Universe"
"59930",2016-10-01,"2016 October","2 Bedroom",1357,"Rms","Rental Universe"
"59930",2016-10-01,"2016 October","3 Bedroom +",135,"Rms","Rental Universe"
"59930",2016-10-01,"2016 October","Total",3190,"Rms","Rental Universe"
"59930",2017-10-01,"2017 October","Studio",138,"Rms","Rental Universe"
"59930",2017-10-01,"2017 October","1 Bedroom",1594,"Rms","Rental Universe"
"59930",2017-10-01,"2017 October","2 Bedroom",1409,"Rms","Rental Universe"
"59930",2017-10-01,"2017 October","3 Bedroom +",135,"Rms","Rental Universe"
"59930",2017-10-01,"2017 October","Total",3276,"Rms","Rental Universe"
"59930",2018-10-01,"2018 October","Studio",128,"Rms","Rental Universe"
"59930",2018-10-01,"2018 October","1 Bedroom",1575,"Rms","Rental Universe"
"59930",2018-10-01,"2018 October","2 Bedroom",1516,"Rms","Rental Universe"
"59930",2018-10-01,"2018 October","3 Bedroom +",135,"Rms","Rental Universe"
"59930",2018-10-01,"2018 October","Total",3354,"Rms","Rental Universe"
"59930",2019-10-01,"2019 October","Studio",134,"Rms","Rental Universe"
"59930",2019-10-01,"2019 October","1 Bedroom",1639,"Rms","Rental Universe"
"59930",2019-10-01,"2019 October","2 Bedroom",1452,"Rms","Rental Universe"
"59930",2019-10-01,"2019 October","3 Bedroom +",133,"Rms","Rental Universe"
"59930",2019-10-01,"2019 October","Total",3358,"Rms","Rental Universe"
"59930",2020-10-01,"2020 October","Studio",137,"Rms","Rental Universe"
"59930",2020-10-01,"2020 October","1 Bedroom",1641,"Rms","Rental Universe"
"59930",2020-10-01,"2020 October","2 Bedroom",1475,"Rms","Rental Universe"
"59930",2020-10-01,"2020 October","3 Bedroom +",159,"Rms","Rental Universe"
"59930",2020-10-01,"2020 October","Total",3412,"Rms","Rental Universe"
"59930",2021-10-01,"2021 October","Studio",139,"Rms","Rental Universe"
"59930",2021-10-01,"2021 October","1 Bedroom",1748,"Rms","Rental Universe"
"59930",2021-10-01,"2021 October","2 Bedroom",1736,"Rms","Rental Universe"
"59930",2021-10-01,"2021 October","3 Bedroom +",152,"Rms","Rental Universe"
"59930",2021-10-01,"2021 October","Total",3775,"Rms","Rental Universe"
"59930",2022-10-01,"2022 October","Studio",151,"Rms","Rental Universe"
"59930",2022-10-01,"2022 October","1 Bedroom",1863,"Rms","Rental Universe"
"59930",2022-10-01,"2022 October","2 Bedroom",1663,"Rms","Rental Universe"
