"GeoUID","Date","DateString","Age of Primary Household Maintainer","Value","Survey","Series"
"35567",2006-07-01,"2006","15 - 24",120,"Census","Mobility 1 of All Households"
"35567",2006-07-01,"2006","25 - 34",235,"Census","Mobility 1 of All Households"
"35567",2006-07-01,"2006","35 - 44",180,"Census","Mobility 1 of All Households"
"35567",2006-07-01,"2006","45 - 54",145,"Census","Mobility 1 of All Households"
"35567",2006-07-01,"2006","55 - 64",175,"Census","Mobility 1 of All Households"
"35567",2006-07-01,"2006","Total 65+",185,"Census","Mobility 1 of All Households"
"35567",2006-07-01,"2006","Total",1040,"Census","Mobility 1 of All Households"
"35567",2011-07-01,"2011","15 - 24",85,"Census","Mobility 1 of All Households"
"35567",2011-07-01,"2011","25 - 34",210,"Census","Mobility 1 of All Households"
"35567",2011-07-01,"2011","35 - 44",200,"Census","Mobility 1 of All Households"
"35567",2011-07-01,"2011","45 - 54",165,"Census","Mobility 1 of All Households"
"35567",2011-07-01,"2011","55 - 64",225,"Census","Mobility 1 of All Households"
"35567",2011-07-01,"2011","Total 65+",410,"Census","Mobility 1 of All Households"
"35567",2011-07-01,"2011","Total",1295,"Census","Mobility 1 of All Households"
"35567",2016-07-01,"2016","15 - 24",95,"Census","Mobility 1 of All Households"
"35567",2016-07-01,"2016","25 - 34",275,"Census","Mobility 1 of All Households"
"35567",2016-07-01,"2016","35 - 44",245,"Census","Mobility 1 of All Households"
"35567",2016-07-01,"2016","45 - 54",215,"Census","Mobility 1 of All Households"
"35567",2016-07-01,"2016","55 - 64",260,"Census","Mobility 1 of All Households"
"35567",2016-07-01,"2016","Total 65+",275,"Census","Mobility 1 of All Households"
"35567",2016-07-01,"2016","Total",1365,"Census","Mobility 1 of All Households"
"35567",2021-07-01,"2021","15 - 24",65,"Census","Mobility 1 of All Households"
"35567",2021-07-01,"2021","25 - 34",345,"Census","Mobility 1 of All Households"
"35567",2021-07-01,"2021","35 - 44",285,"Census","Mobility 1 of All Households"
"35567",2021-07-01,"2021","45 - 54",180,"Census","Mobility 1 of All Households"
"35567",2021-07-01,"2021","55 - 64",270,"Census","Mobility 1 of All Households"
"35567",2021-07-01,"2021","Total 65+",380,"Census","Mobility 1 of All Households"
"35567",2021-07-01,"2021","Total",1530,"Census","Mobility 1 of All Households"
