Vancouver — Historical Absorbed Homeowner and Condominium Units by Dwelling Type  
January 1990 to March 2024 Condo
,Single,Semi-Detached,Row,Apartment,All,
Aug 1999,4,21,75,444,544,
Sep 1999,7,7,86,"1,268","1,368",
Oct 1999,3,13,82,320,418,
Nov 1999,2,28,113,287,430,
Dec 1999,5,12,58,320,395,
Jan 2000,1,6,73,586,666,
Feb 2000,5,15,83,304,407,
Mar 2000,1,16,60,232,309,
Apr 2000,1,10,56,673,740,
May 2000,0,16,69,290,375,
Jun 2000,4,4,61,272,341,
Jul 2000,0,7,63,347,417,
Aug 2000,4,22,72,240,338,
Sep 2000,3,15,118,184,320,
Oct 2000,2,5,92,154,253,
Nov 2000,12,27,83,178,300,
Dec 2000,8,12,79,204,303,
Jan 2001,12,24,163,220,419,
Feb 2001,4,15,96,222,337,
Mar 2001,2,21,136,174,333,
Apr 2001,3,36,107,237,383,
May 2001,2,27,101,264,394,
Jun 2001,5,21,115,231,372,
Jul 2001,4,9,103,278,394,
Aug 2001,11,2,156,230,399,
Sep 2001,2,25,74,318,419,
Oct 2001,1,14,75,320,410,
Nov 2001,41,14,77,186,318,
Dec 2001,4,3,71,80,158,
Jan 2002,8,11,90,540,649,
Feb 2002,34,45,151,436,666,
Mar 2002,5,9,93,200,307,
Apr 2002,17,40,100,142,299,
May 2002,7,30,141,176,354,
Jun 2002,7,8,57,175,247,
Jul 2002,9,13,86,90,198,
Aug 2002,35,22,94,167,318,
Sep 2002,24,22,118,393,557,
Oct 2002,2,17,64,551,634,
Nov 2002,2,28,105,138,273,
Dec 2002,3,21,171,330,525,
Jan 2003,12,21,117,231,381,
Feb 2003,8,11,125,117,261,
Mar 2003,4,23,96,71,194,
Apr 2003,13,16,139,261,429,
May 2003,17,46,209,649,921,
Jun 2003,25,35,191,126,377,
Jul 2003,57,5,190,582,834,
Aug 2003,23,13,129,402,567,
Sep 2003,18,20,280,319,637,
Oct 2003,34,20,259,519,832,
Nov 2003,20,26,126,69,241,
Dec 2003,4,11,146,497,658,
Jan 2004,29,11,195,505,740,
Feb 2004,44,16,141,421,622,
Mar 2004,13,5,137,333,488,
Apr 2004,15,30,225,287,557,
May 2004,22,25,253,317,617,
Jun 2004,2,60,260,445,767,
Jul 2004,35,42,179,278,534,
Aug 2004,21,50,190,789,"1,050",
Sep 2004,58,17,180,83,338,
Oct 2004,24,37,161,223,445,
Nov 2004,14,24,155,275,468,
Dec 2004,14,45,292,643,994,
Jan 2005,0,16,157,618,791,
Feb 2005,8,38,181,552,779,
Mar 2005,11,25,332,509,877,
Apr 2005,41,39,179,"1,477","1,736",
May 2005,10,27,244,812,"1,093",
Jun 2005,22,75,271,293,661,
Jul 2005,9,44,325,317,695,
Aug 2005,49,55,315,139,558,
Sep 2005,23,24,201,595,843,
Oct 2005,32,61,425,766,"1,284",
Nov 2005,13,10,165,101,289,
Dec 2005,45,23,332,410,810,
Jan 2006,10,72,258,117,457,
Feb 2006,19,54,466,"2,664","3,203",
Mar 2006,17,15,308,76,416,
Apr 2006,26,56,240,715,"1,037",
May 2006,20,6,250,579,855,
Jun 2006,50,33,368,437,888,
Jul 2006,6,11,178,785,980,
Aug 2006,7,53,119,595,774,
Sep 2006,7,29,130,432,598,
Oct 2006,5,28,229,406,668,
Nov 2006,6,12,169,522,709,
Dec 2006,7,29,184,771,991,
Jan 2007,0,26,169,"1,269","1,464",
Feb 2007,14,13,180,723,930,
Mar 2007,0,13,144,590,747,
Apr 2007,5,16,187,719,927,
May 2007,1,41,433,"1,311","1,786",
Jun 2007,2,3,195,576,776,
Jul 2007,1,28,227,623,879,
Aug 2007,3,19,286,577,885,
Sep 2007,1,43,201,799,"1,044",
Oct 2007,6,11,191,521,729,
Nov 2007,10,44,308,482,844,
Dec 2007,7,42,275,579,903,
Jan 2008,0,8,121,252,381,
