Montréal — Historical Absorbed Homeowner and Condominium Units by Dwelling Type  
January 1998 to March 2024 Intended Markets - All
,Single,Semi-Detached,Row,Apartment,All,
Jan 1998,211,24,24,42,301,
Feb 1998,199,27,39,69,334,
Mar 1998,120,9,25,62,216,
Apr 1998,178,38,36,77,329,
May 1998,309,46,54,102,511,
Jun 1998,826,138,128,203,"1,295",
Jul 1998,"1,667",337,236,566,"2,806",
Aug 1998,443,87,94,248,872,
Sep 1998,377,45,82,152,656,
Oct 1998,425,40,58,148,671,
Nov 1998,410,48,75,105,638,
Dec 1998,355,30,56,128,569,
Jan 1999,290,39,48,170,547,
Feb 1999,154,25,24,104,307,
Mar 1999,139,24,27,79,269,
Apr 1999,267,26,19,102,414,
May 1999,492,101,43,105,741,
Jun 1999,"1,064",135,103,331,"1,633",
Jul 1999,"1,660",184,237,634,"2,715",
Aug 1999,546,60,23,98,727,
Sep 1999,607,116,116,361,"1,200",
Oct 1999,539,50,109,190,888,
Nov 1999,400,57,57,169,683,
Dec 1999,383,43,30,80,536,
Jan 2000,252,16,19,52,339,
Feb 2000,225,19,18,84,346,
Mar 2000,252,31,10,80,373,
Apr 2000,242,39,25,153,459,
May 2000,414,34,41,152,641,
Jun 2000,"1,048",66,93,219,"1,426",
Jul 2000,"1,647",167,223,587,"2,624",
Aug 2000,746,71,118,314,"1,249",
Sep 2000,562,45,38,147,792,
Oct 2000,497,55,70,201,823,
Nov 2000,446,51,93,160,750,
Dec 2000,329,9,19,56,413,
Jan 2001,278,18,15,46,357,
Feb 2001,322,38,46,114,520,
Mar 2001,242,13,13,40,308,
Apr 2001,429,40,28,74,571,
May 2001,572,49,77,168,866,
Jun 2001,"1,262",87,122,406,"1,877",
Jul 2001,"1,573",176,160,949,"2,858",
Aug 2001,527,54,111,186,878,
Sep 2001,574,68,80,407,"1,129",
Oct 2001,461,39,28,183,711,
Nov 2001,499,48,35,398,980,
Dec 2001,449,40,43,199,731,
Jan 2002,471,40,48,177,736,
Feb 2002,294,22,27,96,439,
Mar 2002,276,25,22,143,466,
Apr 2002,476,28,27,295,826,
May 2002,685,55,20,166,926,
Jun 2002,"1,486",112,127,476,"2,201",
Jul 2002,"1,250",94,155,643,"2,142",
Aug 2002,"1,670",141,121,609,"2,541",
Sep 2002,951,69,103,349,"1,472",
Oct 2002,742,56,23,166,987,
Nov 2002,839,68,33,298,"1,238",
Dec 2002,653,52,39,201,945,
Jan 2003,682,51,52,420,"1,205",
Feb 2003,390,26,43,226,685,
Mar 2003,400,33,31,161,625,
Apr 2003,525,46,41,215,827,
May 2003,753,40,37,460,"1,290",
Jun 2003,"1,385",100,85,647,"2,217",
Jul 2003,"2,173",247,109,717,"3,246",
Aug 2003,646,65,35,645,"1,391",
Sep 2003,"1,006",85,84,397,"1,572",
Oct 2003,859,72,69,487,"1,487",
Nov 2003,897,76,50,598,"1,621",
Dec 2003,732,67,22,319,"1,140",
Jan 2004,763,55,62,341,"1,221",
Feb 2004,440,28,24,325,817,
Mar 2004,505,47,22,232,806,
Apr 2004,645,68,22,254,989,
May 2004,908,102,17,193,"1,220",
Jun 2004,"1,347",114,44,614,"2,119",
Jul 2004,"1,855",224,90,"1,435","3,604",
Aug 2004,"1,025",154,60,899,"2,138",
Sep 2004,696,83,56,736,"1,571",
Oct 2004,995,88,48,609,"1,740",
Nov 2004,868,85,65,526,"1,544",
Dec 2004,844,113,43,948,"1,948",
Jan 2005,970,95,51,461,"1,577",
Feb 2005,581,60,34,354,"1,029",
Mar 2005,496,51,49,321,917,
Apr 2005,666,65,43,646,"1,420",
May 2005,697,66,66,671,"1,500",
Jun 2005,"1,257",123,96,782,"2,258",
Jul 2005,"1,786",230,148,"1,476","3,640",
Aug 2005,615,76,100,764,"1,555",
Sep 2005,850,105,74,819,"1,848",
Oct 2005,708,56,70,423,"1,257",
Nov 2005,727,64,54,675,"1,520",
Dec 2005,681,78,82,659,"1,500",
Jan 2006,660,61,54,422,"1,197",
Feb 2006,413,35,23,406,877,
Mar 2006,382,30,30,309,751,
Apr 2006,570,64,63,541,"1,238",
May 2006,673,74,40,494,"1,281",
Jun 2006,"1,056",140,82,698,"1,976",
Jul 2006,"1,291",146,123,843,"2,403",
Aug 2006,791,63,76,752,"1,682",
Sep 2006,674,66,60,601,"1,401",
Oct 2006,741,51,51,518,"1,361",
Nov 2006,713,65,58,706,"1,542",
Dec 2006,666,63,58,503,"1,290",
Jan 2007,459,18,44,791,"1,312",
Feb 2007,447,53,60,"1,560","2,120",
Mar 2007,405,44,64,804,"1,317",
Apr 2007,451,58,67,760,"1,336",
May 2007,673,35,39,728,"1,475",
Jun 2007,"1,195",113,66,"1,143","2,517",
Jul 2007,"1,377",156,113,"1,315","2,961",
Aug 2007,631,93,97,704,"1,525",
Sep 2007,640,62,72,467,"1,241",
Oct 2007,715,91,73,671,"1,550",
Nov 2007,666,57,88,616,"1,427",
Dec 2007,652,66,79,535,"1,332",
Jan 2008,441,46,53,367,907,
Feb 2008,414,40,90,438,982,
Mar 2008,433,35,58,586,"1,112",
Apr 2008,486,69,60,367,982,
May 2008,573,79,66,428,"1,146",
Jun 2008,904,132,173,728,"1,937",
Jul 2008,"1,225",193,161,956,"2,535",
Aug 2008,664,134,113,868,"1,779",
Sep 2008,621,61,91,639,"1,412",
Oct 2008,624,81,99,741,"1,545",
Nov 2008,615,66,103,765,"1,549",
Dec 2008,559,82,75,462,"1,178",
Jan 2009,432,49,80,475,"1,036",
Feb 2009,352,33,54,316,755,
Mar 2009,330,48,68,344,790,
Apr 2009,308,45,75,499,927,
May 2009,432,71,88,851,"1,442",
Jun 2009,591,100,111,712,"1,514",
Jul 2009,705,138,142,927,"1,912",
Aug 2009,464,110,106,"1,044","1,724",
Sep 2009,501,83,78,838,"1,500",
Oct 2009,489,104,107,619,"1,319",
Nov 2009,465,52,82,471,"1,070",
Dec 2009,491,91,80,564,"1,226",
Jan 2010,515,71,62,608,"1,256",
Feb 2010,286,46,54,474,860,
Mar 2010,327,49,63,280,719,
Apr 2010,405,72,71,475,"1,023",
May 2010,534,89,99,786,"1,508",
Jun 2010,784,152,127,951,"2,014",
Jul 2010,"1,003",188,176,"1,052","2,419",
Aug 2010,530,107,70,756,"1,463",
Sep 2010,545,83,73,876,"1,577",
Oct 2010,529,107,74,812,"1,522",
Nov 2010,427,65,79,492,"1,063",
Dec 2010,491,80,129,905,"1,605",
Jan 2011,410,106,31,308,855,
Feb 2011,307,59,73,416,855,
Mar 2011,288,63,47,621,"1,019",
Apr 2011,282,52,70,544,948,
May 2011,423,99,80,509,"1,111",
Jun 2011,523,159,130,"1,112","1,924",
Jul 2011,716,224,192,"1,061","2,193",
Aug 2011,544,143,75,"1,209","1,971",
Sep 2011,398,91,93,"1,029","1,611",
Oct 2011,387,76,69,766,"1,298",
Nov 2011,424,82,91,849,"1,446",
Dec 2011,383,90,92,"1,055","1,620",
Jan 2012,363,83,47,632,"1,125",
Feb 2012,285,65,43,508,901,
Mar 2012,263,48,68,527,906,
Apr 2012,354,81,71,641,"1,147",
May 2012,349,75,90,721,"1,235",
Jun 2012,477,135,109,"1,176","1,897",
Jul 2012,596,203,144,"1,778","2,721",
Aug 2012,446,121,47,"1,153","1,767",
Sep 2012,321,55,50,852,"1,278",
Oct 2012,335,89,66,762,"1,252",
Nov 2012,415,92,115,938,"1,560",
Dec 2012,318,66,93,"1,112","1,589",
Jan 2013,264,49,48,578,939,
Feb 2013,238,47,51,"1,048","1,384",
Mar 2013,175,38,46,404,663,
Apr 2013,246,46,61,591,944,
May 2013,284,50,50,879,"1,263",
Jun 2013,403,74,89,802,"1,368",
Jul 2013,416,104,127,958,"1,605",
Aug 2013,419,113,155,"1,209","1,896",
Sep 2013,287,67,66,881,"1,301",
Oct 2013,271,65,70,588,994,
Nov 2013,309,57,31,"1,156","1,553",
Dec 2013,258,84,30,507,879,
Jan 2014,282,49,35,565,931,
Feb 2014,191,53,21,622,887,
Mar 2014,143,24,8,492,667,
Apr 2014,197,51,75,622,945,
May 2014,212,54,61,978,"1,305",
Jun 2014,272,74,56,"1,342","1,744",
Jul 2014,551,168,95,"1,320","2,134",
Aug 2014,240,58,72,"1,302","1,672",
Sep 2014,285,71,88,"1,216","1,660",
Oct 2014,288,69,55,940,"1,352",
Nov 2014,236,47,39,695,"1,017",
Dec 2014,196,39,43,948,"1,226",
Jan 2015,203,47,37,544,831,
Feb 2015,180,26,52,363,621,
Mar 2015,112,25,46,466,649,
Apr 2015,164,43,43,327,577,
May 2015,190,43,51,382,666,
Jun 2015,226,88,75,820,"1,209",
Jul 2015,375,128,160,"1,049","1,712",
Aug 2015,245,62,161,644,"1,112",
Sep 2015,239,62,77,752,"1,130",
Oct 2015,272,34,74,570,950,
Nov 2015,304,86,75,"1,192","1,657",
Dec 2015,216,72,44,408,740,
Jan 2016,163,21,28,547,759,
Feb 2016,152,33,83,910,"1,178",
Mar 2016,135,49,49,388,621,
Apr 2016,129,54,90,262,535,
May 2016,185,58,72,677,992,
Jun 2016,327,94,117,"1,032","1,570",
Jul 2016,298,145,156,689,"1,288",
Aug 2016,244,80,110,476,910,
Sep 2016,219,53,116,583,971,
Oct 2016,232,62,71,947,"1,312",
Nov 2016,236,79,132,827,"1,274",
Dec 2016,250,72,75,342,739,
Jan 2017,157,33,73,172,435,
Feb 2017,155,51,88,462,756,
Mar 2017,181,36,56,319,592,
Apr 2017,192,52,94,628,966,
May 2017,172,56,95,802,"1,125",
Jun 2017,263,101,129,600,"1,093",
Jul 2017,309,143,222,954,"1,628",
Aug 2017,277,69,170,960,"1,476",
Sep 2017,260,74,98,541,973,
Oct 2017,229,71,100,534,934,
Nov 2017,256,53,83,706,"1,098",
Dec 2017,260,65,95,272,692,
Jan 2018,205,61,87,458,811,
Feb 2018,166,43,59,417,685,
Mar 2018,140,41,83,514,778,
Apr 2018,162,48,86,242,538,
May 2018,217,72,113,343,745,
Jun 2018,259,116,212,"1,043","1,630",
Jul 2018,304,141,261,"1,304","2,010",
Aug 2018,191,90,120,510,911,
Sep 2018,252,73,122,679,"1,126",
Oct 2018,220,63,86,361,730,
Nov 2018,246,60,117,"1,006","1,429",
Dec 2018,216,35,100,903,"1,254",
Jan 2019,149,45,56,453,703,
Feb 2019,167,33,58,361,619,
Mar 2019,141,34,97,219,491,
Apr 2019,136,52,82,578,848,
May 2019,161,39,92,281,573,
Jun 2019,257,80,124,629,"1,090",
Jul 2019,253,123,231,"1,067","1,674",
Aug 2019,238,91,140,569,"1,038",
Sep 2019,206,52,87,413,758,
Oct 2019,163,61,74,401,699,
Nov 2019,199,68,84,614,965,
Dec 2019,207,52,91,446,796,
Jan 2020,186,70,62,316,634,
Feb 2020,108,35,73,447,663,
Mar 2020,172,49,84,591,896,
Apr 2020,43,15,54,386,498,
May 2020,283,99,105,660,"1,147",
