"Saskatoon — Historical Average, Median and Price Percentiles for Absorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Single / Semi-detached
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1990 January,"80,000","105,000","125,000","150,000","115,000","116,775",19,
1990 February,"80,000","90,000","115,000","135,000","102,500","115,148",14,
1990 March,"85,000","93,000","122,000","155,000","100,000","116,079",28,
1990 April,"75,000","104,000","123,000","162,000","112,500","118,340",32,
1990 May,"82,000","90,000","106,000","138,000","90,000","109,652",21,
1990 June,"85,000","95,000","120,000","140,000","105,000","121,399",39,
1990 July,"90,000","112,000","123,000","135,000","120,000","120,330",30,
1990 August,"93,000","110,000","130,000","139,000","127,500","120,896",22,
1990 September,"85,000","100,000","122,000","148,000","107,500","115,308",26,
1990 October,"88,000","100,000","120,000","154,000","110,000","120,211",28,
1990 November,"95,000","115,000","126,000","146,000","120,000","128,652",21,
1990 December,**,**,**,**,**,"118,206",16,
1991 January,"88,000","113,000","138,000","162,000","127,500","131,435",23,
1991 February,"77,000","110,000","128,000","184,000","117,500","131,406",16,
1991 March,"72,000","93,000","112,000","133,000","100,000","101,681",14,
1991 April,**,**,**,**,**,"143,075",16,
1991 May,"110,000","131,000","153,000","200,000","137,500","156,491",23,
1991 June,**,**,**,**,**,"110,262",32,
1991 July,"105,000","125,000","142,000","156,000","130,000","132,825",21,
1991 August,"92,000","110,000","126,000","150,000","115,000","119,244",27,
1991 September,"95,000","110,000","128,000","144,000","120,000","124,972",25,
1991 October,"83,000","114,000","135,000","175,000","125,000","133,558",31,
1991 November,"70,000","70,000","105,000","130,000","100,000","106,262",22,
1991 December,"85,000","90,000","135,000","170,000","92,500","120,810",14,
1992 January,"65,000","95,000","115,000","165,000","105,000","116,572",25,
1992 February,**,**,**,**,**,"137,322",8,
1992 March,**,**,**,**,**,**,3,
1992 April,**,**,**,**,**,"126,482",6,
1992 May,**,**,**,**,**,"127,896",8,
1992 June,"99,000","120,000","140,000","160,000","132,500","133,539",40,
1992 July,"110,000","120,000","135,000","155,000","130,000","136,836",67,
1992 August,"80,000","106,000","124,000","142,000","115,000","118,871",50,
1992 September,"90,000","111,000","129,000","160,000","120,000","129,396",39,
1992 October,"80,000","100,000","132,000","150,000","120,000","122,156",28,
1992 November,"101,000","120,000","130,000","150,000","125,000","130,411",58,
1992 December,"105,000","124,000","137,000","176,000","127,500","136,606",38,
1993 January,"90,000","110,000","120,000","145,000","115,000","128,461",21,
1993 February,**,**,**,**,**,"148,510",14,
1993 March,**,**,**,**,**,"114,650",7,
1993 April,"115,000","125,000","140,000","165,000","132,500","136,577",29,
1993 May,"110,000","127,000","148,000","173,000","130,000","143,000",30,
1993 June,"115,000","135,000","170,000","185,000","147,500","152,900",25,
1993 July,"110,000","125,000","135,000","149,000","130,000","128,289",39,
1993 August,"100,000","120,000","140,000","155,000","135,000","139,035",67,
1993 September,"88,000","120,000","137,000","165,000","125,000","133,545",33,
1993 October,"110,000","130,000","160,000","180,000","147,500","142,682",29,
1993 November,"105,000","115,000","135,000","155,000","120,000","132,358",33,
1993 December,"95,000","118,000","141,000","196,000","127,500","142,173",23,
1994 January,"120,000","130,000","153,000","187,000","140,000","153,821",31,
1994 February,**,**,**,**,**,"125,819",14,
1994 March,"120,000","135,000","160,000","170,000","152,500","147,087",16,
1994 April,"97,000","116,000","146,000","169,000","120,000","130,997",19,
1994 May,**,**,**,**,**,"140,073",11,
1994 June,"90,000","125,000","135,000","150,000","135,000","123,211",24,
1994 July,"123,000","136,000","154,000","175,000","145,000","159,443",38,
1994 August,"104,000","125,000","140,000","155,000","135,000","132,829",45,
1994 September,"90,000","130,000","140,000","155,000","135,000","135,206",55,
1994 October,"106,000","132,000","145,000","160,000","135,000","143,495",56,
1994 November,"80,000","110,000","130,000","160,000","115,000","126,660",30,
1994 December,"109,000","130,000","140,000","154,000","140,000","142,521",25,
1995 January,"100,000","135,000","155,000","175,000","140,000","145,150",33,
1995 February,"94,000","120,000","125,000","165,000","122,500","132,769",20,
1995 March,"125,000","140,000","150,000","165,000","145,000","150,911",24,
1995 April,"114,000","150,000","185,000","213,000","155,000","168,175",27,
1995 May,"105,000","126,000","164,000","202,000","150,000","154,381",46,
1995 June,"93,000","120,000","155,000","178,000","150,000","140,246",26,
1995 July,"105,000","121,000","154,000","212,000","135,000","162,808",34,
1995 August,"92,000","113,000","126,000","150,000","120,000","128,044",55,
1995 September,"95,000","105,000","124,000","167,000","112,500","127,477",72,
1995 October,"75,000","115,000","125,000","175,000","120,000","135,831",39,
1995 November,"95,000","113,000","125,000","147,000","120,000","126,934",63,
1995 December,"98,000","130,000","155,000","214,000","140,000","164,051",60,
1996 January,"100,000","115,000","140,000","155,000","132,500","129,043",34,
1996 February,"90,000","110,000","135,000","170,000","117,500","145,445",36,
1996 March,"100,000","125,000","157,000","200,000","140,000","155,271",26,
1996 April,"95,000","117,000","130,000","159,000","125,000","132,801",49,
1996 May,"100,000","125,000","145,000","166,000","135,000","146,041",51,
1996 June,"98,000","125,000","159,000","220,000","150,000","166,537",54,
1996 July,"85,000","103,000","117,000","146,000","110,000","115,219",71,
1996 August,"95,000","115,000","134,000","169,000","120,000","143,704",78,
1996 September,"99,000","115,000","135,000","180,000","120,000","135,088",74,
1996 October,"89,000","115,000","132,000","185,000","122,500","134,232",76,
1996 November,"95,000","110,000","125,000","160,000","117,500","124,767",58,
1996 December,"90,000","115,000","130,000","155,000","125,000","135,330",58,
1997 January,"105,000","115,000","125,000","145,000","125,000","132,004",47,
1997 February,"120,000","141,000","203,000","230,000","160,000","190,152",40,
1997 March,"83,000","108,000","144,000","285,000","125,000","158,359",15,
1997 April,"95,000","115,000","134,000","182,000","125,000","136,292",56,
1997 May,"95,000","110,000","135,000","165,000","125,000","129,681",67,
1997 June,"104,000","118,000","140,000","191,000","130,000","146,107",55,
1997 July,"100,000","125,000","145,000","165,000","140,000","134,140",74,
1997 August,"90,000","110,000","130,000","150,000","120,000","126,492",101,
1997 September,"85,000","110,000","130,000","160,000","120,000","136,846",97,
1997 October,"90,000","105,000","125,000","140,000","117,500","118,617",56,
1997 November,"97,000","115,000","140,000","178,000","127,500","142,383",90,
1997 December,"85,000","100,000","114,000","140,000","105,000","114,730",87,
1998 January,"120,000","135,000","180,000","190,000","150,000","155,731",21,
1998 February,"112,000","145,000","165,000","225,000","150,000","159,213",45,
1998 March,"119,000","151,000","164,000","186,000","155,000","159,095",34,
1998 April,"117,000","139,000","150,000","175,000","145,000","147,319",44,
1998 May,"114,000","135,000","145,000","190,000","140,000","153,398",48,
1998 June,"120,000","145,000","155,000","175,000","150,000","150,859",79,
1998 July,"117,000","135,000","145,000","191,000","140,000","151,495",68,
1998 August,"130,000","150,000","162,000","187,000","155,000","165,758",81,
1998 September,"128,000","140,000","160,000","205,000","150,000","171,568",83,
1998 October,"110,000","125,000","144,000","175,000","130,000","142,398",73,
1998 November,"140,000","155,000","175,000","190,000","165,000","169,700",90,
1998 December,"125,000","149,000","175,000","205,000","155,000","175,034",61,
1999 January,"132,000","148,000","176,000","203,000","155,000","177,072",45,
1999 February,"145,000","155,000","205,000","225,000","177,500","193,695",28,
1999 March,"122,000","140,000","160,000","203,000","152,500","161,674",48,
1999 April,"125,000","155,000","165,000","180,000","155,000","162,153",55,
1999 May,"110,000","145,000","156,000","183,000","150,000","157,454",50,
1999 June,"115,000","145,000","150,000","172,000","150,000","145,864",53,
1999 July,"130,000","161,000","175,000","200,000","170,000","168,012",59,
1999 August,"120,000","145,000","170,000","190,000","150,000","163,483",108,
1999 September,"110,000","120,000","145,000","176,000","135,000","142,519",87,
1999 October,"100,000","134,000","155,000","185,000","150,000","154,794",74,
1999 November,"125,000","142,000","158,000","185,000","150,000","156,121",68,
1999 December,"130,000","155,000","160,000","185,000","155,000","162,927",73,
2000 January,"129,000","143,000","155,000","161,000","150,000","153,345",64,
2000 February,"120,000","130,000","150,000","180,000","145,000","151,062",55,
2000 March,"115,000","145,000","167,000","226,000","150,000","174,853",39,
2000 April,"130,000","141,000","176,000","221,000","160,000","180,533",31,
2000 May,"125,000","135,000","160,000","183,000","150,000","155,914",58,
2000 June,"120,000","135,000","155,000","191,000","140,000","157,269",50,
2000 July,"115,000","130,000","146,000","175,000","135,000","147,941",49,
2000 August,"130,000","140,000","160,000","195,000","147,500","164,297",91,
2000 September,"115,000","150,000","165,000","200,000","157,500","175,398",68,
2000 October,"115,000","140,000","170,000","203,000","155,000","165,253",84,
2000 November,"125,000","145,000","160,000","195,000","155,000","158,078",59,
2000 December,"90,000","122,000","150,000","175,000","135,000","140,050",53,
2001 January,"123,000","155,000","180,000","212,000","167,500","172,816",47,
2001 February,"105,000","145,000","170,000","195,000","150,000","175,356",44,
2001 March,"150,000","159,000","195,000","245,000","175,000","186,259",39,
2001 April,"136,000","157,000","168,000","230,000","160,000","158,781",51,
2001 May,"125,000","145,000","165,000","190,000","155,000","158,531",41,
2001 June,"131,000","155,000","180,000","213,000","160,000","173,813",55,
2001 July,"130,000","155,000","183,000","214,000","165,000","162,039",68,
2001 August,"130,000","145,000","155,000","185,000","150,000","158,853",55,
2001 September,"140,000","155,000","170,000","215,000","160,000","166,777",57,
2001 October,"125,000","150,000","160,000","200,000","155,000","156,828",63,
2001 November,"130,000","146,000","164,000","192,000","155,000","161,281",52,
2001 December,"135,000","155,000","165,000","212,000","160,000","169,566",67,
2002 January,"152,000","159,000","167,000","219,000","160,000","166,442",34,
2002 February,"145,000","155,000","165,000","200,000","160,000","169,982",36,
2002 March,"125,000","150,000","160,000","179,000","160,000","159,280",36,
2002 April,"155,000","160,000","165,000","178,000","160,000","172,579",26,
2002 May,"144,000","150,000","166,000","220,000","155,000","179,918",49,
2002 June,"135,000","150,000","170,000","207,000","157,500","174,746",54,
2002 July,"139,000","160,000","180,000","220,000","165,000","171,291",85,
2002 August,"130,000","145,000","162,000","196,000","155,000","166,625",63,
2002 September,"155,000","165,000","180,000","224,000","165,000","181,140",77,
2002 October,"135,000","165,000","187,000","215,000","170,000","179,461",61,
2002 November,"145,000","160,000","176,000","230,000","165,000","189,405",60,
2002 December,"135,000","160,000","170,000","200,000","160,000","168,597",70,
2003 January,"150,000","165,000","189,000","209,000","170,000","178,611",42,
2003 February,"145,000","160,000","180,000","200,000","170,000","178,244",44,
2003 March,"150,000","165,000","190,000","200,000","170,000","187,843",45,
2003 April,"135,000","160,000","178,000","205,000","160,000","173,718",64,
2003 May,"150,000","167,000","170,000","222,000","170,000","183,226",52,
2003 June,"145,000","155,000","165,000","175,000","160,000","159,443",51,
2003 July,"140,000","160,000","180,000","210,000","170,000","179,857",70,
2003 August,"145,000","170,000","200,000","239,000","180,000","194,693",75,
2003 September,"140,000","155,000","175,000","215,000","165,000","181,447",92,
2003 October,"140,000","175,000","195,000","215,000","187,500","192,146",65,
2003 November,"145,000","165,000","191,000","215,000","170,000","195,112",67,
2003 December,"140,000","175,000","205,000","248,000","190,000","198,987",71,
2004 January,"155,000","175,000","195,000","205,000","185,000","189,357",54,
2004 February,"150,000","170,000","200,000","220,000","177,500","192,827",40,
2004 March,"155,000","175,000","194,000","224,000","185,000","191,732",52,
