"Kelowna — Historical Average, Median and Price Percentiles for Absorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Single
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1990 January,"90,000","97,000","138,000","155,000","120,000","125,800",45,
1990 February,"81,000","114,000","125,000","173,000","120,000","126,877",26,
1990 March,"95,000","120,000","145,000","163,000","135,000","145,123",161,
1990 April,"115,000","135,000","160,000","175,000","150,000","151,806",119,
1990 May,"105,000","130,000","150,000","165,000","140,000","139,807",178,
1990 June,"130,000","150,000","155,000","175,000","150,000","159,768",74,
1990 July,"120,000","140,000","155,000","170,000","150,000","148,102",111,
1990 August,"125,000","140,000","160,000","180,000","150,000","168,143",194,
1990 September,"124,000","143,000","150,000","180,000","150,000","163,857",128,
1990 October,"135,000","145,000","155,000","180,000","150,000","162,106",114,
1990 November,"125,000","145,000","165,000","186,000","150,000","175,434",76,
1990 December,"125,000","145,000","175,000","200,000","160,000","169,158",107,
1991 January,"120,000","135,000","152,000","182,000","145,000","158,361",38,
1991 February,"121,000","140,000","150,000","175,000","145,000","147,423",30,
1991 March,"120,000","130,000","155,000","183,000","135,000","152,104",45,
1991 April,"125,000","145,000","165,000","190,000","150,000","170,612",95,
1991 May,"130,000","145,000","165,000","195,000","150,000","171,764",104,
1991 June,"126,000","140,000","160,000","200,000","150,000","171,828",90,
1991 July,"120,000","140,000","155,000","178,000","145,000","159,983",126,
1991 August,"130,000","145,000","155,000","190,000","150,000","163,224",94,
1991 September,"125,000","135,000","160,000","175,000","145,000","156,570",99,
1991 October,"135,000","145,000","160,000","200,000","155,000","169,384",104,
1991 November,"127,000","140,000","160,000","185,000","150,000","162,277",146,
1991 December,"135,000","145,000","155,000","185,000","145,000","160,188",98,
1992 January,"130,000","140,000","155,000","175,000","155,000","158,243",51,
1992 February,"130,000","135,000","150,000","170,000","145,000","155,479",67,
1992 March,"135,000","150,000","160,000","180,000","155,000","167,101",115,
1992 April,"140,000","155,000","175,000","215,000","165,000","178,489",149,
1992 May,"145,000","165,000","175,000","214,000","170,000","181,503",125,
1992 June,"150,000","170,000","180,000","225,000","175,000","193,581",150,
1992 July,"140,000","155,000","165,000","213,000","160,000","176,315",151,
1992 August,"145,000","170,000","185,000","225,000","175,000","191,472",137,
1992 September,"155,000","160,000","180,000","225,000","170,000","187,064",150,
1992 October,"150,000","160,000","175,000","215,000","165,000","181,870",153,
1992 November,"155,000","170,000","184,000","225,000","175,000","191,337",142,
1992 December,"150,000","165,000","185,000","245,000","170,000","197,494",145,
1993 January,"157,000","170,000","176,000","223,000","170,000","188,931",36,
1993 February,"144,000","169,000","185,000","215,000","175,000","178,997",36,
1993 March,"150,000","165,000","177,000","227,000","170,000","190,906",68,
1993 April,"158,000","175,000","194,000","225,000","180,000","192,281",117,
1993 May,"155,000","170,000","190,000","233,000","180,000","193,903",136,
1993 June,"150,000","170,000","185,000","240,000","175,000","206,903",159,
1993 July,"165,000","185,000","210,000","250,000","192,500","215,475",100,
1993 August,"160,000","175,000","189,000","240,000","185,000","194,704",117,
1993 September,"151,000","175,000","185,000","229,000","182,500","201,395",120,
1993 October,"150,000","175,000","190,000","230,000","185,000","193,786",99,
1993 November,"155,000","175,000","210,000","250,000","190,000","203,977",107,
1993 December,"165,000","175,000","195,000","250,000","190,000","201,815",89,
1994 January,"160,000","176,000","219,000","275,000","190,000","224,933",67,
1994 February,"165,000","175,000","190,000","225,000","185,000","195,186",64,
1994 March,"135,000","161,000","175,000","225,000","170,000","183,091",77,
1994 April,"165,000","185,000","228,000","275,000","192,500","225,396",100,
1994 May,"155,000","175,000","210,000","260,000","185,000","212,035",84,
1994 June,"160,000","175,000","210,000","275,000","185,000","219,027",109,
1994 July,"140,000","165,000","183,000","215,000","175,000","182,884",70,
1994 August,"160,000","175,000","209,000","240,000","185,000","208,142",68,
1994 September,"165,000","182,000","215,000","250,000","190,000","213,815",75,
1994 October,"147,000","170,000","185,000","245,000","180,000","195,528",116,
1994 November,"154,000","175,000","212,000","275,000","190,000","227,967",108,
1994 December,"170,000","185,000","230,000","275,000","215,000","226,889",64,
1995 January,"160,000","175,000","185,000","225,000","180,000","202,998",49,
1995 February,"156,000","176,000","210,000","255,000","190,000","211,093",42,
1995 March,"150,000","167,000","185,000","234,000","175,000","192,811",35,
1995 April,"155,000","175,000","210,000","265,000","185,000","217,095",114,
1995 May,"150,000","185,000","220,000","275,000","215,000","222,283",99,
1995 June,"155,000","175,000","202,000","241,000","180,000","210,198",113,
1995 July,"156,000","170,000","196,000","250,000","180,000","213,809",85,
1995 August,"150,000","175,000","200,000","260,000","185,000","204,039",74,
1995 September,"150,000","169,000","211,000","240,000","180,000","198,740",96,
1995 October,"155,000","175,000","190,000","250,000","180,000","206,547",74,
1995 November,"155,000","175,000","206,000","258,000","182,500","208,176",80,
1995 December,"160,000","170,000","190,000","288,000","180,000","220,549",61,
1996 January,"137,000","155,000","165,000","214,000","160,000","187,916",31,
1996 February,"155,000","166,000","222,000","321,000","202,500","263,318",22,
1996 March,"146,000","161,000","185,000","244,000","180,000","193,496",25,
