"Victoria — Historical Average, Median and Price Percentiles for Absorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Single / Semi-detached
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1990 January,"150,000","180,000","224,000","267,000","200,000","209,010",148,
1990 February,"160,000","190,000","221,000","278,000","210,000","207,957",93,
1990 March,"180,000","212,000","230,000","250,000","220,000","214,045",40,
1990 April,"155,000","180,000","202,000","250,000","187,500","202,538",173,
1990 May,"160,000","198,000","250,000","273,000","230,000","219,730",126,
1990 June,"160,000","185,000","230,000","260,000","192,500","215,476",117,
1990 July,"150,000","175,000","220,000","250,000","190,000","203,025",129,
1990 August,"185,000","220,000","260,000","290,000","250,000","232,125",90,
1990 September,"180,000","210,000","250,000","280,000","230,000","235,131",159,
1990 October,"166,000","207,000","245,000","280,000","220,000","240,684",76,
1990 November,"163,000","192,000","245,000","290,000","215,000","233,843",99,
1990 December,"203,000","250,000","268,000","324,000","250,000","271,144",47,
1991 January,"155,000","180,000","210,000","250,000","190,000","199,149",116,
1991 February,"150,000","180,000","230,000","280,000","190,000","222,367",131,
1991 March,"155,000","190,000","230,000","265,000","210,000","211,029",76,
1991 April,"160,000","180,000","210,000","253,000","185,000","201,130",63,
1991 May,"115,000","159,000","216,000","250,000","180,000","196,436",135,
1991 June,"80,000","169,000","220,000","266,000","190,000","201,196",130,
1991 July,"80,000","160,000","190,000","250,000","175,000","184,897",133,
1991 August,"90,000","165,000","195,000","230,000","177,500","189,331",129,
1991 September,"146,000","171,000","215,000","260,000","190,000","193,664",99,
1991 October,"90,000","177,000","220,000","275,000","195,000","198,021",111,
1991 November,"185,000","200,000","230,000","280,000","215,000","222,904",79,
1991 December,"124,000","170,000","225,000","255,000","195,000","203,802",121,
1992 January,"155,000","205,000","230,000","280,000","225,000","215,862",106,
1992 February,"121,000","197,000","230,000","298,000","220,000","207,180",80,
1992 March,"150,000","190,000","257,000","320,000","220,000","241,176",153,
1992 April,"123,000","191,000","245,000","290,000","222,500","229,085",122,
1992 May,"155,000","196,000","240,000","312,000","220,000","238,458",117,
1992 June,"170,000","225,000","250,000","337,000","230,000","250,960",82,
1992 July,"158,000","206,000","240,000","282,000","225,000","221,150",100,
1992 August,"175,000","224,000","270,000","320,000","250,000","250,304",73,
1992 September,"145,000","215,000","250,000","330,000","235,000","234,761",108,
1992 October,"163,000","210,000","240,000","285,000","230,000","227,418",114,
1992 November,"190,000","230,000","260,000","315,000","240,000","242,712",82,
1992 December,"166,000","225,000","273,000","340,000","250,000","263,881",105,
1993 January,"190,000","225,000","280,000","365,000","250,000","260,485",82,
1993 February,"160,000","200,000","260,000","330,000","235,000","263,573",74,
1993 March,"191,000","254,000","280,000","334,000","270,000","273,278",76,
1993 April,"190,000","250,000","280,000","320,000","265,000","268,644",89,
1993 May,"170,000","195,000","241,000","326,000","220,000","246,886",91,
1993 June,"210,000","250,000","300,000","386,000","262,500","304,600",78,
1993 July,"180,000","219,000","271,000","330,000","255,000","257,057",96,
1993 August,"191,000","234,000","283,000","329,000","260,000","268,512",75,
1993 September,"190,000","236,000","277,000","326,000","255,000","263,528",88,
1993 October,"200,000","231,000","296,000","384,000","250,000","287,936",82,
1993 November,"200,000","242,000","314,000","386,000","280,000","305,531",92,
1993 December,"180,000","240,000","290,000","360,000","272,500","270,763",108,
1994 January,"207,000","246,000","315,000","400,000","280,000","296,464",66,
1994 February,"215,000","275,000","300,000","390,000","290,000","286,855",73,
1994 March,"210,000","260,000","310,000","373,000","290,000","299,771",76,
1994 April,"215,000","260,000","290,000","390,000","265,000","307,174",69,
1994 May,"198,000","246,000","297,000","381,000","280,000","292,256",73,
1994 June,"220,000","253,000","300,000","338,000","272,500","289,060",68,
1994 July,"196,000","230,000","295,000","327,000","257,500","266,895",62,
1994 August,"130,000","230,000","270,000","340,000","250,000","260,309",79,
1994 September,"200,000","260,000","310,000","396,000","290,000","299,916",81,
1994 October,"220,000","260,000","310,000","410,000","285,000","325,674",74,
1994 November,"235,000","295,000","350,000","410,000","310,000","327,494",69,
1994 December,"220,000","274,000","306,000","366,000","292,500","302,293",68,
1995 January,"225,000","300,000","340,000","447,000","320,000","379,702",63,
1995 February,"250,000","292,000","323,000","415,000","307,500","329,578",50,
1995 March,"172,000","237,000","290,000","378,000","280,000","274,873",60,
1995 April,"200,000","270,000","320,000","410,000","290,000","309,912",74,
1995 May,"216,000","286,000","350,000","482,000","310,000","344,500",56,
1995 June,"257,000","280,000","342,000","450,000","327,500","337,825",44,
1995 July,"240,000","285,000","350,000","530,000","327,500","330,887",44,
1995 August,"242,000","277,000","339,000","492,000","310,000","327,344",45,
1995 September,"240,000","281,000","366,000","572,000","325,000","398,152",67,
