"Kitchener - Cambridge - Waterloo — Historical Average, Median and Price Percentiles for Absorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Semi-detached
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1990 January,**,**,**,**,**,"152,000",10,
1990 February,**,**,**,**,**,**,1,
1990 March,**,**,**,**,**,**,1,
1990 April,**,**,**,**,**,"145,000",5,
1990 May,"110,000","141,000","145,000","150,000","145,000","137,222",27,
1990 June,"140,000","140,000","145,000","150,000","145,000","143,696",23,
1990 July,"135,000","140,000","141,000","148,000","140,000","141,293",41,
1990 August,"135,000","140,000","145,000","150,000","140,000","141,993",42,
1990 September,"140,000","145,000","150,000","150,000","145,000","146,343",35,
1990 October,"145,000","145,000","145,000","150,000","145,000","146,126",47,
1990 November,"110,000","145,000","145,000","150,000","145,000","136,688",32,
1990 December,"130,000","140,000","145,000","150,000","145,000","141,717",24,
1991 January,"125,000","140,000","145,000","150,000","140,000","138,694",49,
1991 February,"137,000","145,000","145,000","150,000","145,000","144,094",31,
1991 March,"136,000","140,000","145,000","152,000","140,000","142,047",17,
1991 April,"145,000","150,000","150,000","155,000","150,000","148,564",14,
1991 May,"125,000","138,000","140,000","146,000","140,000","137,130",23,
1991 June,"131,000","140,000","145,000","150,000","145,000","141,631",35,
1991 July,"120,000","128,000","140,000","150,000","140,000","132,726",38,
1991 August,"145,000","150,000","155,000","160,000","150,000","148,824",17,
1991 September,"110,000","128,000","150,000","155,000","140,000","134,559",41,
1991 October,"114,000","144,000","150,000","150,000","145,000","139,661",36,
1991 November,"145,000","150,000","150,000","155,000","150,000","150,000",28,
1991 December,"110,000","110,000","145,000","150,000","115,000","127,816",49,
1992 January,"113,000","120,000","150,000","150,000","147,500","134,045",22,
1992 February,"145,000","150,000","150,000","160,000","150,000","150,278",18,
1992 March,"130,000","145,000","148,000","150,000","145,000","141,985",20,
1992 April,"140,000","145,000","150,000","155,000","150,000","147,368",19,
1992 May,"125,000","140,000","150,000","150,000","145,000","143,316",19,
1992 June,"140,000","150,000","155,000","160,000","150,000","151,290",31,
1992 July,"135,000","145,000","150,000","155,000","150,000","146,510",49,
1992 August,"135,000","135,000","140,000","150,000","135,000","138,818",55,
1992 September,"139,000","140,000","145,000","150,000","145,000","145,116",43,
1992 October,"140,000","140,000","145,000","150,000","145,000","145,000",29,
1992 November,"138,000","140,000","149,000","155,000","145,000","144,630",27,
1992 December,"136,000","140,000","140,000","145,000","140,000","141,600",25,
1993 January,**,**,**,**,**,"135,500",10,
1993 February,"130,000","140,000","140,000","145,000","140,000","139,804",29,
1993 March,"125,000","127,000","135,000","140,000","130,000","132,500",20,
1993 April,"129,000","130,000","142,000","150,000","135,000","137,778",18,
1993 May,"130,000","132,000","140,000","148,000","140,000","138,333",15,
1993 June,"120,000","130,000","131,000","153,000","130,000","133,933",21,
1993 July,"130,000","130,000","130,000","140,000","130,000","134,107",28,
1993 August,"130,000","135,000","140,000","145,000","137,500","135,629",14,
1993 September,"118,000","135,000","140,000","142,000","135,000","132,518",17,
1993 October,**,**,**,**,**,**,3,
1993 November,**,**,**,**,**,"141,818",11,
1993 December,**,**,**,**,**,"134,345",11,
1994 January,**,**,**,**,**,**,3,
1994 February,**,**,**,**,**,"139,080",10,
1994 March,"120,000","128,000","135,000","145,000","135,000","133,231",13,
1994 April,**,**,**,**,**,"131,200",13,
1994 May,"120,000","127,000","135,000","150,000","135,000","134,120",25,
1994 June,"119,000","125,000","130,000","145,000","125,000","129,511",28,
1994 July,"130,000","130,000","130,000","135,000","130,000","134,286",14,
1994 August,"125,000","125,000","130,000","133,000","130,000","128,750",36,
1994 September,**,**,**,**,**,"130,000",7,
1994 October,"120,000","125,000","130,000","135,000","125,000","129,330",60,
1994 November,"120,000","125,000","130,000","135,000","130,000","128,768",22,
1994 December,"112,000","125,000","128,000","130,000","125,000","124,120",20,
1995 January,**,**,**,**,**,"130,625",8,
1995 February,"125,000","130,000","132,000","145,000","130,000","132,923",13,
1995 March,"120,000","125,000","130,000","137,000","125,000","126,713",32,
1995 April,**,**,**,**,**,"135,780",5,
1995 May,"120,000","125,000","125,000","134,000","125,000","123,713",15,
1995 June,**,**,**,**,**,"130,909",11,
1995 July,"125,000","130,000","130,000","137,000","130,000","131,045",22,
1995 August,**,**,**,**,**,"130,709",11,
1995 September,"125,000","130,000","130,000","135,000","130,000","130,817",30,
1995 October,**,**,**,**,**,"134,375",8,
1995 November,**,**,**,**,**,**,2,
1995 December,"125,000","130,000","130,000","135,000","130,000","127,368",19,
1996 January,**,**,**,**,**,"131,667",9,
1996 February,**,**,**,**,**,"132,500",6,
1996 March,**,**,**,**,**,"136,500",8,
1996 April,**,**,**,**,**,"138,667",9,
1996 May,**,**,**,**,**,"130,111",9,
1996 June,**,**,**,**,**,"135,000",4,
1996 July,"126,000","130,000","130,000","136,000","130,000","129,428",18,
1996 August,**,**,**,**,**,"125,000",6,
1996 September,"110,000","110,000","133,000","140,000","130,000","124,178",45,
1996 October,"130,000","135,000","140,000","140,000","140,000","133,927",33,
1996 November,"125,000","125,000","131,000","140,000","130,000","129,033",21,
1996 December,"130,000","135,000","140,000","140,000","135,000","133,325",24,
1997 January,**,**,**,**,**,"132,500",6,
1997 February,**,**,**,**,**,"125,800",6,
1997 March,"110,000","110,000","130,000","135,000","110,000","121,615",39,
1997 April,"115,000","115,000","120,000","130,000","120,000","121,533",39,
1997 May,"120,000","120,000","120,000","136,000","120,000","124,382",33,
1997 June,"110,000","115,000","120,000","129,000","120,000","119,000",25,
1997 July,"120,000","120,000","120,000","130,000","120,000","122,917",24,
1997 August,"120,000","120,000","125,000","127,000","120,000","122,935",17,
1997 September,"120,000","120,000","125,000","130,000","125,000","125,263",19,
1997 October,"125,000","125,000","129,000","135,000","125,000","128,636",22,
1997 November,"127,000","130,000","130,000","133,000","130,000","130,625",16,
1997 December,"125,000","130,000","130,000","135,000","130,000","129,118",17,
1998 January,"130,000","130,000","135,000","140,000","130,000","134,211",19,
1998 February,"130,000","130,000","135,000","137,000","130,000","132,965",17,
1998 March,**,**,**,**,**,"129,643",14,
1998 April,**,**,**,**,**,"133,455",11,
1998 May,"125,000","130,000","130,000","139,000","130,000","131,750",20,
1998 June,**,**,**,**,**,"131,733",12,
1998 July,"126,000","135,000","135,000","143,000","135,000","134,347",15,
1998 August,"135,000","135,000","135,000","143,000","135,000","137,302",21,
1998 September,**,**,**,**,**,"136,125",16,
1998 October,"130,000","135,000","135,000","140,000","135,000","134,045",23,
1998 November,**,**,**,**,**,"131,380",10,
1998 December,**,**,**,**,**,"131,429",7,
1999 January,**,**,**,**,**,"128,750",8,
1999 February,**,**,**,**,**,"127,225",8,
1999 March,**,**,**,**,**,"128,647",4,
1999 April,"120,000","125,000","134,000","137,000","127,500","128,586",12,
1999 May,**,**,**,**,**,"131,746",12,
1999 June,"130,000","135,000","135,000","140,000","135,000","135,546",18,
1999 July,**,**,**,**,**,"144,206",11,
1999 August,"130,000","135,000","145,000","165,000","135,000","144,446",16,
1999 September,**,**,**,**,**,"139,157",13,
1999 October,"130,000","135,000","140,000","151,000","140,000","137,999",16,
1999 November,**,**,**,**,**,"144,453",11,
1999 December,"118,000","135,000","140,000","144,000","135,000","134,378",25,
2000 January,**,**,**,**,**,"136,625",8,
2000 February,**,**,**,**,**,"138,272",10,
2000 March,"135,000","137,000","150,000","159,000","145,000","146,454",17,
2000 April,**,**,**,**,**,"145,943",8,
2000 May,"135,000","140,000","148,000","155,000","142,500","145,235",20,
2000 June,**,**,**,**,**,**,5,
2000 July,**,**,**,**,**,"144,931",8,
2000 August,**,**,**,**,**,"151,932",12,
2000 September,**,**,**,**,**,"141,818",13,
2000 October,**,**,**,**,**,"146,011",12,
