"St. John's — Historical Average, Median and Price Percentiles for Absorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Single / Semi-detached
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1990 January,"88,000","100,000","125,000","150,000","110,000","124,060",123,
1990 February,"90,000","90,000","123,000","150,000","97,500","114,513",30,
1990 March,"90,000","100,000","105,000","130,000","105,000","109,600",50,
1990 April,"90,000","105,000","135,000","150,000","115,000","128,298",60,
1990 May,"85,000","95,000","115,000","153,000","100,000","115,377",53,
1990 June,"87,000","95,000","130,000","170,000","110,000","128,213",61,
1990 July,"90,000","100,000","115,000","135,000","110,000","118,816",49,
1990 August,"85,000","90,000","122,000","150,000","95,000","111,977",43,
1990 September,"90,000","120,000","135,000","160,000","127,500","130,344",96,
1990 October,"90,000","108,000","125,000","151,000","115,000","123,013",80,
1990 November,"85,000","90,000","110,000","150,000","95,000","115,659",44,
1990 December,"85,000","95,000","130,000","165,000","115,000","123,768",125,
1991 January,"90,000","95,000","120,000","160,000","105,000","119,718",39,
1991 February,"90,000","110,000","125,000","146,000","120,000","121,474",78,
1991 March,"90,000","103,000","140,000","190,000","130,000","138,699",95,
1991 April,"90,000","95,000","110,000","125,000","100,000","111,146",95,
1991 May,"95,000","110,000","142,000","190,000","120,000","149,676",71,
1991 June,"90,000","138,000","170,000","180,000","155,000","151,500",48,
1991 July,"85,000","90,000","100,000","180,000","95,000","122,500",56,
1991 August,"85,000","90,000","110,000","145,000","100,000","117,754",65,
1991 September,"90,000","128,000","160,000","170,000","147,500","139,776",77,
1991 October,"90,000","100,000","133,000","190,000","115,000","134,972",71,
1991 November,"90,000","96,000","158,000","192,000","120,000","141,938",32,
1991 December,"90,000","100,000","110,000","161,000","105,000","122,196",138,
1992 January,"90,000","95,000","100,000","141,000","100,000","114,302",43,
1992 February,"90,000","105,000","120,000","140,000","110,000","123,288",59,
1992 March,"105,000","123,000","140,000","170,000","130,000","133,604",48,
1992 April,"95,000","110,000","129,000","140,000","117,500","121,188",34,
1992 May,"93,000","111,000","120,000","130,000","115,000","117,216",37,
1992 June,"95,000","115,000","133,000","170,000","120,000","129,467",30,
1992 July,"100,000","110,000","147,000","157,000","130,000","135,000",33,
1992 August,"100,000","115,000","130,000","165,000","122,500","129,659",44,
1992 September,"111,000","125,000","146,000","158,000","132,500","134,700",40,
1992 October,"95,000","113,000","120,000","152,000","115,000","133,349",63,
1992 November,"100,000","120,000","130,000","150,000","120,000","126,868",53,
1992 December,"110,000","122,000","135,000","160,000","130,000","134,618",110,
1993 January,"110,000","117,000","130,000","150,000","122,500","128,000",60,
1993 February,"97,000","119,000","136,000","160,000","130,000","129,390",41,
1993 March,"114,000","125,000","137,000","161,000","130,000","138,140",43,
1993 April,"110,000","115,000","120,000","137,000","117,500","121,548",42,
1993 May,"110,000","112,000","128,000","158,000","120,000","133,000",25,
1993 June,**,**,**,**,**,"142,222",9,
1993 July,"92,000","110,000","115,000","140,000","110,000","120,750",21,
1993 August,"95,000","100,000","115,000","125,000","110,000","110,172",30,
1993 September,"97,000","110,000","125,000","148,000","115,000","122,903",31,
1993 October,"95,000","115,000","126,000","148,000","120,000","126,721",61,
1993 November,"95,000","105,000","116,000","138,000","110,000","120,478",50,
1993 December,"100,000","115,000","120,000","125,000","115,000","116,874",121,
1994 January,**,**,**,**,**,"128,375",16,
1994 February,"107,000","115,000","121,000","140,000","120,000","122,605",81,
1994 March,"110,000","115,000","120,000","120,000","115,000","117,115",28,
1994 April,"92,000","100,000","120,000","128,000","107,500","114,046",26,
1994 May,"105,000","115,000","125,000","145,000","115,000","128,469",49,
1994 June,"110,000","115,000","120,000","125,000","120,000","117,000",33,
1994 July,"105,000","110,000","115,000","125,000","112,500","113,625",38,
1994 August,"100,000","115,000","120,000","130,000","117,500","116,833",30,
1994 September,"102,000","110,000","115,000","120,000","115,000","114,077",65,
1994 October,"100,000","110,000","120,000","135,000","115,000","126,392",79,
1994 November,"100,000","115,000","127,000","140,000","120,000","122,302",63,
1994 December,"110,000","115,000","125,000","136,000","120,000","129,110",75,
1995 January,"115,000","125,000","130,000","135,000","127,500","126,667",28,
1995 February,"95,000","110,000","117,000","125,000","110,000","116,667",65,
1995 March,"100,000","109,000","116,000","125,000","110,000","113,226",33,
1995 April,**,**,**,**,**,"110,722",24,
1995 May,**,**,**,**,**,"132,900",24,
1995 June,"110,000","115,000","120,000","148,000","120,000","133,313",22,
1995 July,"100,000","120,000","140,000","145,000","135,000","127,105",25,
1995 August,"102,000","112,000","120,000","157,000","120,000","130,032",25,
1995 September,"95,000","110,000","120,000","140,000","115,000","120,487",41,
1995 October,"104,000","115,000","125,000","135,000","120,000","124,485",44,
1995 November,"96,000","110,000","110,000","127,000","110,000","116,647",27,
1995 December,"95,000","110,000","115,000","135,000","115,000","117,361",59,
1996 January,"98,000","110,000","115,000","127,000","115,000","117,826",25,
1996 February,"90,000","110,000","115,000","135,000","115,000","111,900",46,
1996 March,**,**,**,**,**,"137,967",25,
1996 April,"104,000","118,000","126,000","162,000","125,000","136,906",13,
1996 May,"92,000","110,000","125,000","150,000","112,500","122,379",21,
1996 June,**,**,**,**,**,"110,500",13,
1996 July,"77,000","90,000","101,000","123,000","100,000","101,823",31,
1996 August,"90,000","95,000","110,000","128,000","100,000","107,190",67,
1996 September,"85,000","90,000","90,000","100,000","90,000","92,121",59,
1996 October,"100,000","110,000","125,000","136,000","120,000","115,396",85,
1996 November,"110,000","110,000","120,000","140,000","120,000","121,268",55,
1996 December,"100,000","120,000","128,000","140,000","125,000","128,944",47,
