"Saint John — Historical Average, Median and Price Percentiles for Absorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Single / Semi-detached
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1990 January,"80,000","85,000","85,000","86,000","85,000","86,818",33,
1990 February,"80,000","90,000","100,000","100,000","90,000","94,404",58,
1990 March,"80,000","85,000","90,000","100,000","90,000","90,542",24,
1990 April,**,**,**,**,**,"91,222",13,
1990 May,**,**,**,**,**,"93,235",19,
1990 June,"75,000","85,000","90,000","100,000","85,000","96,303",34,
1990 July,**,**,**,**,**,"107,423",26,
1990 August,"80,000","80,000","92,000","117,000","80,000","94,636",33,
1990 September,"80,000","85,000","90,000","110,000","85,000","92,261",71,
1990 October,"76,000","85,000","93,000","125,000","85,000","102,486",35,
1990 November,"85,000","85,000","95,000","110,000","90,000","95,138",39,
1990 December,"75,000","85,000","110,000","130,000","90,000","103,765",68,
1991 January,"80,000","85,000","102,000","140,000","85,000","119,890",73,
1991 February,"80,000","85,000","103,000","134,000","90,000","104,425",61,
1991 March,"80,000","85,000","90,000","106,000","85,000","93,289",39,
1991 April,"80,000","84,000","101,000","123,000","85,000","103,563",16,
1991 May,**,**,**,**,**,"102,363",8,
1991 June,**,**,**,**,**,"91,286",14,
1991 July,"85,000","101,000","110,000","140,000","110,000","114,743",37,
1991 August,"85,000","85,000","100,000","140,000","90,000","110,138",29,
1991 September,"85,000","90,000","110,000","145,000","100,000","109,590",39,
1991 October,"79,000","80,000","80,000","91,000","80,000","87,826",23,
1991 November,"80,000","90,000","114,000","140,000","102,500","109,200",30,
1991 December,"85,000","122,000","145,000","184,000","135,000","179,943",35,
1992 January,"80,000","87,000","101,000","129,000","90,000","102,733",45,
1992 February,**,**,**,**,**,"111,400",7,
1992 March,"85,000","95,000","115,000","140,000","105,000","110,368",19,
1992 April,"85,000","90,000","90,000","114,000","90,000","97,296",27,
1992 May,**,**,**,**,**,"130,500",16,
1992 June,"85,000","92,000","109,000","152,000","95,000","115,640",25,
1992 July,"90,000","90,000","125,000","146,000","110,000","120,500",36,
1992 August,"92,000","107,000","136,000","155,000","122,500","126,700",30,
1992 September,"85,000","92,000","105,000","118,000","100,000","105,400",15,
1992 October,"90,000","100,000","110,000","144,000","105,000","113,707",41,
1992 November,"90,000","100,000","110,000","139,000","105,000","115,569",65,
1992 December,"90,000","95,000","113,000","154,000","102,500","118,340",50,
1993 January,"80,000","90,000","104,000","139,000","95,000","106,154",52,
1993 February,"80,000","125,000","135,000","170,000","130,000","130,071",14,
1993 March,"85,000","85,000","106,000","143,000","95,000","110,419",31,
1993 April,"85,000","86,000","90,000","127,000","90,000","109,054",37,
1993 May,**,**,**,**,**,"121,000",12,
1993 June,"80,000","90,000","98,000","134,000","90,000","111,824",18,
1993 July,"87,000","90,000","122,000","143,000","110,000","130,048",21,
1993 August,"85,000","94,000","131,000","148,000","100,000","117,065",46,
1993 September,"85,000","90,000","122,000","141,000","105,000","117,721",44,
1993 October,"90,000","101,000","124,000","140,000","105,000","117,702",47,
1993 November,"85,000","92,000","120,000","150,000","105,000","123,329",71,
1993 December,"84,000","85,000","90,000","110,000","90,000","96,179",28,
1994 January,"85,000","90,000","100,000","145,000","90,000","110,646",48,
1994 February,"85,000","90,000","100,000","140,000","90,000","108,727",45,
1994 March,"80,000","80,000","90,000","105,000","90,000","94,342",79,
1994 April,"80,000","90,000","110,000","130,000","105,000","105,095",21,
1994 May,"85,000","85,000","93,000","109,000","90,000","100,257",42,
1994 June,"80,000","87,000","103,000","130,000","90,000","105,160",25,
1994 July,"80,000","90,000","120,000","150,000","105,000","118,517",29,
1994 August,"85,000","105,000","120,000","145,000","110,000","116,588",34,
1994 September,"85,000","95,000","120,000","145,000","107,500","116,261",46,
1994 October,"90,000","90,000","110,000","138,000","105,000","117,679",33,
1994 November,"85,000","90,000","110,000","132,000","95,000","109,346",54,
1994 December,"80,000","90,000","93,000","114,000","90,000","99,086",37,
1995 January,"85,000","95,000","110,000","141,000","100,000","116,632",43,
1995 February,**,**,**,**,**,"99,250",4,
1995 March,"85,000","91,000","103,000","147,000","95,000","108,529",18,
1995 April,**,**,**,**,**,"100,429",14,
1995 May,**,**,**,**,**,"118,556",9,
1995 June,**,**,**,**,**,"97,750",8,
1995 July,"90,000","103,000","142,000","152,000","115,000","122,615",13,
1995 August,"86,000","90,000","103,000","109,000","90,000","100,950",21,
1995 September,"86,000","92,000","118,000","149,000","100,000","114,233",15,
1995 October,"82,000","90,000","96,000","103,000","90,000","97,063",16,
1995 November,"90,000","90,000","110,000","130,000","95,000","107,357",23,
1995 December,"89,000","90,000","122,000","145,000","100,000","109,462",13,
1996 January,"85,000","93,000","115,000","136,000","100,000","109,212",33,
1996 February,**,**,**,**,**,"82,250",8,
1996 March,"90,000","109,000","112,000","133,000","110,000","114,813",16,
1996 April,**,**,**,**,**,"124,111",9,
1996 May,"85,000","87,000","100,000","109,000","90,000","99,800",15,
1996 June,**,**,**,**,**,"109,200",10,
1996 July,**,**,**,**,**,"134,500",18,
1996 August,"94,000","103,000","120,000","150,000","110,000","118,909",37,
1996 September,"85,000","105,000","115,000","135,000","110,000","113,692",40,
1996 October,"85,000","94,000","106,000","120,000","100,000","106,000",15,
1996 November,"90,000","101,000","120,000","132,000","112,500","110,545",23,
1996 December,"85,000","95,000","116,000","134,000","110,000","117,467",15,
1997 January,"110,000","125,000","138,000","150,000","127,500","130,591",22,
1997 February,"101,000","125,000","135,000","147,000","130,000","131,636",13,
1997 March,"91,000","117,000","120,000","139,000","120,000","115,900",12,
1997 April,"80,000","85,000","85,000","112,000","85,000","94,288",58,
1997 May,"101,000","113,000","130,000","166,000","127,500","140,500",10,
