"Fredericton — Historical Average, Median and Price Percentiles for Absorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Single / Semi-detached
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1990 January,"64,000","76,000","128,000","164,000","90,000","112,037",27,
1990 February,"80,000","120,000","150,000","180,000","130,000","135,517",29,
1990 March,"70,000","128,000","146,000","183,000","140,000","132,500",20,
1990 April,**,**,**,**,**,"204,444",11,
1990 May,**,**,**,**,**,**,0,
1990 June,**,**,**,**,**,**,0,
1990 July,"80,000","96,000","124,000","182,000","110,000","121,969",32,
1990 August,"80,000","86,000","108,000","130,000","90,000","105,370",27,
1990 September,"95,000","120,000","130,000","140,000","125,000","117,621",48,
1990 October,"80,000","120,000","130,000","140,000","120,000","113,526",19,
1990 November,"80,000","83,000","100,000","131,000","90,000","99,088",33,
1990 December,"100,000","131,000","140,000","152,000","140,000","130,615",13,
1991 January,"53,000","100,000","130,000","149,000","115,000","110,840",25,
1991 February,"90,000","106,000","120,000","138,000","110,000","113,412",17,
1991 March,"88,000","111,000","130,000","150,000","125,000","119,588",17,
1991 April,**,**,**,**,**,"104,200",11,
1991 May,**,**,**,**,**,"117,333",21,
1991 June,"75,000","81,000","93,000","107,000","85,000","86,664",27,
1991 July,**,**,**,**,**,"109,380",10,
1991 August,"70,000","95,000","100,000","120,000","95,000","94,276",38,
1991 September,"70,000","88,000","102,000","111,000","90,000","99,333",33,
1991 October,"65,000","75,000","89,000","107,000","80,000","87,475",42,
1991 November,"89,000","105,000","110,000","131,000","105,000","110,196",28,
1991 December,"85,000","105,000","120,000","135,000","110,000","111,059",34,
1992 January,**,**,**,**,**,"102,714",7,
1992 February,"81,000","94,000","105,000","105,000","102,500","95,800",10,
1992 March,**,**,**,**,**,"81,089",9,
1992 April,**,**,**,**,**,"86,000",4,
1992 May,**,**,**,**,**,"100,000",5,
1992 June,**,**,**,**,**,**,1,
1992 July,"95,000","100,000","120,000","135,000","110,000","113,847",62,
1992 August,"95,000","116,000","125,000","137,000","120,000","118,514",37,
1992 September,"96,000","115,000","125,000","140,000","120,000","119,693",75,
1992 October,"94,000","105,000","120,000","136,000","115,000","117,229",48,
1992 November,"90,000","103,000","128,000","164,000","120,000","126,313",16,
