"Montréal — Historical Average, Median and Price Percentiles for Absorbed Homeowner and Condominium Units  "
January 1998 to March 2024 Single / Semi-detached
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1998 January,"100,000","120,000","145,000","200,000","130,000","151,303",229,
1998 February,"95,000","115,000","135,000","195,000","120,000","148,050",213,
1998 March,"100,000","125,000","143,000","194,000","130,000","147,803",117,
1998 April,"90,000","115,000","145,000","180,000","125,000","151,105",213,
1998 May,"90,000","105,000","130,000","155,000","120,000","136,392",341,
1998 June,"90,000","105,000","120,000","145,000","115,000","126,117",930,
1998 July,"95,000","110,000","125,000","150,000","120,000","126,950","1,921",
1998 August,"100,000","115,000","130,000","177,000","120,000","141,066",512,
1998 September,"105,000","125,000","145,000","188,000","130,000","151,444",406,
1998 October,"100,000","120,000","140,000","180,000","125,000","145,855",443,
1998 November,"100,000","125,000","155,000","230,000","135,000","163,812",434,
1998 December,"100,000","120,000","146,000","200,000","130,000","153,258",376,
1999 January,"100,000","125,000","150,000","220,000","137,500","167,934",304,
1999 February,"100,000","125,000","141,000","183,000","130,000","143,673",171,
1999 March,"110,000","120,000","140,000","215,000","130,000","158,477",154,
1999 April,"100,000","120,000","140,000","182,000","125,000","156,244",282,
1999 May,"95,000","120,000","140,000","170,000","130,000","143,642",578,
1999 June,"90,000","115,000","130,000","155,000","120,000","131,304","1,157",
1999 July,"100,000","120,000","135,000","160,000","125,000","141,377","1,762",
1999 August,"98,000","120,000","135,000","170,000","125,000","139,819",572,
1999 September,"110,000","130,000","150,000","200,000","140,000","160,649",698,
1999 October,"113,000","130,000","160,000","230,000","140,000","167,019",567,
1999 November,"100,000","130,000","150,000","210,000","135,000","164,879",429,
1999 December,"110,000","135,000","160,000","240,000","145,000","175,190",410,
2000 January,"105,000","130,000","150,000","225,000","140,000","163,727",255,
2000 February,"105,000","135,000","160,000","240,000","145,000","166,605",238,
2000 March,"114,000","135,000","160,000","241,000","150,000","176,719",278,
2000 April,"100,000","130,000","150,000","200,000","140,000","157,750",277,
2000 May,"115,000","135,000","160,000","210,000","150,000","171,382",439,
2000 June,"105,000","125,000","148,000","180,000","135,000","148,722","1,060",
2000 July,"115,000","130,000","150,000","185,000","135,000","156,978","1,732",
2000 August,"120,000","140,000","160,000","220,000","150,000","171,893",781,
2000 September,"120,000","140,000","155,000","200,000","145,000","171,697",591,
2000 October,"115,000","140,000","160,000","250,000","150,000","179,442",539,
2000 November,"125,000","145,000","175,000","250,000","152,500","187,358",480,
2000 December,"125,000","150,000","180,000","225,000","160,000","181,078",319,
2001 January,"123,000","145,000","155,000","260,000","150,000","184,216",287,
2001 February,"125,000","145,000","170,000","250,000","155,000","178,516",351,
2001 March,"125,000","145,000","170,000","232,000","150,000","179,280",248,
2001 April,"120,000","135,000","160,000","217,000","147,500","170,967",448,
2001 May,"120,000","140,000","151,000","200,000","150,000","169,412",606,
2001 June,"120,000","140,000","150,000","190,000","145,000","163,409","1,304",
2001 July,"120,000","135,000","155,000","190,000","145,000","164,965","1,673",
2001 August,"120,000","140,000","160,000","200,000","150,000","169,819",558,
2001 September,"130,000","150,000","175,000","225,000","160,000","181,014",616,
2001 October,"120,000","140,000","175,000","230,000","160,000","190,694",480,
2001 November,"130,000","150,000","180,000","233,000","165,000","188,079",531,
2001 December,"135,000","155,000","185,000","240,000","170,000","196,568",475,
2002 January,"130,000","150,000","190,000","250,000","165,000","199,726",489,
2002 February,"127,000","155,000","190,000","240,000","175,000","197,773",308,
2002 March,"125,000","150,000","180,000","228,000","162,500","194,014",296,
2002 April,"130,000","160,000","190,000","250,000","180,000","198,486",479,
2002 May,"130,000","150,000","175,000","205,000","160,000","177,723",716,
