"Hamilton — Historical Average, Median and Price Percentiles for Absorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Semi-detached
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1990 January,**,**,**,**,**,**,6,
1990 February,**,**,**,**,**,"174,263",8,
1990 March,**,**,**,**,**,"156,825",16,
1990 April,**,**,**,**,**,**,0,
1990 May,**,**,**,**,**,**,2,
1990 June,**,**,**,**,**,**,1,
1990 July,**,**,**,**,**,**,0,
1990 August,**,**,**,**,**,**,0,
1990 September,**,**,**,**,**,**,0,
1990 October,**,**,**,**,**,**,3,
1990 November,**,**,**,**,**,**,4,
1990 December,**,**,**,**,**,**,0,
1991 January,**,**,**,**,**,**,0,
1991 February,**,**,**,**,**,**,0,
1991 March,**,**,**,**,**,**,0,
1991 April,**,**,**,**,**,**,0,
1991 May,**,**,**,**,**,**,5,
1991 June,**,**,**,**,**,**,0,
1991 July,**,**,**,**,**,**,1,
1991 August,**,**,**,**,**,**,3,
1991 September,**,**,**,**,**,**,4,
1991 October,**,**,**,**,**,"191,800",7,
1991 November,**,**,**,**,**,**,2,
1991 December,**,**,**,**,**,**,0,
1992 January,**,**,**,**,**,**,2,
1992 February,**,**,**,**,**,**,2,
1992 March,**,**,**,**,**,**,0,
1992 April,**,**,**,**,**,"150,400",5,
1992 May,**,**,**,**,**,**,2,
1992 June,**,**,**,**,**,**,3,
1992 July,**,**,**,**,**,"142,167",6,
1992 August,**,**,**,**,**,**,3,
1992 September,**,**,**,**,**,"161,800",7,
1992 October,**,**,**,**,**,"167,600",9,
1992 November,**,**,**,**,**,"175,320",5,
1992 December,**,**,**,**,**,**,2,
1993 January,**,**,**,**,**,"135,000",8,
1993 February,**,**,**,**,**,**,0,
1993 March,**,**,**,**,**,**,1,
1993 April,**,**,**,**,**,**,0,
1993 May,**,**,**,**,**,**,1,
1993 June,**,**,**,**,**,**,1,
1993 July,**,**,**,**,**,**,0,
1993 August,**,**,**,**,**,"136,630",10,
1993 September,"135,000","135,000","140,000","140,000","137,500","138,850",26,
1993 October,"135,000","135,000","140,000","145,000","140,000","139,245",49,
1993 November,"135,000","140,000","140,000","141,000","140,000","140,517",18,
1993 December,"135,000","135,000","137,000","145,000","135,000","138,738",13,
1994 January,**,**,**,**,**,"128,063",8,
1994 February,**,**,**,**,**,"138,120",5,
1994 March,**,**,**,**,**,**,1,
1994 April,**,**,**,**,**,**,5,
1994 May,**,**,**,**,**,**,5,
1994 June,**,**,**,**,**,**,3,
1994 July,**,**,**,**,**,"142,578",9,
1994 August,**,**,**,**,**,"141,750",6,
1994 September,**,**,**,**,**,"154,425",8,
1994 October,**,**,**,**,**,**,0,
1994 November,**,**,**,**,**,**,0,
1994 December,**,**,**,**,**,**,1,
1995 January,**,**,**,**,**,"140,225",8,
1995 February,"140,000","145,000","170,000","170,000","150,000","152,606",34,
1995 March,**,**,**,**,**,"137,720",10,
1995 April,**,**,**,**,**,**,4,
1995 May,**,**,**,**,**,"142,950",8,
