"Moncton — Historical Average, Median and Price Percentiles for Absorbed Homeowner and Condominium Units  "
January 1990 to March 2024 Semi-detached
,1st 20%,2nd 40%,3rd 60%,4th 80%,Median,Average,Units,
1990 January,**,**,**,**,**,"79,556",9,
1990 February,**,**,**,**,**,**,3,
1990 March,**,**,**,**,**,**,4,
1990 April,**,**,**,**,**,**,0,
1990 May,**,**,**,**,**,**,0,
1990 June,**,**,**,**,**,**,2,
1990 July,**,**,**,**,**,**,0,
1990 August,**,**,**,**,**,"79,063",16,
1990 September,**,**,**,**,**,**,1,
1990 October,**,**,**,**,**,**,1,
1990 November,**,**,**,**,**,**,2,
1990 December,**,**,**,**,**,"79,000",12,
1991 January,**,**,**,**,**,**,8,
1991 February,**,**,**,**,**,**,0,
1991 March,**,**,**,**,**,**,4,
1991 April,**,**,**,**,**,**,1,
1991 May,**,**,**,**,**,**,4,
1991 June,**,**,**,**,**,**,2,
1991 July,**,**,**,**,**,**,0,
1991 August,**,**,**,**,**,**,7,
1991 September,**,**,**,**,**,**,0,
1991 October,**,**,**,**,**,**,5,
1991 November,**,**,**,**,**,**,0,
1991 December,**,**,**,**,**,**,2,
1992 January,**,**,**,**,**,**,0,
1992 February,**,**,**,**,**,**,3,
1992 March,**,**,**,**,**,**,0,
1992 April,**,**,**,**,**,**,0,
1992 May,**,**,**,**,**,**,1,
1992 June,**,**,**,**,**,**,3,
1992 July,**,**,**,**,**,**,6,
1992 August,**,**,**,**,**,**,2,
1992 September,**,**,**,**,**,**,1,
1992 October,**,**,**,**,**,"94,400",5,
1992 November,**,**,**,**,**,**,4,
1992 December,**,**,**,**,**,"67,500",10,
1993 January,**,**,**,**,**,**,12,
1993 February,**,**,**,**,**,**,4,
1993 March,**,**,**,**,**,**,6,
1993 April,**,**,**,**,**,**,3,
1993 May,**,**,**,**,**,**,0,
1993 June,**,**,**,**,**,**,7,
1993 July,**,**,**,**,**,**,8,
1993 August,**,**,**,**,**,**,10,
1993 September,**,**,**,**,**,**,15,
1993 October,**,**,**,**,**,**,6,
1993 November,**,**,**,**,**,**,10,
1993 December,**,**,**,**,**,"80,500",8,
1994 January,**,**,**,**,**,"67,769",13,
1994 February,**,**,**,**,**,**,10,
1994 March,**,**,**,**,**,**,8,
1994 April,**,**,**,**,**,**,9,
1994 May,**,**,**,**,**,**,4,
1994 June,**,**,**,**,**,"80,667",9,
1994 July,**,**,**,**,**,**,3,
1994 August,**,**,**,**,**,**,13,
1994 September,**,**,**,**,**,**,2,
1994 October,**,**,**,**,**,**,6,
1994 November,**,**,**,**,**,**,15,
1994 December,**,**,**,**,**,**,10,
1995 January,**,**,**,**,**,**,4,
1995 February,**,**,**,**,**,**,6,
1995 March,**,**,**,**,**,**,3,
1995 April,**,**,**,**,**,**,4,
1995 May,**,**,**,**,**,**,1,
1995 June,**,**,**,**,**,**,4,
1995 July,**,**,**,**,**,**,4,
1995 August,**,**,**,**,**,**,6,
1995 September,**,**,**,**,**,**,8,
1995 October,**,**,**,**,**,"84,833",12,
1995 November,**,**,**,**,**,**,8,
1995 December,**,**,**,**,**,"86,900",10,
1996 January,**,**,**,**,**,**,6,
1996 February,**,**,**,**,**,**,2,
1996 March,**,**,**,**,**,**,9,
1996 April,**,**,**,**,**,"85,286",7,
1996 May,**,**,**,**,**,**,13,
1996 June,**,**,**,**,**,**,4,
1996 July,**,**,**,**,**,"90,333",9,
1996 August,**,**,**,**,**,**,15,
1996 September,**,**,**,**,**,**,5,
1996 October,**,**,**,**,**,"94,500",6,
1996 November,**,**,**,**,**,**,7,
1996 December,**,**,**,**,**,"97,625",8,
1997 January,**,**,**,**,**,**,3,
1997 February,**,**,**,**,**,**,3,
1997 March,**,**,**,**,**,**,7,
1997 April,**,**,**,**,**,**,2,
1997 May,**,**,**,**,**,**,2,
1997 June,**,**,**,**,**,**,2,
1997 July,**,**,**,**,**,**,3,
1997 August,**,**,**,**,**,**,4,
1997 September,**,**,**,**,**,**,2,
1997 October,**,**,**,**,**,"85,714",7,
1997 November,**,**,**,**,**,**,4,
1997 December,**,**,**,**,**,"90,333",6,
1998 January,**,**,**,**,**,**,1,
1998 February,**,**,**,**,**,**,7,
1998 March,**,**,**,**,**,**,0,
1998 April,**,**,**,**,**,**,3,
1998 May,**,**,**,**,**,**,7,
1998 June,**,**,**,**,**,**,6,
1998 July,**,**,**,**,**,**,3,
1998 August,**,**,**,**,**,**,2,
1998 September,**,**,**,**,**,**,2,
1998 October,**,**,**,**,**,**,7,
1998 November,**,**,**,**,**,**,0,
1998 December,**,**,**,**,**,**,13,
1999 January,**,**,**,**,**,**,9,
1999 February,**,**,**,**,**,"102,667",6,
1999 March,**,**,**,**,**,**,4,
1999 April,**,**,**,**,**,"87,350",4,
1999 May,**,**,**,**,**,**,7,
1999 June,**,**,**,**,**,**,6,
1999 July,**,**,**,**,**,**,2,
1999 August,**,**,**,**,**,**,6,
1999 September,**,**,**,**,**,**,5,
1999 October,**,**,**,**,**,**,15,
1999 November,**,**,**,**,**,**,2,
1999 December,**,**,**,**,**,**,4,
2000 January,**,**,**,**,**,**,5,
2000 February,**,**,**,**,**,"97,317",6,
2000 March,**,**,**,**,**,**,4,
2000 April,**,**,**,**,**,**,1,
2000 May,**,**,**,**,**,**,6,
2000 June,**,**,**,**,**,**,5,
2000 July,**,**,**,**,**,**,4,
2000 August,**,**,**,**,**,**,6,
2000 September,**,**,**,**,**,**,0,
2000 October,**,**,**,**,**,**,0,
2000 November,**,**,**,**,**,**,10,
2000 December,**,**,**,**,**,**,7,
2001 January,**,**,**,**,**,**,5,
2001 February,**,**,**,**,**,**,4,
2001 March,**,**,**,**,**,"91,833",6,
2001 April,**,**,**,**,**,**,13,
2001 May,**,**,**,**,**,**,30,
2001 June,**,**,**,**,**,**,2,
2001 July,**,**,**,**,**,**,1,
2001 August,**,**,**,**,**,**,2,
2001 September,**,**,**,**,**,**,0,
2001 October,**,**,**,**,**,**,0,
2001 November,**,**,**,**,**,**,12,
2001 December,**,**,**,**,**,**,14,
2002 January,**,**,**,**,**,**,2,
2002 February,**,**,**,**,**,**,11,
2002 March,**,**,**,**,**,**,2,
2002 April,**,**,**,**,**,**,0,
2002 May,**,**,**,**,**,**,2,
2002 June,**,**,**,**,**,"90,717",12,
2002 July,**,**,**,**,**,"85,560",10,
2002 August,**,**,**,**,**,**,8,
2002 September,**,**,**,**,**,**,6,
2002 October,**,**,**,**,**,**,13,
2002 November,**,**,**,**,**,"88,580",10,
2002 December,**,**,**,**,**,**,9,
2003 January,**,**,**,**,**,**,0,
2003 February,**,**,**,**,**,**,18,
2003 March,**,**,**,**,**,**,9,
2003 April,"90,000","95,000","95,000","95,000","95,000","94,365",20,
2003 May,**,**,**,**,**,"92,100",10,
2003 June,**,**,**,**,**,**,11,
2003 July,**,**,**,**,**,**,1,
2003 August,**,**,**,**,**,**,4,
2003 September,**,**,**,**,**,**,2,
2003 October,**,**,**,**,**,**,42,
2003 November,**,**,**,**,**,**,8,
2003 December,**,**,**,**,**,**,21,
2004 January,**,**,**,**,**,**,21,
2004 February,**,**,**,**,**,**,20,
2004 March,**,**,**,**,**,**,16,
2004 April,**,**,**,**,**,**,12,
2004 May,**,**,**,**,**,**,6,
