"GeoUID","Date","DateString","Age of Primary Household Maintainer","Value","Survey","Series"
"35501",2006-07-01,"2006","15 - 24",910,"Census","Mobility 5 of All Households"
"35501",2006-07-01,"2006","25 - 34",2120,"Census","Mobility 5 of All Households"
"35501",2006-07-01,"2006","35 - 44",2150,"Census","Mobility 5 of All Households"
"35501",2006-07-01,"2006","45 - 54",2025,"Census","Mobility 5 of All Households"
"35501",2006-07-01,"2006","55 - 64",1295,"Census","Mobility 5 of All Households"
"35501",2006-07-01,"2006","Total 65+",1105,"Census","Mobility 5 of All Households"
"35501",2006-07-01,"2006","Total",9600,"Census","Mobility 5 of All Households"
"35501",2011-07-01,"2011","15 - 24",890,"Census","Mobility 5 of All Households"
"35501",2011-07-01,"2011","25 - 34",2090,"Census","Mobility 5 of All Households"
"35501",2011-07-01,"2011","35 - 44",1680,"Census","Mobility 5 of All Households"
"35501",2011-07-01,"2011","45 - 54",2040,"Census","Mobility 5 of All Households"
"35501",2011-07-01,"2011","55 - 64",1285,"Census","Mobility 5 of All Households"
"35501",2011-07-01,"2011","Total 65+",1330,"Census","Mobility 5 of All Households"
"35501",2011-07-01,"2011","Total",9325,"Census","Mobility 5 of All Households"
"35501",2016-07-01,"2016","15 - 24",965,"Census","Mobility 5 of All Households"
"35501",2016-07-01,"2016","25 - 34",2360,"Census","Mobility 5 of All Households"
"35501",2016-07-01,"2016","35 - 44",1750,"Census","Mobility 5 of All Households"
"35501",2016-07-01,"2016","45 - 54",1635,"Census","Mobility 5 of All Households"
"35501",2016-07-01,"2016","55 - 64",1380,"Census","Mobility 5 of All Households"
"35501",2016-07-01,"2016","Total 65+",1645,"Census","Mobility 5 of All Households"
"35501",2016-07-01,"2016","Total",9735,"Census","Mobility 5 of All Households"
"35501",2021-07-01,"2021","15 - 24",645,"Census","Mobility 5 of All Households"
"35501",2021-07-01,"2021","25 - 34",2650,"Census","Mobility 5 of All Households"
"35501",2021-07-01,"2021","35 - 44",1845,"Census","Mobility 5 of All Households"
"35501",2021-07-01,"2021","45 - 54",1395,"Census","Mobility 5 of All Households"
"35501",2021-07-01,"2021","55 - 64",1520,"Census","Mobility 5 of All Households"
"35501",2021-07-01,"2021","Total 65+",1835,"Census","Mobility 5 of All Households"
"35501",2021-07-01,"2021","Total",9895,"Census","Mobility 5 of All Households"
