"GeoUID","Date","DateString","Age of Primary Household Maintainer","Value","Survey","Series"
"24480",2006-07-01,"2006","15 - 24",545,"Census","Mobility 5 of All Households"
"24480",2006-07-01,"2006","25 - 34",1550,"Census","Mobility 5 of All Households"
"24480",2006-07-01,"2006","35 - 44",1280,"Census","Mobility 5 of All Households"
"24480",2006-07-01,"2006","45 - 54",1045,"Census","Mobility 5 of All Households"
"24480",2006-07-01,"2006","55 - 64",645,"Census","Mobility 5 of All Households"
"24480",2006-07-01,"2006","Total 65+",410,"Census","Mobility 5 of All Households"
"24480",2006-07-01,"2006","Total",5475,"Census","Mobility 5 of All Households"
"24480",2011-07-01,"2011","15 - 24",580,"Census","Mobility 5 of All Households"
"24480",2011-07-01,"2011","25 - 34",1685,"Census","Mobility 5 of All Households"
"24480",2011-07-01,"2011","35 - 44",975,"Census","Mobility 5 of All Households"
"24480",2011-07-01,"2011","45 - 54",1195,"Census","Mobility 5 of All Households"
"24480",2011-07-01,"2011","55 - 64",655,"Census","Mobility 5 of All Households"
"24480",2011-07-01,"2011","Total 65+",435,"Census","Mobility 5 of All Households"
"24480",2011-07-01,"2011","Total",5520,"Census","Mobility 5 of All Households"
"24480",2016-07-01,"2016","15 - 24",675,"Census","Mobility 5 of All Households"
"24480",2016-07-01,"2016","25 - 34",1665,"Census","Mobility 5 of All Households"
"24480",2016-07-01,"2016","35 - 44",920,"Census","Mobility 5 of All Households"
"24480",2016-07-01,"2016","45 - 54",765,"Census","Mobility 5 of All Households"
"24480",2016-07-01,"2016","55 - 64",675,"Census","Mobility 5 of All Households"
"24480",2016-07-01,"2016","Total 65+",620,"Census","Mobility 5 of All Households"
"24480",2016-07-01,"2016","Total",5320,"Census","Mobility 5 of All Households"
"24480",2021-07-01,"2021","15 - 24",600,"Census","Mobility 5 of All Households"
"24480",2021-07-01,"2021","25 - 34",1790,"Census","Mobility 5 of All Households"
"24480",2021-07-01,"2021","35 - 44",1145,"Census","Mobility 5 of All Households"
"24480",2021-07-01,"2021","45 - 54",705,"Census","Mobility 5 of All Households"
"24480",2021-07-01,"2021","55 - 64",740,"Census","Mobility 5 of All Households"
"24480",2021-07-01,"2021","Total 65+",730,"Census","Mobility 5 of All Households"
"24480",2021-07-01,"2021","Total",5705,"Census","Mobility 5 of All Households"
