"GeoUID","Date","DateString","Age of Primary Household Maintainer","Value","Survey","Series"
"24405",2006-07-01,"2006","15 - 24",550,"Census","Mobility 5 of All Households"
"24405",2006-07-01,"2006","25 - 34",1255,"Census","Mobility 5 of All Households"
"24405",2006-07-01,"2006","35 - 44",875,"Census","Mobility 5 of All Households"
"24405",2006-07-01,"2006","45 - 54",705,"Census","Mobility 5 of All Households"
"24405",2006-07-01,"2006","55 - 64",465,"Census","Mobility 5 of All Households"
"24405",2006-07-01,"2006","Total 65+",365,"Census","Mobility 5 of All Households"
"24405",2006-07-01,"2006","Total",4215,"Census","Mobility 5 of All Households"
"24405",2011-07-01,"2011","15 - 24",510,"Census","Mobility 5 of All Households"
"24405",2011-07-01,"2011","25 - 34",1310,"Census","Mobility 5 of All Households"
"24405",2011-07-01,"2011","35 - 44",705,"Census","Mobility 5 of All Households"
"24405",2011-07-01,"2011","45 - 54",785,"Census","Mobility 5 of All Households"
"24405",2011-07-01,"2011","55 - 64",460,"Census","Mobility 5 of All Households"
"24405",2011-07-01,"2011","Total 65+",545,"Census","Mobility 5 of All Households"
"24405",2011-07-01,"2011","Total",4305,"Census","Mobility 5 of All Households"
"24405",2016-07-01,"2016","15 - 24",480,"Census","Mobility 5 of All Households"
"24405",2016-07-01,"2016","25 - 34",1270,"Census","Mobility 5 of All Households"
"24405",2016-07-01,"2016","35 - 44",785,"Census","Mobility 5 of All Households"
"24405",2016-07-01,"2016","45 - 54",535,"Census","Mobility 5 of All Households"
"24405",2016-07-01,"2016","55 - 64",620,"Census","Mobility 5 of All Households"
"24405",2016-07-01,"2016","Total 65+",540,"Census","Mobility 5 of All Households"
"24405",2016-07-01,"2016","Total",4225,"Census","Mobility 5 of All Households"
"24405",2021-07-01,"2021","15 - 24",530,"Census","Mobility 5 of All Households"
"24405",2021-07-01,"2021","25 - 34",1390,"Census","Mobility 5 of All Households"
"24405",2021-07-01,"2021","35 - 44",1045,"Census","Mobility 5 of All Households"
"24405",2021-07-01,"2021","45 - 54",690,"Census","Mobility 5 of All Households"
"24405",2021-07-01,"2021","55 - 64",680,"Census","Mobility 5 of All Households"
"24405",2021-07-01,"2021","Total 65+",905,"Census","Mobility 5 of All Households"
"24405",2021-07-01,"2021","Total",5235,"Census","Mobility 5 of All Households"
