Sherbrooke — Historical Mortgages  
2006 to 2016
,With a Mortgage,Without a Mortgage,Total Private Households With Mortgage Status Known,
2006,"26,810","17,320","44,130",
2011,"31,005","18,730","49,740",
2016,"33,665","19,830","53,490",

Notes
Mortgage data exclude farm operators.
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
