Hamilton — Historical Mortgages  
2006 to 2016
,With a Mortgage,Without a Mortgage,Total Private Households With Mortgage Status Known,
2006,"111,010","79,250","190,260",
2011,"118,445","82,490","200,935",
2016,"124,800","80,980","205,785",

Notes
Mortgage data exclude farm operators.
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
