Trois-Rivières — Historical Mortgages  
2006 to 2016
,With a Mortgage,Without a Mortgage,Total Private Households With Mortgage Status Known,
2006,"20,545","16,105","36,650",
2011,"22,195","18,300","40,495",
2016,"24,970","17,105","42,080",

Notes
Mortgage data exclude farm operators.
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
