Moncton — Historical Household Income - Income Ranges (Before Taxes)  
2006 to 2016 Tenure - Total
,"Less Than $20,000","$20,000 to $39,999","$40,000 to $59,999","$60,000 to $79,999","$80,000 to $99,999","$100,000 And Over",Total,
2006,"8,045","11,970","10,500","8,530","5,470","7,070","51,595",
2011,"7,435","12,110","10,960","9,165","6,775","11,875","58,315",
2016,"6,040","11,975","11,340","9,480","7,270","15,675","61,775",

Notes
"Where band housing is present, total dwelling counts are larger than the sum of owned and rented dwellings."
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
