St. John's — Historical Household Income - Income Ranges (Before Taxes)  
2006 to 2016 Tenure - Total
,"Less Than $20,000","$20,000 to $39,999","$40,000 to $59,999","$60,000 to $79,999","$80,000 to $99,999","$100,000 And Over",Total,
2006,"11,810","14,685","13,505","10,235","7,255","13,180","70,665",
2011,"9,990","13,175","12,100","11,265","8,830","23,660","79,020",
2016,"7,305","13,255","11,430","10,685","9,365","32,980","85,015",

Notes
"Where band housing is present, total dwelling counts are larger than the sum of owned and rented dwellings."
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
