Kelowna — Historical Mortgages  
2006 to 2016
,With a Mortgage,Without a Mortgage,Total Private Households With Mortgage Status Known,
2006,"28,970","22,245","51,215",
2011,"32,510","23,960","56,475",
2016,"34,480","24,460","58,940",

Notes
Mortgage data exclude farm operators.
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
