Saint John — Historical Household Income - Income Ranges (Before Taxes)  
2006 to 2016 Tenure - Total
,"Less Than $20,000","$20,000 to $39,999","$40,000 to $59,999","$60,000 to $79,999","$80,000 to $99,999","$100,000 And Over",Total,
2006,"8,215","11,645","9,685","7,145","4,645","7,790","49,125",
2011,"7,385","10,220","9,250","7,155","5,710","12,410","52,135",
2016,"5,885","10,110","8,875","7,260","5,790","14,950","52,875",

Notes
"Where band housing is present, total dwelling counts are larger than the sum of owned and rented dwellings."
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
