Calgary — Historical Household Income - Income Ranges (Before Taxes)  
2006 to 2016 Tenure - Total
,"Less Than $20,000","$20,000 to $39,999","$40,000 to $59,999","$60,000 to $79,999","$80,000 to $99,999","$100,000 And Over",Total,
2006,"39,920","67,315","72,190","62,365","49,305","124,505","415,605",
2011,"41,070","55,575","63,670","62,110","54,800","186,785","464,000",
2016,"27,750","52,445","59,705","61,830","58,820","259,145","519,695",

Notes
"Where band housing is present, total dwelling counts are larger than the sum of owned and rented dwellings."
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
