Fredericton — Historical Household Size  
2006 to 2016 Tenure - Total
,One-Person Household,Two-Person Household,Three-Person Household,Four-Person Household,Five-Or-More-Person Household,Total,
2006,"8,525","13,035","6,000","5,135","2,190","34,895",
2011,"9,925","14,990","6,550","5,280","2,295","39,040",
2016,"11,465","16,490","6,800","5,570","2,450","42,775",

Notes
"Where band housing is present, total dwelling counts are larger than the sum of owned and rented dwellings."
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
