Greater Sudbury / Grand Sudbury — Historical Mortgages  
2006 to 2016
,With a Mortgage,Without a Mortgage,Total Private Households With Mortgage Status Known,
2006,"24,280","19,220","43,500",
2011,"26,405","19,555","45,960",
2016,"27,060","19,375","46,435",

Notes
Mortgage data exclude farm operators.
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
