Regina — Historical Household Income - Income Ranges (Before Taxes)  
2006 to 2016 Tenure - Total
,"Less Than $20,000","$20,000 to $39,999","$40,000 to $59,999","$60,000 to $79,999","$80,000 to $99,999","$100,000 And Over",Total,
2006,"10,695","17,145","15,195","11,960","9,255","16,075","80,320",
2011,"9,045","13,450","13,505","12,010","9,625","28,300","85,930",
2016,"5,995","12,780","13,550","12,565","10,830","39,240","94,955",

Notes
"Where band housing is present, total dwelling counts are larger than the sum of owned and rented dwellings."
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
