Montréal — Historical Mortgages  
2006 to 2016
,With a Mortgage,Without a Mortgage,Total Private Households With Mortgage Status Known,
2006,"504,370","309,035","813,405",
2011,"551,505","334,450","885,955",
2016,"622,070","338,570","960,640",

Notes
Mortgage data exclude farm operators.
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
